Created as New Dataset,61 Modacrylic Monsanto Elura USA Brown. PAN +VBr + aromatic sulphonate dye site. Wig fiber. Obsolete.
cm-1,%T
2863.00,96.82
2862.00,96.82
2861.00,96.82
2860.00,96.80
2859.00,96.78
2858.00,96.75
2857.00,96.72
2856.00,96.70
2855.00,96.69
2854.00,96.68
2853.00,96.67
2852.00,96.69
2851.00,96.71
2850.00,96.75
2849.00,96.79
2848.00,96.83
2847.00,96.87
2846.00,96.89
2845.00,96.92
2844.00,96.94
2843.00,96.96
2842.00,97.00
2841.00,97.04
2840.00,97.08
2839.00,97.11
2838.00,97.13
2837.00,97.14
2836.00,97.15
2835.00,97.15
2834.00,97.14
2833.00,97.14
2832.00,97.14
2831.00,97.14
2830.00,97.15
2829.00,97.16
2828.00,97.17
2827.00,97.18
2826.00,97.19
2825.00,97.20
2824.00,97.20
2823.00,97.21
2822.00,97.21
2821.00,97.22
2820.00,97.21
2819.00,97.21
2818.00,97.21
2817.00,97.21
2816.00,97.21
2815.00,97.21
2814.00,97.22
2813.00,97.21
2812.00,97.20
2811.00,97.19
2810.00,97.18
2809.00,97.18
2808.00,97.19
2807.00,97.20
2806.00,97.21
2805.00,97.22
2804.00,97.23
2803.00,97.24
2802.00,97.24
2801.00,97.24
2800.00,97.24
2799.00,97.23
2798.00,97.22
2797.00,97.21
2796.00,97.21
2795.00,97.22
2794.00,97.23
2793.00,97.25
2792.00,97.26
2791.00,97.27
2790.00,97.27
2789.00,97.26
2788.00,97.25
2787.00,97.24
2786.00,97.24
2785.00,97.24
2784.00,97.26
2783.00,97.27
2782.00,97.28
2781.00,97.29
2780.00,97.29
2779.00,97.29
2778.00,97.28
2777.00,97.27
2776.00,97.25
2775.00,97.24
2774.00,97.24
2773.00,97.25
2772.00,97.26
2771.00,97.27
2770.00,97.28
2769.00,97.28
2768.00,97.27
2767.00,97.27
2766.00,97.27
2765.00,97.27
2764.00,97.28
2763.00,97.29
2762.00,97.29
2761.00,97.27
2760.00,97.25
2759.00,97.23
2758.00,97.23
2757.00,97.25
2756.00,97.27
2755.00,97.29
2754.00,97.30
2753.00,97.30
2752.00,97.30
2751.00,97.30
2750.00,97.29
2749.00,97.30
2748.00,97.30
2747.00,97.30
2746.00,97.29
2745.00,97.28
2744.00,97.28
2743.00,97.28
2742.00,97.28
2741.00,97.28
2740.00,97.28
2739.00,97.28
2738.00,97.27
2737.00,97.27
2736.00,97.28
2735.00,97.30
2734.00,97.31
2733.00,97.31
2732.00,97.30
2731.00,97.29
2730.00,97.27
2729.00,97.26
2728.00,97.26
2727.00,97.27
2726.00,97.27
2725.00,97.26
2724.00,97.26
2723.00,97.26
2722.00,97.27
2721.00,97.28
2720.00,97.29
2719.00,97.30
2718.00,97.30
2717.00,97.30
2716.00,97.30
2715.00,97.29
2714.00,97.29
2713.00,97.28
2712.00,97.28
2711.00,97.28
2710.00,97.28
2709.00,97.28
2708.00,97.28
2707.00,97.29
2706.00,97.29
2705.00,97.29
2704.00,97.27
2703.00,97.25
2702.00,97.24
2701.00,97.26
2700.00,97.27
2699.00,97.29
2698.00,97.28
2697.00,97.27
2696.00,97.25
2695.00,97.24
2694.00,97.24
2693.00,97.24
2692.00,97.25
2691.00,97.24
2690.00,97.24
2689.00,97.23
2688.00,97.22
2687.00,97.23
2686.00,97.23
2685.00,97.25
2684.00,97.26
2683.00,97.26
