Created as New Dataset,13.3 Red Wool Romney sheep
cm-1,%T
3034.00,89.88
3033.00,89.94
3032.00,90.00
3031.00,90.05
3030.00,90.10
3029.00,90.16
3028.00,90.21
3027.00,90.27
3026.00,90.32
3025.00,90.36
3024.00,90.41
3023.00,90.47
3022.00,90.53
3021.00,90.59
3020.00,90.64
3019.00,90.69
3018.00,90.74
3017.00,90.78
3016.00,90.82
3015.00,90.85
3014.00,90.87
3013.00,90.90
3012.00,90.94
3011.00,90.99
3010.00,91.02
3009.00,91.03
3008.00,91.03
3007.00,91.02
3006.00,91.02
3005.00,91.02
3004.00,91.02
3003.00,91.02
3002.00,91.01
3001.00,90.99
3000.00,90.95
2999.00,90.92
2998.00,90.88
2997.00,90.86
2996.00,90.84
2995.00,90.81
2994.00,90.76
2993.00,90.70
2992.00,90.62
2991.00,90.53
2990.00,90.44
2989.00,90.34
2988.00,90.24
2987.00,90.14
2986.00,90.02
2985.00,89.91
2984.00,89.77
2983.00,89.62
2982.00,89.45
2981.00,89.27
2980.00,89.08
2979.00,88.90
2978.00,88.72
2977.00,88.55
2976.00,88.38
2975.00,88.22
2974.00,88.04
2973.00,87.86
2972.00,87.67
2971.00,87.47
2970.00,87.27
2969.00,87.05
2968.00,86.82
2967.00,86.60
2966.00,86.40
2965.00,86.20
2964.00,86.03
2963.00,85.87
2962.00,85.73
2961.00,85.62
2960.00,85.53
2959.00,85.46
2958.00,85.39
2957.00,85.33
2956.00,85.29
2955.00,85.26
2954.00,85.24
2953.00,85.24
2952.00,85.25
2951.00,85.27
2950.00,85.30
2949.00,85.32
2948.00,85.32
2947.00,85.30
2946.00,85.26
2945.00,85.19
2944.00,85.10
2943.00,84.97
2942.00,84.81
2941.00,84.61
2940.00,84.38
2939.00,84.14
2938.00,83.89
2937.00,83.62
2936.00,83.35
2935.00,83.06
2934.00,82.77
2933.00,82.47
2932.00,82.15
2931.00,81.83
2930.00,81.52
2929.00,81.22
2928.00,80.94
2927.00,80.67
2926.00,80.41
2925.00,80.18
2924.00,79.98
2923.00,79.82
2922.00,79.70
2921.00,79.61
2920.00,79.56
2919.00,79.57
2918.00,79.69
2917.00,79.97
2916.00,80.42
2915.00,81.02
