Created as New Dataset,14.3 Red Wool sheep crepe
cm-1,%T
3374.00,87.95
3373.00,87.92
3372.00,87.87
3371.00,87.82
3370.00,87.77
3369.00,87.72
3368.00,87.66
3367.00,87.60
3366.00,87.55
3365.00,87.49
3364.00,87.45
3363.00,87.41
3362.00,87.38
3361.00,87.36
3360.00,87.33
3359.00,87.31
3358.00,87.27
3357.00,87.23
3356.00,87.17
3355.00,87.11
3354.00,87.05
3353.00,87.01
3352.00,86.97
3351.00,86.93
3350.00,86.89
3349.00,86.85
3348.00,86.81
3347.00,86.76
3346.00,86.72
3345.00,86.68
3344.00,86.64
3343.00,86.60
3342.00,86.54
3341.00,86.47
3340.00,86.41
3339.00,86.36
3338.00,86.32
3337.00,86.28
3336.00,86.24
3335.00,86.21
3334.00,86.16
3333.00,86.11
3332.00,86.04
3331.00,85.96
3330.00,85.90
3329.00,85.85
3328.00,85.84
3327.00,85.82
3326.00,85.80
3325.00,85.76
3324.00,85.69
3323.00,85.63
3322.00,85.57
3321.00,85.51
3320.00,85.47
3319.00,85.42
3318.00,85.37
3317.00,85.32
3316.00,85.25
3315.00,85.19
3314.00,85.12
3313.00,85.06
3312.00,85.00
3311.00,84.96
3310.00,84.93
3309.00,84.89
3308.00,84.84
3307.00,84.79
3306.00,84.73
3305.00,84.67
3304.00,84.60
3303.00,84.53
3302.00,84.48
3301.00,84.43
3300.00,84.40
3299.00,84.36
3298.00,84.32
3297.00,84.27
3296.00,84.21
3295.00,84.16
3294.00,84.12
3293.00,84.09
3292.00,84.06
3291.00,84.04
3290.00,84.02
3289.00,84.00
3288.00,83.98
3287.00,83.94
3286.00,83.90
3285.00,83.87
3284.00,83.85
3283.00,83.85
3282.00,83.86
3281.00,83.85
3280.00,83.83
3279.00,83.79
3278.00,83.75
3277.00,83.72
3276.00,83.71
3275.00,83.72
3274.00,83.73
3273.00,83.75
3272.00,83.78
3271.00,83.80
3270.00,83.83
3269.00,83.85
3268.00,83.88
3267.00,83.92
3266.00,83.98
3265.00,84.03
3264.00,84.07
