Created as New Dataset,11. Acrylic Bayer
cm-1,%T
3449.00,99.88
3448.00,99.87
3447.00,99.85
3446.00,99.84
3445.00,99.84
3444.00,99.84
3443.00,99.86
3442.00,99.88
3441.00,99.90
3440.00,99.91
3439.00,99.92
3438.00,99.93
3437.00,99.92
3436.00,99.91
3435.00,99.88
3434.00,99.85
3433.00,99.84
3432.00,99.85
3431.00,99.87
3430.00,99.88
3429.00,99.89
3428.00,99.89
3427.00,99.90
3426.00,99.91
3425.00,99.92
3424.00,99.92
3423.00,99.91
3422.00,99.90
3421.00,99.89
3420.00,99.89
3419.00,99.91
3418.00,99.94
3417.00,99.95
3416.00,99.95
3415.00,99.95
3414.00,99.96
3413.00,99.97
3412.00,99.98
3411.00,99.96
3410.00,99.93
3409.00,99.89
3408.00,99.86
3407.00,99.84
3406.00,99.85
3405.00,99.86
3404.00,99.89
3403.00,99.90
3402.00,99.89
3401.00,99.87
3400.00,99.86
3399.00,99.86
3398.00,99.88
3397.00,99.90
3396.00,99.90
3395.00,99.90
3394.00,99.89
3393.00,99.88
3392.00,99.87
3391.00,99.87
3390.00,99.88
3389.00,99.89
3388.00,99.90
3387.00,99.92
3386.00,99.92
3385.00,99.92
3384.00,99.92
3383.00,99.91
3382.00,99.91
3381.00,99.92
3380.00,99.92
3379.00,99.93
3378.00,99.92
3377.00,99.92
3376.00,99.92
3375.00,99.91
3374.00,99.91
3373.00,99.90
3372.00,99.90
3371.00,99.90
3370.00,99.89
3369.00,99.89
3368.00,99.89
3367.00,99.89
3366.00,99.89
3365.00,99.89
3364.00,99.89
3363.00,99.88
3362.00,99.89
3361.00,99.89
3360.00,99.90
3359.00,99.90
3358.00,99.90
3357.00,99.90
3356.00,99.90
3355.00,99.89
3354.00,99.89
3353.00,99.88
3352.00,99.88
3351.00,99.88
3350.00,99.88
3349.00,99.87
3348.00,99.86
3347.00,99.85
3346.00,99.85
3345.00,99.86
3344.00,99.86
3343.00,99.87
3342.00,99.86
3341.00,99.86
3340.00,99.86
3339.00,99.87
3338.00,99.88
3337.00,99.88
3336.00,99.88
3335.00,99.87
3334.00,99.87
3333.00,99.87
3332.00,99.87
3331.00,99.87
3330.00,99.86
3329.00,99.87
3328.00,99.89
3327.00,99.91
3326.00,99.92
3325.00,99.91
3324.00,99.88
3323.00,99.86
3322.00,99.84
3321.00,99.83
3320.00,99.83
3319.00,99.83
3318.00,99.82
3317.00,99.81
3316.00,99.80
3315.00,99.80
3314.00,99.81
3313.00,99.83
3312.00,99.85
3311.00,99.86
3310.00,99.88
3309.00,99.88
3308.00,99.87
3307.00,99.85
3306.00,99.85
3305.00,99.86
3304.00,99.87
3303.00,99.88
3302.00,99.90
3301.00,99.91
3300.00,99.91
3299.00,99.92
3298.00,99.92
3297.00,99.91
3296.00,99.90
3295.00,99.88
3294.00,99.87
3293.00,99.87
3292.00,99.88
3291.00,99.88
3290.00,99.89
3289.00,99.90
3288.00,99.91
3287.00,99.90
3286.00,99.89
3285.00,99.86
3284.00,99.84
3283.00,99.82
3282.00,99.82
3281.00,99.84
3280.00,99.86
3279.00,99.87
3278.00,99.87
3277.00,99.86
3276.00,99.85
3275.00,99.85
3274.00,99.85
3273.00,99.85
3272.00,99.83
3271.00,99.82
3270.00,99.83
3269.00,99.86
3268.00,99.89
3267.00,99.91
3266.00,99.91
3265.00,99.89
3264.00,99.86
3263.00,99.83
3262.00,99.81
3261.00,99.80
3260.00,99.79
3259.00,99.80
3258.00,99.82
3257.00,99.84
3256.00,99.85
3255.00,99.85
3254.00,99.84
3253.00,99.82
3252.00,99.80
3251.00,99.79
3250.00,99.77
3249.00,99.75
3248.00,99.75
3247.00,99.76
3246.00,99.78
3245.00,99.80
3244.00,99.82
3243.00,99.83
3242.00,99.83
3241.00,99.82
3240.00,99.82
3239.00,99.82
3238.00,99.82
3237.00,99.81
3236.00,99.81
3235.00,99.80
3234.00,99.81
3233.00,99.81
3232.00,99.80
3231.00,99.79
3230.00,99.78
3229.00,99.78
3228.00,99.80
3227.00,99.81
3226.00,99.83
3225.00,99.83
3224.00,99.82
3223.00,99.81
3222.00,99.80
3221.00,99.81
3220.00,99.82
3219.00,99.83
3218.00,99.84
3217.00,99.82
3216.00,99.80
3215.00,99.78
3214.00,99.77
3213.00,99.78
3212.00,99.79
3211.00,99.79
3210.00,99.79
3209.00,99.78
3208.00,99.77
3207.00,99.77
3206.00,99.76
3205.00,99.76
