Created as New Dataset,12.2 Red Icelandic sheep
cm-1,%T
3507.00,94.51
3506.00,94.50
3505.00,94.47
3504.00,94.43
3503.00,94.37
3502.00,94.30
3501.00,94.24
3500.00,94.18
3499.00,94.14
3498.00,94.11
3497.00,94.08
3496.00,94.04
3495.00,93.98
3494.00,93.93
3493.00,93.87
3492.00,93.82
3491.00,93.77
3490.00,93.73
3489.00,93.70
3488.00,93.67
3487.00,93.64
3486.00,93.60
3485.00,93.56
3484.00,93.52
3483.00,93.46
3482.00,93.41
3481.00,93.36
3480.00,93.32
3479.00,93.30
3478.00,93.29
3477.00,93.28
3476.00,93.25
3475.00,93.22
3474.00,93.17
3473.00,93.12
3472.00,93.07
3471.00,93.01
3470.00,92.96
3469.00,92.91
3468.00,92.88
3467.00,92.85
3466.00,92.83
3465.00,92.80
3464.00,92.77
3463.00,92.74
3462.00,92.72
3461.00,92.70
3460.00,92.67
3459.00,92.63
3458.00,92.58
3457.00,92.54
3456.00,92.50
3455.00,92.46
3454.00,92.42
3453.00,92.36
3452.00,92.31
3451.00,92.27
3450.00,92.23
3449.00,92.19
3448.00,92.16
3447.00,92.14
3446.00,92.11
3445.00,92.07
3444.00,92.03
3443.00,91.99
3442.00,91.95
3441.00,91.93
3440.00,91.92
3439.00,91.92
3438.00,91.90
3437.00,91.87
3436.00,91.82
3435.00,91.76
3434.00,91.70
3433.00,91.64
3432.00,91.58
3431.00,91.54
3430.00,91.51
3429.00,91.49
3428.00,91.47
3427.00,91.44
3426.00,91.40
3425.00,91.36
3424.00,91.34
3423.00,91.32
3422.00,91.32
3421.00,91.31
3420.00,91.29
3419.00,91.26
3418.00,91.20
3417.00,91.14
3416.00,91.08
3415.00,91.04
3414.00,91.02
3413.00,91.01
3412.00,91.00
3411.00,90.98
3410.00,90.95
3409.00,90.91
3408.00,90.86
3407.00,90.82
3406.00,90.78
3405.00,90.76
3404.00,90.74
3403.00,90.73
3402.00,90.70
3401.00,90.68
3400.00,90.65
3399.00,90.62
3398.00,90.59
3397.00,90.54
3396.00,90.48
3395.00,90.42
3394.00,90.38
3393.00,90.37
3392.00,90.37
3391.00,90.38
3390.00,90.38
3389.00,90.36
3388.00,90.33
3387.00,90.30
3386.00,90.27
3385.00,90.26
3384.00,90.24
3383.00,90.22
3382.00,90.20
3381.00,90.18
3380.00,90.14
3379.00,90.10
3378.00,90.06
3377.00,90.02
3376.00,90.00
3375.00,89.99
3374.00,89.98
3373.00,89.98
3372.00,89.97
3371.00,89.95
3370.00,89.93
3369.00,89.89
3368.00,89.86
3367.00,89.82
3366.00,89.78
3365.00,89.75
3364.00,89.71
3363.00,89.66
3362.00,89.62
3361.00,89.58
3360.00,89.56
3359.00,89.54
3358.00,89.53
3357.00,89.52
3356.00,89.50
3355.00,89.48
3354.00,89.46
3353.00,89.44
3352.00,89.40
3351.00,89.36
3350.00,89.33
3349.00,89.29
3348.00,89.27
3347.00,89.25
3346.00,89.24
3345.00,89.23
3344.00,89.22
3343.00,89.21
3342.00,89.19
3341.00,89.17
3340.00,89.15
3339.00,89.13
3338.00,89.10
3337.00,89.06
3336.00,89.01
3335.00,88.97
3334.00,88.93
3333.00,88.90
3332.00,88.87
3331.00,88.85
3330.00,88.84
3329.00,88.83
3328.00,88.82
3327.00,88.80
3326.00,88.77
3325.00,88.74
3324.00,88.71
3323.00,88.68
3322.00,88.65
3321.00,88.61
3320.00,88.57
3319.00,88.54
3318.00,88.51
3317.00,88.49
3316.00,88.46
3315.00,88.43
3314.00,88.40
3313.00,88.36
3312.00,88.33
3311.00,88.30
3310.00,88.27
3309.00,88.24
3308.00,88.21
3307.00,88.20
3306.00,88.19
3305.00,88.17
3304.00,88.15
3303.00,88.11
3302.00,88.07
3301.00,88.03
3300.00,87.99
3299.00,87.96
3298.00,87.93
3297.00,87.90
3296.00,87.89
3295.00,87.87
3294.00,87.86
3293.00,87.85
3292.00,87.84
3291.00,87.82
3290.00,87.80
3289.00,87.78
3288.00,87.75
3287.00,87.73
3286.00,87.71
3285.00,87.69
3284.00,87.66
3283.00,87.64
3282.00,87.63
3281.00,87.63
3280.00,87.62
3279.00,87.63
3278.00,87.64
3277.00,87.66
3276.00,87.66
3275.00,87.65
3274.00,87.64
3273.00,87.64
3272.00,87.65
3271.00,87.66
3270.00,87.67
3269.00,87.68
3268.00,87.71
3267.00,87.74
3266.00,87.76
3265.00,87.78
3264.00,87.79
3263.00,87.79
3262.00,87.80
3261.00,87.82
3260.00,87.86
3259.00,87.90
3258.00,87.94
3257.00,87.98
3256.00,88.03
3255.00,88.09
3254.00,88.14
3253.00,88.16
3252.00,88.17
3251.00,88.19
3250.00,88.23
3249.00,88.28
3248.00,88.32
3247.00,88.36
3246.00,88.38
3245.00,88.42
3244.00,88.47
3243.00,88.52
3242.00,88.57
3241.00,88.60
3240.00,88.62
3239.00,88.64
3238.00,88.66
3237.00,88.70
3236.00,88.73
3235.00,88.76
3234.00,88.79
3233.00,88.80
3232.00,88.82
3231.00,88.85
3230.00,88.90
3229.00,88.94
3228.00,88.98
3227.00,89.01
3226.00,89.04
3225.00,89.06
3224.00,89.08
3223.00,89.10
3222.00,89.13
3221.00,89.16
3220.00,89.19
3219.00,89.22
3218.00,89.25
3217.00,89.28
3216.00,89.31
3215.00,89.35
3214.00,89.39
3213.00,89.43
3212.00,89.47
3211.00,89.51
3210.00,89.53
3209.00,89.55
3208.00,89.57
3207.00,89.58
3206.00,89.59
3205.00,89.60
3204.00,89.64
3203.00,89.69
3202.00,89.75
3201.00,89.79
3200.00,89.83
3199.00,89.87
3198.00,89.91
3197.00,89.95
3196.00,89.99
3195.00,90.03
3194.00,90.06
3193.00,90.09
3192.00,90.12
3191.00,90.16
3190.00,90.20
