Created as New Dataset,Bio-Couture 16/2 Mercerized Cotton
cm-1,%T
3376.00,87.14
3375.00,87.11
3374.00,87.07
3373.00,87.02
3372.00,86.97
3371.00,86.91
3370.00,86.86
3369.00,86.82
3368.00,86.79
3367.00,86.74
3366.00,86.69
3365.00,86.64
3364.00,86.58
3363.00,86.53
3362.00,86.48
3361.00,86.43
3360.00,86.38
3359.00,86.33
3358.00,86.27
3357.00,86.20
3356.00,86.14
3355.00,86.10
3354.00,86.06
3353.00,86.02
3352.00,85.96
3351.00,85.88
3350.00,85.79
3349.00,85.71
3348.00,85.63
3347.00,85.58
3346.00,85.54
3345.00,85.52
3344.00,85.49
3343.00,85.44
3342.00,85.39
3341.00,85.34
3340.00,85.29
3339.00,85.24
3338.00,85.20
3337.00,85.16
3336.00,85.13
3335.00,85.11
3334.00,85.11
3333.00,85.12
3332.00,85.14
3331.00,85.16
3330.00,85.17
3329.00,85.17
3328.00,85.18
3327.00,85.21
3326.00,85.26
3325.00,85.30
3324.00,85.34
3323.00,85.37
3322.00,85.39
3321.00,85.41
3320.00,85.44
3319.00,85.47
3318.00,85.48
3317.00,85.49
3316.00,85.49
3315.00,85.51
3314.00,85.53
3313.00,85.55
3312.00,85.56
3311.00,85.57
3310.00,85.58
3309.00,85.59
3308.00,85.59
3307.00,85.58
3306.00,85.58
3305.00,85.57
3304.00,85.57
3303.00,85.58
3302.00,85.60
3301.00,85.61
3300.00,85.61
3299.00,85.60
3298.00,85.59
3297.00,85.58
3296.00,85.57
3295.00,85.58
3294.00,85.58
3293.00,85.59
3292.00,85.60
3291.00,85.61
3290.00,85.63
3289.00,85.65
3288.00,85.67
3287.00,85.69
3286.00,85.69
3285.00,85.69
3284.00,85.68
3283.00,85.68
3282.00,85.69
3281.00,85.73
3280.00,85.77
3279.00,85.80
3278.00,85.83
3277.00,85.85
3276.00,85.86
3275.00,85.87
3274.00,85.89
3273.00,85.92
3272.00,85.94
3271.00,85.95
3270.00,85.96
3269.00,85.98
3268.00,86.01
3267.00,86.05
3266.00,86.09
3265.00,86.13
3264.00,86.17
3263.00,86.23
3262.00,86.30
3261.00,86.36
3260.00,86.41
3259.00,86.45
3258.00,86.48
3257.00,86.53
3256.00,86.59
3255.00,86.67
3254.00,86.74
3253.00,86.80
3252.00,86.85
3251.00,86.90
3250.00,86.95
3249.00,87.00
3248.00,87.05
3247.00,87.08
3246.00,87.12
3245.00,87.16
3244.00,87.21
3243.00,87.26
3242.00,87.30
3241.00,87.35
3240.00,87.39
3239.00,87.44
3238.00,87.50
3237.00,87.54
3236.00,87.59
3235.00,87.65
3234.00,87.70
3233.00,87.76
3232.00,87.81
3231.00,87.85
3230.00,87.89
