Created as New Dataset,81. Nylon Allied Signal Fibers
cm-1,%T
2512.00,98.23
2511.00,98.23
2510.00,98.21
2509.00,98.19
2508.00,98.17
2507.00,98.17
2506.00,98.18
2505.00,98.19
2504.00,98.20
2503.00,98.22
2502.00,98.23
2501.00,98.25
2500.00,98.25
2499.00,98.24
2498.00,98.21
2497.00,98.17
2496.00,98.14
2495.00,98.14
2494.00,98.14
2493.00,98.16
2492.00,98.17
2491.00,98.17
2490.00,98.17
2489.00,98.17
2488.00,98.18
2487.00,98.20
2486.00,98.22
2485.00,98.22
2484.00,98.22
2483.00,98.21
2482.00,98.20
2481.00,98.19
2480.00,98.18
2479.00,98.17
2478.00,98.15
2477.00,98.14
2476.00,98.14
2475.00,98.15
2474.00,98.16
2473.00,98.16
2472.00,98.16
2471.00,98.16
2470.00,98.16
2469.00,98.17
2468.00,98.17
2467.00,98.16
2466.00,98.16
2465.00,98.17
2464.00,98.18
2463.00,98.19
2462.00,98.19
2461.00,98.19
2460.00,98.19
2459.00,98.18
2458.00,98.17
2457.00,98.15
