Created as New Dataset,176. Shaw industries (Beige)
cm-1,%T
3445.00,97.44
3444.00,97.40
3443.00,97.36
3442.00,97.35
3441.00,97.35
3440.00,97.36
3439.00,97.36
3438.00,97.34
3437.00,97.30
3436.00,97.25
3435.00,97.21
3434.00,97.18
3433.00,97.18
3432.00,97.19
3431.00,97.20
3430.00,97.22
3429.00,97.24
3428.00,97.26
3427.00,97.29
3426.00,97.33
3425.00,97.37
3424.00,97.40
3423.00,97.43
3422.00,97.46
3421.00,97.48
3420.00,97.49
3419.00,97.51
3418.00,97.52
3417.00,97.54
3416.00,97.56
3415.00,97.58
3414.00,97.59
3413.00,97.61
3412.00,97.64
3411.00,97.67
3410.00,97.68
3409.00,97.69
3408.00,97.68
3407.00,97.67
3406.00,97.65
3405.00,97.65
3404.00,97.66
3403.00,97.69
3402.00,97.73
3401.00,97.75
3400.00,97.77
3399.00,97.78
3398.00,97.78
3397.00,97.78
3396.00,97.77
3395.00,97.77
3394.00,97.79
3393.00,97.80
3392.00,97.80
3391.00,97.78
3390.00,97.76
3389.00,97.74
3388.00,97.76
3387.00,97.79
3386.00,97.82
3385.00,97.84
3384.00,97.83
3383.00,97.83
3382.00,97.82
3381.00,97.82
3380.00,97.81
3379.00,97.81
3378.00,97.81
3377.00,97.81
3376.00,97.81
3375.00,97.81
3374.00,97.82
3373.00,97.83
3372.00,97.85
3371.00,97.87
3370.00,97.88
3369.00,97.87
3368.00,97.85
3367.00,97.83
3366.00,97.82
3365.00,97.82
3364.00,97.83
3363.00,97.85
3362.00,97.86
3361.00,97.86
3360.00,97.85
3359.00,97.84
3358.00,97.84
3357.00,97.86
3356.00,97.87
3355.00,97.86
3354.00,97.85
3353.00,97.83
3352.00,97.82
3351.00,97.81
3350.00,97.81
3349.00,97.80
3348.00,97.80
3347.00,97.80
3346.00,97.81
3345.00,97.81
3344.00,97.81
3343.00,97.80
3342.00,97.79
3341.00,97.78
3340.00,97.78
3339.00,97.78
3338.00,97.78
3337.00,97.76
3336.00,97.74
3335.00,97.73
3334.00,97.74
3333.00,97.76
3332.00,97.78
3331.00,97.78
3330.00,97.77
3329.00,97.76
3328.00,97.76
3327.00,97.77
3326.00,97.79
3325.00,97.81
3324.00,97.81
3323.00,97.80
3322.00,97.78
3321.00,97.76
3320.00,97.76
3319.00,97.76
3318.00,97.77
3317.00,97.79
3316.00,97.81
3315.00,97.83
3314.00,97.84
3313.00,97.84
3312.00,97.83
3311.00,97.82
3310.00,97.82
3309.00,97.82
3308.00,97.82
3307.00,97.81
3306.00,97.81
3305.00,97.81
3304.00,97.81
3303.00,97.81
3302.00,97.80
3301.00,97.79
3300.00,97.79
3299.00,97.79
3298.00,97.80
3297.00,97.80
3296.00,97.80
3295.00,97.81
3294.00,97.82
3293.00,97.83
3292.00,97.84
3291.00,97.85
3290.00,97.85
3289.00,97.85
3288.00,97.85
3287.00,97.83
3286.00,97.81
3285.00,97.80
3284.00,97.79
3283.00,97.79
3282.00,97.80
3281.00,97.80
3280.00,97.80
3279.00,97.79
3278.00,97.78
3277.00,97.76
3276.00,97.75
3275.00,97.75
3274.00,97.78
3273.00,97.82
3272.00,97.86
3271.00,97.87
3270.00,97.86
3269.00,97.85
3268.00,97.84
3267.00,97.84
3266.00,97.84
3265.00,97.84
3264.00,97.83
3263.00,97.82
3262.00,97.82
3261.00,97.82
3260.00,97.82
3259.00,97.81
3258.00,97.79
3257.00,97.77
3256.00,97.77
3255.00,97.77
3254.00,97.78
3253.00,97.79
3252.00,97.80
3251.00,97.80
3250.00,97.80
3249.00,97.80
3248.00,97.80
3247.00,97.82
3246.00,97.83
3245.00,97.84
3244.00,97.85
3243.00,97.84
3242.00,97.82
3241.00,97.81
3240.00,97.81
3239.00,97.81
3238.00,97.81
3237.00,97.80
3236.00,97.79
3235.00,97.77
3234.00,97.75
3233.00,97.74
3232.00,97.74
3231.00,97.75
3230.00,97.77
3229.00,97.79
3228.00,97.80
3227.00,97.81
3226.00,97.81
3225.00,97.80
3224.00,97.79
3223.00,97.77
3222.00,97.74
3221.00,97.72
3220.00,97.71
3219.00,97.72
3218.00,97.74
3217.00,97.77
3216.00,97.80
3215.00,97.81
3214.00,97.81
3213.00,97.79
3212.00,97.78
3211.00,97.77
3210.00,97.77
3209.00,97.78
3208.00,97.79
3207.00,97.80
3206.00,97.80
3205.00,97.80
3204.00,97.80
3203.00,97.79
3202.00,97.79
3201.00,97.78
3200.00,97.77
3199.00,97.78
3198.00,97.78
3197.00,97.79
3196.00,97.78
3195.00,97.76
3194.00,97.73
3193.00,97.71
3192.00,97.70
3191.00,97.70
3190.00,97.72
3189.00,97.74
3188.00,97.75
3187.00,97.76
3186.00,97.77
3185.00,97.77
3184.00,97.78
3183.00,97.79
3182.00,97.81
3181.00,97.83
3180.00,97.83
3179.00,97.82
3178.00,97.79
3177.00,97.76
3176.00,97.74
3175.00,97.73
3174.00,97.74
3173.00,97.75
3172.00,97.76
3171.00,97.76
3170.00,97.75
3169.00,97.74
3168.00,97.72
3167.00,97.71
3166.00,97.71
3165.00,97.71
3164.00,97.72
3163.00,97.74
3162.00,97.76
3161.00,97.78
3160.00,97.79
3159.00,97.79
3158.00,97.79
3157.00,97.79
3156.00,97.78
3155.00,97.78
3154.00,97.78
3153.00,97.77
3152.00,97.77
3151.00,97.77
3150.00,97.76
3149.00,97.76
3148.00,97.76
3147.00,97.75
3146.00,97.75
3145.00,97.74
3144.00,97.73
3143.00,97.71
3142.00,97.70
3141.00,97.69
3140.00,97.69
3139.00,97.70
3138.00,97.70
3137.00,97.70
3136.00,97.70
3135.00,97.70
3134.00,97.68
3133.00,97.67
