Created as New Dataset,128 Shaw Industries (Dark blue/Black)
cm-1,%T
3110.00,100.35
3109.00,100.35
3108.00,100.35
3107.00,100.36
3106.00,100.36
3105.00,100.35
3104.00,100.34
3103.00,100.33
3102.00,100.31
3101.00,100.31
3100.00,100.31
3099.00,100.32
3098.00,100.33
3097.00,100.33
3096.00,100.32
3095.00,100.32
3094.00,100.34
3093.00,100.36
3092.00,100.37
3091.00,100.38
3090.00,100.37
3089.00,100.36
3088.00,100.35
3087.00,100.34
3086.00,100.32
3085.00,100.31
3084.00,100.30
3083.00,100.31
3082.00,100.32
3081.00,100.33
3080.00,100.33
3079.00,100.33
3078.00,100.34
3077.00,100.36
3076.00,100.37
3075.00,100.37
3074.00,100.36
3073.00,100.34
3072.00,100.32
3071.00,100.31
3070.00,100.29
3069.00,100.28
3068.00,100.28
3067.00,100.29
3066.00,100.30
3065.00,100.31
3064.00,100.31
3063.00,100.30
3062.00,100.29
3061.00,100.29
3060.00,100.29
3059.00,100.30
3058.00,100.30
3057.00,100.30
3056.00,100.29
3055.00,100.29
3054.00,100.30
3053.00,100.31
3052.00,100.32
3051.00,100.32
3050.00,100.31
3049.00,100.31
3048.00,100.32
3047.00,100.33
3046.00,100.35
3045.00,100.36
3044.00,100.36
3043.00,100.36
3042.00,100.35
3041.00,100.34
3040.00,100.33
3039.00,100.31
3038.00,100.30
3037.00,100.31
3036.00,100.32
3035.00,100.34
3034.00,100.34
3033.00,100.33
3032.00,100.30
3031.00,100.28
3030.00,100.27
3029.00,100.26
3028.00,100.26
3027.00,100.25
3026.00,100.24
3025.00,100.25
3024.00,100.26
3023.00,100.26
3022.00,100.26
3021.00,100.25
3020.00,100.24
3019.00,100.23
3018.00,100.23
3017.00,100.23
3016.00,100.23
3015.00,100.21
3014.00,100.19
3013.00,100.16
3012.00,100.14
3011.00,100.13
3010.00,100.12
3009.00,100.12
3008.00,100.12
3007.00,100.11
3006.00,100.10
3005.00,100.07
3004.00,100.04
3003.00,100.01
3002.00,99.98
3001.00,99.95
3000.00,99.93
2999.00,99.90
2998.00,99.87
2997.00,99.83
2996.00,99.79
2995.00,99.74
2994.00,99.69
2993.00,99.64
2992.00,99.58
2991.00,99.52
2990.00,99.46
2989.00,99.40
2988.00,99.34
2987.00,99.26
2986.00,99.17
2985.00,99.07
2984.00,98.95
2983.00,98.81
2982.00,98.64
2981.00,98.45
2980.00,98.24
2979.00,98.01
2978.00,97.76
2977.00,97.48
2976.00,97.15
2975.00,96.77
2974.00,96.34
2973.00,95.85
2972.00,95.30
2971.00,94.68
2970.00,94.00
2969.00,93.27
2968.00,92.49
2967.00,91.65
2966.00,90.76
2965.00,89.85
2964.00,88.95
2963.00,88.11
2962.00,87.37
2961.00,86.76
2960.00,86.30
2959.00,85.97
2958.00,85.74
2957.00,85.57
2956.00,85.38
2955.00,85.16
2954.00,84.90
2953.00,84.63
2952.00,84.43
2951.00,84.35
2950.00,84.47
2949.00,84.81
2948.00,85.39
2947.00,86.16
2946.00,87.08
2945.00,88.05
2944.00,89.02
2943.00,89.88
2942.00,90.61
2941.00,91.15
2940.00,91.51
2939.00,91.70
2938.00,91.72
2937.00,91.61
2936.00,91.38
2935.00,91.04
2934.00,90.59
2933.00,90.06
2932.00,89.45
2931.00,88.78
2930.00,88.09
2929.00,87.40
2928.00,86.73
2927.00,86.10
2926.00,85.51
2925.00,84.95
2924.00,84.43
2923.00,83.93
2922.00,83.43
2921.00,82.98
2920.00,82.58
2919.00,82.28
2918.00,82.12
2917.00,82.13
2916.00,82.28
2915.00,82.56
2914.00,82.91
2913.00,83.30
2912.00,83.69
2911.00,84.04
2910.00,84.36
2909.00,84.65
2908.00,84.94
2907.00,85.26
2906.00,85.62
2905.00,86.01
2904.00,86.43
2903.00,86.87
2902.00,87.32
2901.00,87.77
2900.00,88.22
2899.00,88.64
2898.00,89.06
2897.00,89.45
2896.00,89.80
2895.00,90.11
2894.00,90.37
2893.00,90.56
2892.00,90.71
2891.00,90.82
2890.00,90.89
2889.00,90.94
2888.00,90.96
2887.00,90.93
2886.00,90.86
2885.00,90.76
2884.00,90.64
2883.00,90.50
2882.00,90.35
2881.00,90.19
2880.00,90.04
2879.00,89.92
2878.00,89.83
2877.00,89.80
2876.00,89.80
2875.00,89.81
2874.00,89.81
2873.00,89.78
2872.00,89.72
2871.00,89.63
2870.00,89.51
2869.00,89.40
2868.00,89.35
2867.00,89.42
2866.00,89.66
2865.00,90.08
2864.00,90.68
2863.00,91.38
2862.00,92.13
2861.00,92.84
2860.00,93.47
2859.00,93.98
2858.00,94.39
2857.00,94.68
2856.00,94.88
2855.00,95.00
2854.00,95.06
2853.00,95.04
2852.00,94.97
2851.00,94.83
2850.00,94.63
2849.00,94.36
2848.00,94.01
2847.00,93.58
2846.00,93.07
2845.00,92.50
2844.00,91.89
2843.00,91.27
2842.00,90.68
2841.00,90.14
2840.00,89.72
2839.00,89.47
2838.00,89.42
2837.00,89.61
2836.00,90.04
2835.00,90.65
2834.00,91.41
2833.00,92.23
2832.00,93.04
2831.00,93.80
2830.00,94.48
2829.00,95.06
2828.00,95.55
2827.00,95.95
2826.00,96.27
2825.00,96.54
2824.00,96.75
2823.00,96.94
2822.00,97.11
2821.00,97.28
2820.00,97.44
2819.00,97.57
2818.00,97.67
2817.00,97.75
2816.00,97.82
2815.00,97.89
2814.00,97.95
2813.00,98.01
2812.00,98.06
2811.00,98.11
2810.00,98.16
2809.00,98.22
2808.00,98.29
2807.00,98.35
2806.00,98.41
2805.00,98.45
2804.00,98.51
2803.00,98.56
2802.00,98.63
2801.00,98.68
2800.00,98.73
2799.00,98.76
2798.00,98.78
2797.00,98.79
2796.00,98.80
2795.00,98.82
2794.00,98.85
2793.00,98.89
2792.00,98.94
2791.00,98.99
2790.00,99.03
2789.00,99.07
2788.00,99.11
2787.00,99.15
2786.00,99.18
2785.00,99.20
2784.00,99.22
2783.00,99.24
2782.00,99.26
2781.00,99.29
2780.00,99.32
2779.00,99.36
2778.00,99.39
2777.00,99.41
2776.00,99.42
2775.00,99.42
2774.00,99.43
2773.00,99.44
2772.00,99.46
2771.00,99.47
2770.00,99.48
2769.00,99.48
2768.00,99.48
2767.00,99.48
2766.00,99.49
2765.00,99.50
2764.00,99.51
2763.00,99.51
2762.00,99.50
2761.00,99.50
2760.00,99.50
2759.00,99.53
2758.00,99.56
2757.00,99.59
2756.00,99.61
2755.00,99.61
2754.00,99.61
2753.00,99.60
2752.00,99.59
2751.00,99.58
2750.00,99.57
2749.00,99.57
2748.00,99.56
2747.00,99.57
2746.00,99.57
2745.00,99.57
2744.00,99.57
2743.00,99.55
2742.00,99.53
2741.00,99.51
2740.00,99.48
2739.00,99.46
2738.00,99.45
2737.00,99.44
2736.00,99.44
2735.00,99.44
2734.00,99.42
2733.00,99.40
2732.00,99.37
2731.00,99.35
2730.00,99.33
2729.00,99.31
2728.00,99.29
2727.00,99.27
2726.00,99.25
2725.00,99.25
2724.00,99.24
2723.00,99.24
2722.00,99.25
2721.00,99.26
2720.00,99.28
2719.00,99.31
2718.00,99.33
2717.00,99.35
2716.00,99.38
2715.00,99.42
2714.00,99.46
2713.00,99.48
2712.00,99.50
2711.00,99.52
2710.00,99.54
2709.00,99.56
2708.00,99.58
2707.00,99.58
2706.00,99.59
2705.00,99.61
2704.00,99.63
2703.00,99.65
2702.00,99.66
2701.00,99.66
2700.00,99.67
2699.00,99.67
2698.00,99.67
2697.00,99.67
2696.00,99.66
2695.00,99.65
2694.00,99.65
2693.00,99.66
2692.00,99.67
2691.00,99.67
2690.00,99.67
2689.00,99.66
2688.00,99.64
2687.00,99.64
2686.00,99.64
2685.00,99.64
2684.00,99.63
2683.00,99.64
2682.00,99.65
2681.00,99.66
2680.00,99.67
2679.00,99.68
2678.00,99.68
2677.00,99.68
2676.00,99.67
2675.00,99.67
2674.00,99.67
2673.00,99.68
2672.00,99.68
2671.00,99.69
2670.00,99.69
2669.00,99.68
2668.00,99.67
2667.00,99.67
2666.00,99.66
2665.00,99.66
2664.00,99.66
2663.00,99.65
2662.00,99.64
2661.00,99.62
2660.00,99.61
2659.00,99.60
2658.00,99.59
2657.00,99.60
2656.00,99.60
2655.00,99.61
2654.00,99.61
2653.00,99.59
2652.00,99.58
2651.00,99.59
2650.00,99.60
2649.00,99.61
2648.00,99.60
2647.00,99.59
2646.00,99.59
2645.00,99.60
2644.00,99.60
2643.00,99.60
2642.00,99.59
2641.00,99.58
2640.00,99.57
2639.00,99.56
2638.00,99.55
2637.00,99.54
2636.00,99.54
2635.00,99.52
2634.00,99.51
2633.00,99.50
2632.00,99.50
2631.00,99.49
2630.00,99.48
2629.00,99.46
2628.00,99.44
2627.00,99.43
2626.00,99.42
2625.00,99.41
2624.00,99.41
2623.00,99.40
2622.00,99.39
2621.00,99.38
2620.00,99.37
2619.00,99.36
2618.00,99.35
2617.00,99.34
2616.00,99.35
2615.00,99.37
2614.00,99.39
2613.00,99.41
2612.00,99.40
2611.00,99.38
2610.00,99.36
2609.00,99.35
2608.00,99.35
2607.00,99.35
2606.00,99.35
2605.00,99.35
2604.00,99.34
2603.00,99.34
2602.00,99.34
2601.00,99.36
2600.00,99.38
2599.00,99.38
2598.00,99.36
2597.00,99.33
2596.00,99.30
2595.00,99.29
2594.00,99.29
2593.00,99.30
2592.00,99.30
2591.00,99.29
2590.00,99.28
2589.00,99.27
2588.00,99.26
2587.00,99.24
2586.00,99.22
2585.00,99.20
2584.00,99.18
2583.00,99.16
2582.00,99.15
2581.00,99.15
2580.00,99.15
2579.00,99.16
2578.00,99.17
2577.00,99.18
2576.00,99.18
2575.00,99.18
2574.00,99.17
2573.00,99.16
2572.00,99.16
2571.00,99.19
2570.00,99.22
2569.00,99.27
2568.00,99.30
2567.00,99.31
2566.00,99.30
2565.00,99.28
2564.00,99.27
2563.00,99.28
2562.00,99.30
2561.00,99.31
2560.00,99.31
2559.00,99.29
2558.00,99.28
2557.00,99.27
2556.00,99.26
2555.00,99.26
2554.00,99.26
2553.00,99.25
2552.00,99.25
2551.00,99.26
2550.00,99.27
2549.00,99.28
2548.00,99.29
2547.00,99.31
2546.00,99.32
2545.00,99.33
2544.00,99.32
2543.00,99.29
2542.00,99.26
2541.00,99.23
2540.00,99.23
2539.00,99.24
2538.00,99.24
2537.00,99.24
2536.00,99.24
2535.00,99.26
2534.00,99.29
2533.00,99.30
2532.00,99.30
2531.00,99.30
2530.00,99.29
2529.00,99.28
2528.00,99.27
2527.00,99.27
2526.00,99.28
2525.00,99.29
2524.00,99.30
2523.00,99.30
2522.00,99.30
2521.00,99.31
2520.00,99.32
2519.00,99.31
2518.00,99.30
2517.00,99.29
2516.00,99.29
2515.00,99.30
2514.00,99.32
2513.00,99.33
2512.00,99.33
2511.00,99.32
2510.00,99.30
2509.00,99.29
2508.00,99.29
2507.00,99.32
2506.00,99.35
2505.00,99.37
2504.00,99.39
2503.00,99.40
2502.00,99.39
2501.00,99.38
2500.00,99.35
2499.00,99.33
2498.00,99.31
2497.00,99.31
2496.00,99.30
2495.00,99.31
2494.00,99.32
2493.00,99.33
2492.00,99.33
2491.00,99.31
2490.00,99.30
2489.00,99.29
2488.00,99.27
2487.00,99.25
2486.00,99.23
2485.00,99.21
2484.00,99.23
2483.00,99.26
2482.00,99.30
2481.00,99.31
2480.00,99.31
2479.00,99.31
2478.00,99.31
2477.00,99.32
2476.00,99.34
2475.00,99.35
2474.00,99.35
2473.00,99.35
2472.00,99.35
2471.00,99.36
2470.00,99.36
2469.00,99.37
2468.00,99.37
2467.00,99.36
2466.00,99.34
2465.00,99.32
2464.00,99.30
2463.00,99.29
2462.00,99.28
2461.00,99.27
2460.00,99.26
2459.00,99.26
2458.00,99.25
