Created as New Dataset,12.3 Red Wool Lincoln sheep
cm-1,%T
3062.00,95.75
3061.00,95.77
3060.00,95.80
3059.00,95.83
3058.00,95.86
3057.00,95.88
3056.00,95.92
3055.00,95.95
3054.00,95.99
3053.00,96.01
3052.00,96.02
3051.00,96.03
3050.00,96.04
3049.00,96.06
3048.00,96.09
3047.00,96.12
3046.00,96.15
3045.00,96.18
3044.00,96.22
3043.00,96.26
3042.00,96.29
3041.00,96.32
3040.00,96.33
3039.00,96.35
3038.00,96.38
3037.00,96.43
3036.00,96.48
3035.00,96.53
3034.00,96.57
3033.00,96.61
3032.00,96.64
3031.00,96.66
3030.00,96.69
3029.00,96.71
3028.00,96.73
3027.00,96.76
3026.00,96.79
3025.00,96.84
3024.00,96.89
3023.00,96.93
3022.00,96.95
3021.00,96.96
3020.00,96.97
3019.00,96.98
3018.00,97.00
3017.00,97.02
3016.00,97.05
3015.00,97.08
3014.00,97.10
3013.00,97.11
3012.00,97.12
3011.00,97.12
3010.00,97.13
3009.00,97.13
3008.00,97.13
3007.00,97.12
3006.00,97.12
3005.00,97.12
3004.00,97.12
3003.00,97.13
3002.00,97.12
3001.00,97.10
3000.00,97.07
2999.00,97.05
2998.00,97.03
2997.00,97.01
2996.00,96.99
2995.00,96.96
2994.00,96.92
2993.00,96.87
2992.00,96.81
2991.00,96.75
2990.00,96.68
2989.00,96.61
2988.00,96.53
2987.00,96.46
2986.00,96.40
2985.00,96.33
2984.00,96.26
2983.00,96.18
2982.00,96.10
2981.00,96.01
2980.00,95.91
2979.00,95.81
2978.00,95.71
2977.00,95.60
2976.00,95.48
2975.00,95.37
2974.00,95.26
2973.00,95.15
2972.00,95.04
2971.00,94.94
2970.00,94.84
2969.00,94.74
2968.00,94.63
2967.00,94.53
2966.00,94.42
2965.00,94.30
2964.00,94.19
2963.00,94.09
2962.00,94.00
2961.00,93.92
2960.00,93.86
2959.00,93.80
2958.00,93.77
2957.00,93.76
2956.00,93.75
2955.00,93.76
2954.00,93.78
2953.00,93.80
2952.00,93.82
2951.00,93.86
2950.00,93.89
2949.00,93.91
2948.00,93.91
2947.00,93.88
2946.00,93.83
2945.00,93.75
2944.00,93.66
2943.00,93.54
2942.00,93.40
2941.00,93.25
2940.00,93.10
2939.00,92.94
2938.00,92.77
2937.00,92.58
2936.00,92.38
2935.00,92.19
2934.00,91.99
2933.00,91.79
2932.00,91.57
2931.00,91.34
2930.00,91.12
2929.00,90.90
2928.00,90.69
2927.00,90.47
2926.00,90.24
2925.00,90.00
2924.00,89.78
2923.00,89.57
2922.00,89.38
2921.00,89.21
2920.00,89.07
2919.00,88.99
2918.00,89.00
2917.00,89.13
2916.00,89.40
2915.00,89.80
2914.00,90.28
2913.00,90.81
2912.00,91.33
2911.00,91.82
2910.00,92.26
2909.00,92.64
2908.00,92.95
2907.00,93.21
2906.00,93.43
2905.00,93.62
2904.00,93.80
2903.00,93.95
2902.00,94.10
2901.00,94.22
2900.00,94.33
2899.00,94.44
2898.00,94.55
2897.00,94.66
2896.00,94.77
2895.00,94.87
2894.00,94.97
2893.00,95.05
2892.00,95.13
2891.00,95.21
2890.00,95.28
2889.00,95.34
2888.00,95.40
2887.00,95.45
2886.00,95.49
2885.00,95.54
2884.00,95.58
2883.00,95.62
2882.00,95.65
2881.00,95.68
2880.00,95.69
2879.00,95.69
2878.00,95.67
2877.00,95.65
2876.00,95.63
2875.00,95.62
2874.00,95.61
2873.00,95.61
2872.00,95.60
2871.00,95.60
2870.00,95.60
2869.00,95.62
2868.00,95.66
2867.00,95.70
2866.00,95.73
2865.00,95.74
2864.00,95.73
2863.00,95.68
2862.00,95.60
2861.00,95.47
2860.00,95.30
2859.00,95.10
2858.00,94.88
2857.00,94.63
2856.00,94.35
2855.00,94.05
2854.00,93.73
2853.00,93.41
2852.00,93.12
2851.00,92.93
2850.00,92.90
2849.00,93.07
2848.00,93.46
2847.00,94.00
2846.00,94.61
2845.00,95.22
2844.00,95.77
2843.00,96.23
2842.00,96.60
2841.00,96.90
2840.00,97.16
2839.00,97.37
2838.00,97.55
2837.00,97.69
2836.00,97.82
2835.00,97.92
2834.00,98.00
2833.00,98.08
2832.00,98.15
2831.00,98.21
2830.00,98.26
2829.00,98.31
2828.00,98.36
2827.00,98.41
2826.00,98.44
2825.00,98.47
2824.00,98.50
2823.00,98.52
2822.00,98.54
2821.00,98.58
2820.00,98.61
2819.00,98.66
2818.00,98.69
2817.00,98.73
2816.00,98.77
2815.00,98.81
2814.00,98.82
2813.00,98.83
2812.00,98.83
2811.00,98.84
2810.00,98.86
2809.00,98.89
2808.00,98.91
2807.00,98.92
2806.00,98.93
2805.00,98.95
2804.00,98.98
2803.00,99.01
2802.00,99.03
2801.00,99.05
2800.00,99.06
2799.00,99.07
2798.00,99.09
2797.00,99.11
2796.00,99.13
2795.00,99.13
2794.00,99.14
2793.00,99.15
2792.00,99.16
2791.00,99.18
2790.00,99.20
2789.00,99.23
2788.00,99.26
2787.00,99.29
2786.00,99.31
2785.00,99.33
2784.00,99.35
2783.00,99.37
2782.00,99.38
2781.00,99.39
2780.00,99.39
2779.00,99.40
2778.00,99.42
2777.00,99.45
2776.00,99.47
2775.00,99.48
2774.00,99.48
2773.00,99.48
2772.00,99.49
2771.00,99.50
2770.00,99.51
2769.00,99.52
2768.00,99.53
2767.00,99.53
2766.00,99.54
2765.00,99.56
2764.00,99.59
2763.00,99.62
2762.00,99.64
2761.00,99.65
2760.00,99.65
2759.00,99.66
2758.00,99.68
2757.00,99.69
2756.00,99.70
2755.00,99.70
2754.00,99.70
