Created as New Dataset,17. Cyanenka SA
cm-1,%T
3328.00,99.96
3327.00,99.95
3326.00,99.94
3325.00,99.93
3324.00,99.92
3323.00,99.92
3322.00,99.92
3321.00,99.91
3320.00,99.89
3319.00,99.89
3318.00,99.89
3317.00,99.91
3316.00,99.94
3315.00,99.97
3314.00,100.01
3313.00,100.04
3312.00,100.05
3311.00,100.04
3310.00,100.02
3309.00,99.99
3308.00,99.97
3307.00,99.94
3306.00,99.92
3305.00,99.92
3304.00,99.93
3303.00,99.95
3302.00,99.96
3301.00,99.97
3300.00,99.97
3299.00,99.96
3298.00,99.95
3297.00,99.94
3296.00,99.93
3295.00,99.92
3294.00,99.92
3293.00,99.91
3292.00,99.91
3291.00,99.91
3290.00,99.92
3289.00,99.93
3288.00,99.95
3287.00,99.97
3286.00,99.99
3285.00,100.00
3284.00,99.99
3283.00,99.98
3282.00,99.96
3281.00,99.95
3280.00,99.94
3279.00,99.94
3278.00,99.94
3277.00,99.94
3276.00,99.95
3275.00,99.97
3274.00,99.99
3273.00,99.99
3272.00,99.98
3271.00,99.96
3270.00,99.96
3269.00,99.97
3268.00,99.98
3267.00,99.99
3266.00,99.99
3265.00,99.97
3264.00,99.96
3263.00,99.95
3262.00,99.95
3261.00,99.94
3260.00,99.92
3259.00,99.91
3258.00,99.90
3257.00,99.90
3256.00,99.91
3255.00,99.92
3254.00,99.92
3253.00,99.92
3252.00,99.94
3251.00,99.96
3250.00,99.98
3249.00,99.98
3248.00,99.97
3247.00,99.96
3246.00,99.96
3245.00,99.96
3244.00,99.96
3243.00,99.97
3242.00,99.97
3241.00,99.97
3240.00,99.96
3239.00,99.96
3238.00,99.96
3237.00,99.97
3236.00,99.98
3235.00,99.99
3234.00,99.99
3233.00,99.99
3232.00,100.00
3231.00,100.00
3230.00,100.00
3229.00,99.98
3228.00,99.96
3227.00,99.95
3226.00,99.95
3225.00,99.96
3224.00,99.97
3223.00,99.97
3222.00,99.97
3221.00,99.96
3220.00,99.97
3219.00,99.98
3218.00,100.00
3217.00,100.01
3216.00,100.00
3215.00,99.98
3214.00,99.94
3213.00,99.92
3212.00,99.91
3211.00,99.91
3210.00,99.92
3209.00,99.95
3208.00,99.97
3207.00,99.98
3206.00,99.98
3205.00,99.96
3204.00,99.94
3203.00,99.94
3202.00,99.96
3201.00,99.96
3200.00,99.96
3199.00,99.95
3198.00,99.95
3197.00,99.95
3196.00,99.96
3195.00,99.96
3194.00,99.95
3193.00,99.95
3192.00,99.95
3191.00,99.95
3190.00,99.96
3189.00,99.98
3188.00,100.01
3187.00,100.02
3186.00,100.02
3185.00,100.01
3184.00,99.99
3183.00,99.99
3182.00,100.00
3181.00,100.01
3180.00,100.01
3179.00,99.99
3178.00,99.97
3177.00,99.96
3176.00,99.96
3175.00,99.97
3174.00,99.97
3173.00,99.97
3172.00,99.96
3171.00,99.95
3170.00,99.96
3169.00,99.97
3168.00,99.98
3167.00,99.98
3166.00,99.96
3165.00,99.96
3164.00,99.96
3163.00,99.98
3162.00,99.99
3161.00,99.99
3160.00,99.97
3159.00,99.96
3158.00,99.94
3157.00,99.94
3156.00,99.94
3155.00,99.95
3154.00,99.96
3153.00,99.96
3152.00,99.96
3151.00,99.97
3150.00,99.98
3149.00,99.98
3148.00,99.98
3147.00,99.97
3146.00,99.97
3145.00,99.98
3144.00,99.99
3143.00,100.00
3142.00,99.99
3141.00,99.98
3140.00,99.97
3139.00,99.96
3138.00,99.96
3137.00,99.95
3136.00,99.95
3135.00,99.97
3134.00,99.99
3133.00,100.00
3132.00,100.00
3131.00,99.99
3130.00,99.98
3129.00,99.98
3128.00,99.99
3127.00,99.99
3126.00,99.99
3125.00,99.99
3124.00,99.99
3123.00,99.98
3122.00,99.97
3121.00,99.96
3120.00,99.96
3119.00,99.95
3118.00,99.95
3117.00,99.96
3116.00,99.97
3115.00,99.99
3114.00,99.99
3113.00,99.97
3112.00,99.94
3111.00,99.91
3110.00,99.90
3109.00,99.91
3108.00,99.94
3107.00,99.96
3106.00,99.97
3105.00,99.97
3104.00,99.96
3103.00,99.96
3102.00,99.97
3101.00,99.98
3100.00,99.98
3099.00,99.97
3098.00,99.96
3097.00,99.95
3096.00,99.94
3095.00,99.93
3094.00,99.92
3093.00,99.93
3092.00,99.94
3091.00,99.96
3090.00,99.97
3089.00,99.96
3088.00,99.95
3087.00,99.94
3086.00,99.93
3085.00,99.93
3084.00,99.93
3083.00,99.93
3082.00,99.93
3081.00,99.93
3080.00,99.93
3079.00,99.93
3078.00,99.93
3077.00,99.92
3076.00,99.93
3075.00,99.93
3074.00,99.94
3073.00,99.94
3072.00,99.95
3071.00,99.96
3070.00,99.97
3069.00,99.97
3068.00,99.96
3067.00,99.94
3066.00,99.93
3065.00,99.93
3064.00,99.94
3063.00,99.96
3062.00,99.96
3061.00,99.96
3060.00,99.95
3059.00,99.94
3058.00,99.94
3057.00,99.95
3056.00,99.95
3055.00,99.94
3054.00,99.92
3053.00,99.91
3052.00,99.90
3051.00,99.92
3050.00,99.94
3049.00,99.94
3048.00,99.94
3047.00,99.94
3046.00,99.94
3045.00,99.94
3044.00,99.94
3043.00,99.94
3042.00,99.94
3041.00,99.93
3040.00,99.92
3039.00,99.92
3038.00,99.91
3037.00,99.92
3036.00,99.93
3035.00,99.93
3034.00,99.93
3033.00,99.92
3032.00,99.92
3031.00,99.92
3030.00,99.92
3029.00,99.92
3028.00,99.91
3027.00,99.89
