Created as New Dataset,59 Modacrylic Hoechst Dolan 88 
cm-1,%T
3355.00,98.15
3354.00,98.14
3353.00,98.13
3352.00,98.10
3351.00,98.08
3350.00,98.06
3349.00,98.05
3348.00,98.05
3347.00,98.05
3346.00,98.05
3345.00,98.05
3344.00,98.05
3343.00,98.05
3342.00,98.06
3341.00,98.07
3340.00,98.07
3339.00,98.08
3338.00,98.08
3337.00,98.08
3336.00,98.08
3335.00,98.08
3334.00,98.09
3333.00,98.10
3332.00,98.12
3331.00,98.13
3330.00,98.14
3329.00,98.15
3328.00,98.14
3327.00,98.13
3326.00,98.12
3325.00,98.12
3324.00,98.12
3323.00,98.12
3322.00,98.11
3321.00,98.11
3320.00,98.11
3319.00,98.11
3318.00,98.11
3317.00,98.11
3316.00,98.10
3315.00,98.08
3314.00,98.06
3313.00,98.05
3312.00,98.06
3311.00,98.09
3310.00,98.11
3309.00,98.14
3308.00,98.15
3307.00,98.15
3306.00,98.14
3305.00,98.12
3304.00,98.10
3303.00,98.09
3302.00,98.11
3301.00,98.12
3300.00,98.13
3299.00,98.12
3298.00,98.11
3297.00,98.11
3296.00,98.10
3295.00,98.10
3294.00,98.09
3293.00,98.08
3292.00,98.07
3291.00,98.06
3290.00,98.07
3289.00,98.09
3288.00,98.10
3287.00,98.09
3286.00,98.08
3285.00,98.08
3284.00,98.08
3283.00,98.08
3282.00,98.08
3281.00,98.09
3280.00,98.10
3279.00,98.11
3278.00,98.12
3277.00,98.11
3276.00,98.11
3275.00,98.10
3274.00,98.10
3273.00,98.11
3272.00,98.12
3271.00,98.12
3270.00,98.11
3269.00,98.10
3268.00,98.09
3267.00,98.08
3266.00,98.07
3265.00,98.07
3264.00,98.07
3263.00,98.08
3262.00,98.10
3261.00,98.11
3260.00,98.11
3259.00,98.11
3258.00,98.09
3257.00,98.07
3256.00,98.06
3255.00,98.06
3254.00,98.07
3253.00,98.08
3252.00,98.08
3251.00,98.09
3250.00,98.09
3249.00,98.10
3248.00,98.10
3247.00,98.08
3246.00,98.07
3245.00,98.06
3244.00,98.05
3243.00,98.03
3242.00,98.02
3241.00,98.01
3240.00,98.02
3239.00,98.04
3238.00,98.06
3237.00,98.07
3236.00,98.08
3235.00,98.07
3234.00,98.05
3233.00,98.05
3232.00,98.05
3231.00,98.06
3230.00,98.07
3229.00,98.07
3228.00,98.06
3227.00,98.04
3226.00,98.02
3225.00,98.01
3224.00,98.02
3223.00,98.03
3222.00,98.05
3221.00,98.06
3220.00,98.06
3219.00,98.06
3218.00,98.07
3217.00,98.07
3216.00,98.06
3215.00,98.06
3214.00,98.06
3213.00,98.06
3212.00,98.06
3211.00,98.07
3210.00,98.08
3209.00,98.10
3208.00,98.11
3207.00,98.11
3206.00,98.10
3205.00,98.10
3204.00,98.09
3203.00,98.07
3202.00,98.05
3201.00,98.02
3200.00,98.01
3199.00,98.02
3198.00,98.04
3197.00,98.05
3196.00,98.05
3195.00,98.06
3194.00,98.07
3193.00,98.09
3192.00,98.10
3191.00,98.09
3190.00,98.06
3189.00,98.03
3188.00,98.02
3187.00,98.03
3186.00,98.05
3185.00,98.06
3184.00,98.06
3183.00,98.06
3182.00,98.04
3181.00,98.04
3180.00,98.03
3179.00,98.03
3178.00,98.03
3177.00,98.03
3176.00,98.04
3175.00,98.06
3174.00,98.08
3173.00,98.10
3172.00,98.11
3171.00,98.10
3170.00,98.09
3169.00,98.07
3168.00,98.07
3167.00,98.07
3166.00,98.07
3165.00,98.07
3164.00,98.07
3163.00,98.05
3162.00,98.05
3161.00,98.05
3160.00,98.06
3159.00,98.07
3158.00,98.08
3157.00,98.08
3156.00,98.07
3155.00,98.06
3154.00,98.07
3153.00,98.08
3152.00,98.09
3151.00,98.09
3150.00,98.07
3149.00,98.05
3148.00,98.05
3147.00,98.06
3146.00,98.07
3145.00,98.07
3144.00,98.06
3143.00,98.04
3142.00,98.02
3141.00,98.01
3140.00,98.01
3139.00,98.01
3138.00,98.01
3137.00,98.02
3136.00,98.02
3135.00,98.03
3134.00,98.05
3133.00,98.07
3132.00,98.09
3131.00,98.10
3130.00,98.10
3129.00,98.10
3128.00,98.07
3127.00,98.04
3126.00,98.00
3125.00,97.99
3124.00,98.01
3123.00,98.06
3122.00,98.10
3121.00,98.12
3120.00,98.13
3119.00,98.12
3118.00,98.09
3117.00,98.07
3116.00,98.07
3115.00,98.08
3114.00,98.10
3113.00,98.10
3112.00,98.09
3111.00,98.08
3110.00,98.08
3109.00,98.09
3108.00,98.10
3107.00,98.11
3106.00,98.10
3105.00,98.10
3104.00,98.11
3103.00,98.11
3102.00,98.12
3101.00,98.12
3100.00,98.11
3099.00,98.10
3098.00,98.09
3097.00,98.08
3096.00,98.07
3095.00,98.06
3094.00,98.06
3093.00,98.05
3092.00,98.05
3091.00,98.05
3090.00,98.06
3089.00,98.07
3088.00,98.07
3087.00,98.06
3086.00,98.05
3085.00,98.06
3084.00,98.07
