Created as New Dataset,80. Nylon Allied Signal Fibers Dyed
cm-1,%T
3302.00,89.08
3301.00,88.82
3300.00,88.59
3299.00,88.39
3298.00,88.21
3297.00,88.08
3296.00,88.01
3295.00,87.98
3294.00,87.99
3293.00,88.03
3292.00,88.12
3291.00,88.24
3290.00,88.39
3289.00,88.58
3288.00,88.78
3287.00,88.99
3286.00,89.21
3285.00,89.43
3284.00,89.66
3283.00,89.88
3282.00,90.11
3281.00,90.34
3280.00,90.56
3279.00,90.79
3278.00,91.01
3277.00,91.21
3276.00,91.39
3275.00,91.55
3274.00,91.72
3273.00,91.88
3272.00,92.04
3271.00,92.20
3270.00,92.35
3269.00,92.51
3268.00,92.66
3267.00,92.80
3266.00,92.95
3265.00,93.09
3264.00,93.24
3263.00,93.37
3262.00,93.51
3261.00,93.64
3260.00,93.77
3259.00,93.90
3258.00,94.03
3257.00,94.15
3256.00,94.26
3255.00,94.35
3254.00,94.45
3253.00,94.54
3252.00,94.63
3251.00,94.73
3250.00,94.83
3249.00,94.93
3248.00,95.03
3247.00,95.13
3246.00,95.22
3245.00,95.31
3244.00,95.40
3243.00,95.48
3242.00,95.57
3241.00,95.64
3240.00,95.71
3239.00,95.78
3238.00,95.84
3237.00,95.91
3236.00,95.99
3235.00,96.06
3234.00,96.13
3233.00,96.18
3232.00,96.23
3231.00,96.27
3230.00,96.32
3229.00,96.37
3228.00,96.42
3227.00,96.46
3226.00,96.50
3225.00,96.52
3224.00,96.55
3223.00,96.57
3222.00,96.61
3221.00,96.66
3220.00,96.72
3219.00,96.77
3218.00,96.81
3217.00,96.82
3216.00,96.83
3215.00,96.82
3214.00,96.82
3213.00,96.82
3212.00,96.83
3211.00,96.86
3210.00,96.88
3209.00,96.89
3208.00,96.89
3207.00,96.88
3206.00,96.89
3205.00,96.91
3204.00,96.93
3203.00,96.96
3202.00,96.98
3201.00,97.00
3200.00,97.02
3199.00,97.05
3198.00,97.08
3197.00,97.11
3196.00,97.12
3195.00,97.13
3194.00,97.13
3193.00,97.15
3192.00,97.17
3191.00,97.19
3190.00,97.22
3189.00,97.25
3188.00,97.28
3187.00,97.31
3186.00,97.33
3185.00,97.34
3184.00,97.35
3183.00,97.37
3182.00,97.39
3181.00,97.42
3180.00,97.45
3179.00,97.48
3178.00,97.51
3177.00,97.54
3176.00,97.59
3175.00,97.64
3174.00,97.68
3173.00,97.72
3172.00,97.75
3171.00,97.77
3170.00,97.78
3169.00,97.80
3168.00,97.83
3167.00,97.88
3166.00,97.92
3165.00,97.95
3164.00,97.97
3163.00,97.98
3162.00,98.00
3161.00,98.02
3160.00,98.03
3159.00,98.05
3158.00,98.07
3157.00,98.09
3156.00,98.13
3155.00,98.16
3154.00,98.19
3153.00,98.20
3152.00,98.20
3151.00,98.20
3150.00,98.22
3149.00,98.26
3148.00,98.28
3147.00,98.28
3146.00,98.27
3145.00,98.26
3144.00,98.26
3143.00,98.26
3142.00,98.27
3141.00,98.29
3140.00,98.31
3139.00,98.33
3138.00,98.35
3137.00,98.37
3136.00,98.37
3135.00,98.35
3134.00,98.34
3133.00,98.33
3132.00,98.32
3131.00,98.31
3130.00,98.31
3129.00,98.29
3128.00,98.28
3127.00,98.27
3126.00,98.28
3125.00,98.30
3124.00,98.32
3123.00,98.32
3122.00,98.29
3121.00,98.25
3120.00,98.22
3119.00,98.21
3118.00,98.22
3117.00,98.23
3116.00,98.22
3115.00,98.21
3114.00,98.18
3113.00,98.16
3112.00,98.15
3111.00,98.13
3110.00,98.10
3109.00,98.08
3108.00,98.05
3107.00,98.03
3106.00,98.00
3105.00,97.98
3104.00,97.96
3103.00,97.93
3102.00,97.90
3101.00,97.87
3100.00,97.84
3099.00,97.80
3098.00,97.75
3097.00,97.71
3096.00,97.69
3095.00,97.67
3094.00,97.67
3093.00,97.67
3092.00,97.66
3091.00,97.66
3090.00,97.65
3089.00,97.64
3088.00,97.62
3087.00,97.60
3086.00,97.57
3085.00,97.54
3084.00,97.52
3083.00,97.50
3082.00,97.49
3081.00,97.49
3080.00,97.47
3079.00,97.45
3078.00,97.44
3077.00,97.42
3076.00,97.41
3075.00,97.40
3074.00,97.39
3073.00,97.38
3072.00,97.38
3071.00,97.37
3070.00,97.36
3069.00,97.35
3068.00,97.34
3067.00,97.32
3066.00,97.31
3065.00,97.31
3064.00,97.32
3063.00,97.34
3062.00,97.35
3061.00,97.36
3060.00,97.37
3059.00,97.39
3058.00,97.42
3057.00,97.46
3056.00,97.49
3055.00,97.53
3054.00,97.56
3053.00,97.60
3052.00,97.64
3051.00,97.69
3050.00,97.73
3049.00,97.77
3048.00,97.82
3047.00,97.87
3046.00,97.94
3045.00,98.01
3044.00,98.07
3043.00,98.12
3042.00,98.15
3041.00,98.19
3040.00,98.22
3039.00,98.26
3038.00,98.32
3037.00,98.37
3036.00,98.41
3035.00,98.44
3034.00,98.46
3033.00,98.48
3032.00,98.50
3031.00,98.53
3030.00,98.55
3029.00,98.57
3028.00,98.58
3027.00,98.59
3026.00,98.60
3025.00,98.62
3024.00,98.63
3023.00,98.63
3022.00,98.64
3021.00,98.65
3020.00,98.66
3019.00,98.68
3018.00,98.69
3017.00,98.70
3016.00,98.69
3015.00,98.67
3014.00,98.65
3013.00,98.65
3012.00,98.66
3011.00,98.68
3010.00,98.69
3009.00,98.68
3008.00,98.67
3007.00,98.65
3006.00,98.63
3005.00,98.61
3004.00,98.60
3003.00,98.60
3002.00,98.61
3001.00,98.63
3000.00,98.64
2999.00,98.64
2998.00,98.62
2997.00,98.60
2996.00,98.59
2995.00,98.58
2994.00,98.57
2993.00,98.56
2992.00,98.55
2991.00,98.54
2990.00,98.54
2989.00,98.52
2988.00,98.49
2987.00,98.46
2986.00,98.41
2985.00,98.37
2984.00,98.33
2983.00,98.29
2982.00,98.25
2981.00,98.21
2980.00,98.17
2979.00,98.13
2978.00,98.08
2977.00,98.02
2976.00,97.94
2975.00,97.86
2974.00,97.76
2973.00,97.67
2972.00,97.58
2971.00,97.47
2970.00,97.36
2969.00,97.24
2968.00,97.12
2967.00,97.00
2966.00,96.88
2965.00,96.76
2964.00,96.64
2963.00,96.52
2962.00,96.39
2961.00,96.25
2960.00,96.10
2959.00,95.93
2958.00,95.75
2957.00,95.53
2956.00,95.29
2955.00,95.01
2954.00,94.72
2953.00,94.41
2952.00,94.07
2951.00,93.72
2950.00,93.35
2949.00,92.99
2948.00,92.64
2947.00,92.31
2946.00,92.01
2945.00,91.75
2944.00,91.52
2943.00,91.34
2942.00,91.20
2941.00,91.08
2940.00,90.98
2939.00,90.89
2938.00,90.81
2937.00,90.74
2936.00,90.69
2935.00,90.67
2934.00,90.70
2933.00,90.76
2932.00,90.85
2931.00,90.95
2930.00,91.06
2929.00,91.20
2928.00,91.35
2927.00,91.50
2926.00,91.65
2925.00,91.79
2924.00,91.94
2923.00,92.09
2922.00,92.25
2921.00,92.41
2920.00,92.57
2919.00,92.72
2918.00,92.88
2917.00,93.04
2916.00,93.19
2915.00,93.34
2914.00,93.48
2913.00,93.61
2912.00,93.74
2911.00,93.85
2910.00,93.95
2909.00,94.05
2908.00,94.13
2907.00,94.21
2906.00,94.28
2905.00,94.33
2904.00,94.35
2903.00,94.37
2902.00,94.37
2901.00,94.37
2900.00,94.40
2899.00,94.45
2898.00,94.52
2897.00,94.62
2896.00,94.74
2895.00,94.87
2894.00,95.01
2893.00,95.15
2892.00,95.28
2891.00,95.38
2890.00,95.46
2889.00,95.52
2888.00,95.56
2887.00,95.58
2886.00,95.58
2885.00,95.55
2884.00,95.48
2883.00,95.40
2882.00,95.29
2881.00,95.16
2880.00,94.99
2879.00,94.80
2878.00,94.59
2877.00,94.38
2876.00,94.18
2875.00,93.97
2874.00,93.78
2873.00,93.60
2872.00,93.43
2871.00,93.29
2870.00,93.18
2869.00,93.09
2868.00,93.03
2867.00,93.00
2866.00,93.00
2865.00,93.02
2864.00,93.06
2863.00,93.11
2862.00,93.16
2861.00,93.22
2860.00,93.30
2859.00,93.38
2858.00,93.47
2857.00,93.57
2856.00,93.67
