Created as New Dataset,12.1 Red Wool Corriedale sheep
cm-1,%T
3190.00,90.66
3189.00,90.70
3188.00,90.74
3187.00,90.78
3186.00,90.81
3185.00,90.84
3184.00,90.88
3183.00,90.91
3182.00,90.95
3181.00,90.98
3180.00,91.03
3179.00,91.08
3178.00,91.13
3177.00,91.18
3176.00,91.22
3175.00,91.25
3174.00,91.29
3173.00,91.33
3172.00,91.38
3171.00,91.43
3170.00,91.48
3169.00,91.53
3168.00,91.58
3167.00,91.62
3166.00,91.66
3165.00,91.69
3164.00,91.71
3163.00,91.74
3162.00,91.77
3161.00,91.81
3160.00,91.85
3159.00,91.90
3158.00,91.95
3157.00,92.00
3156.00,92.05
3155.00,92.10
3154.00,92.14
3153.00,92.18
3152.00,92.23
3151.00,92.28
3150.00,92.32
3149.00,92.34
3148.00,92.36
3147.00,92.39
3146.00,92.44
3145.00,92.49
3144.00,92.53
3143.00,92.57
3142.00,92.61
3141.00,92.66
3140.00,92.70
3139.00,92.73
3138.00,92.75
3137.00,92.77
3136.00,92.79
3135.00,92.82
3134.00,92.86
3133.00,92.89
3132.00,92.91
3131.00,92.93
3130.00,92.94
3129.00,92.97
3128.00,93.02
3127.00,93.08
3126.00,93.14
3125.00,93.18
3124.00,93.22
3123.00,93.24
3122.00,93.25
3121.00,93.25
3120.00,93.27
3119.00,93.29
3118.00,93.32
3117.00,93.35
3116.00,93.36
3115.00,93.36
3114.00,93.37
3113.00,93.39
3112.00,93.42
3111.00,93.45
3110.00,93.47
3109.00,93.48
3108.00,93.48
3107.00,93.47
3106.00,93.46
3105.00,93.46
3104.00,93.47
3103.00,93.47
3102.00,93.48
3101.00,93.49
3100.00,93.51
3099.00,93.54
3098.00,93.56
3097.00,93.58
3096.00,93.59
3095.00,93.59
3094.00,93.59
3093.00,93.59
3092.00,93.60
3091.00,93.61
3090.00,93.61
3089.00,93.61
3088.00,93.61
3087.00,93.61
3086.00,93.62
3085.00,93.63
3084.00,93.63
3083.00,93.62
3082.00,93.61
3081.00,93.60
3080.00,93.60
3079.00,93.61
3078.00,93.63
3077.00,93.63
3076.00,93.63
3075.00,93.62
3074.00,93.62
3073.00,93.64
3072.00,93.66
3071.00,93.69
3070.00,93.70
3069.00,93.71
3068.00,93.72
3067.00,93.74
3066.00,93.76
3065.00,93.78
3064.00,93.78
3063.00,93.78
3062.00,93.78
3061.00,93.78
3060.00,93.78
3059.00,93.79
3058.00,93.81
3057.00,93.84
3056.00,93.88
3055.00,93.93
3054.00,93.97
3053.00,94.00
3052.00,94.02
3051.00,94.04
3050.00,94.07
3049.00,94.12
3048.00,94.16
3047.00,94.20
3046.00,94.23
3045.00,94.27
3044.00,94.31
3043.00,94.34
3042.00,94.35
3041.00,94.36
3040.00,94.37
3039.00,94.40
3038.00,94.44
3037.00,94.48
3036.00,94.53
3035.00,94.56
3034.00,94.59
3033.00,94.61
3032.00,94.64
3031.00,94.68
3030.00,94.71
3029.00,94.75
3028.00,94.78
3027.00,94.83
3026.00,94.87
3025.00,94.90
3024.00,94.92
3023.00,94.93
3022.00,94.94
3021.00,94.97
3020.00,95.00
3019.00,95.03
3018.00,95.07
3017.00,95.11
3016.00,95.15
3015.00,95.19
3014.00,95.22
3013.00,95.25
3012.00,95.28
3011.00,95.30
3010.00,95.31
3009.00,95.31
3008.00,95.31
3007.00,95.31
3006.00,95.31
3005.00,95.31
3004.00,95.31
3003.00,95.32
3002.00,95.33
3001.00,95.34
3000.00,95.35
2999.00,95.37
2998.00,95.38
2997.00,95.38
2996.00,95.36
2995.00,95.32
2994.00,95.28
2993.00,95.24
2992.00,95.21
2991.00,95.18
2990.00,95.17
2989.00,95.14
2988.00,95.11
2987.00,95.08
2986.00,95.04
2985.00,94.99
2984.00,94.94
2983.00,94.88
2982.00,94.81
2981.00,94.75
2980.00,94.69
2979.00,94.62
2978.00,94.56
2977.00,94.50
2976.00,94.44
2975.00,94.39
2974.00,94.33
2973.00,94.27
2972.00,94.21
2971.00,94.15
2970.00,94.09
2969.00,94.03
2968.00,93.96
2967.00,93.90
2966.00,93.84
2965.00,93.78
2964.00,93.73
2963.00,93.69
2962.00,93.66
2961.00,93.63
2960.00,93.60
2959.00,93.59
2958.00,93.59
