Created as New Dataset,13.1 Red Wool Navajo-Churro sheep 
cm-1,%T
3046.00,89.37
3045.00,89.41
3044.00,89.44
3043.00,89.47
3042.00,89.48
3041.00,89.48
3040.00,89.48
3039.00,89.51
3038.00,89.55
3037.00,89.59
3036.00,89.63
3035.00,89.67
3034.00,89.70
3033.00,89.72
3032.00,89.73
3031.00,89.75
3030.00,89.77
3029.00,89.80
3028.00,89.83
3027.00,89.87
3026.00,89.90
3025.00,89.93
3024.00,89.94
3023.00,89.94
3022.00,89.96
3021.00,89.98
3020.00,90.02
3019.00,90.06
3018.00,90.10
3017.00,90.12
3016.00,90.13
3015.00,90.14
3014.00,90.14
3013.00,90.15
3012.00,90.17
3011.00,90.18
3010.00,90.19
3009.00,90.19
3008.00,90.19
3007.00,90.18
3006.00,90.19
3005.00,90.20
3004.00,90.21
3003.00,90.22
3002.00,90.22
3001.00,90.21
3000.00,90.21
2999.00,90.22
2998.00,90.24
2997.00,90.26
2996.00,90.27
2995.00,90.27
2994.00,90.26
2993.00,90.24
2992.00,90.21
2991.00,90.17
2990.00,90.14
2989.00,90.11
2988.00,90.09
2987.00,90.06
2986.00,90.03
2985.00,89.99
2984.00,89.96
2983.00,89.93
2982.00,89.89
2981.00,89.85
2980.00,89.81
2979.00,89.76
2978.00,89.71
2977.00,89.65
2976.00,89.60
2975.00,89.56
2974.00,89.52
2973.00,89.47
2972.00,89.40
2971.00,89.34
2970.00,89.28
2969.00,89.23
2968.00,89.18
2967.00,89.13
2966.00,89.07
2965.00,89.02
2964.00,88.98
2963.00,88.95
2962.00,88.93
2961.00,88.91
2960.00,88.89
2959.00,88.88
2958.00,88.87
2957.00,88.86
2956.00,88.86
2955.00,88.85
2954.00,88.85
2953.00,88.86
2952.00,88.89
2951.00,88.92
2950.00,88.95
2949.00,88.97
2948.00,88.97
2947.00,88.96
2946.00,88.95
2945.00,88.93
2944.00,88.89
2943.00,88.84
2942.00,88.79
2941.00,88.75
2940.00,88.69
2939.00,88.63
2938.00,88.56
2937.00,88.48
2936.00,88.39
2935.00,88.31
2934.00,88.22
2933.00,88.13
2932.00,88.04
2931.00,87.95
2930.00,87.86
2929.00,87.77
2928.00,87.68
2927.00,87.57
2926.00,87.45
2925.00,87.32
2924.00,87.19
2923.00,87.09
2922.00,87.00
2921.00,86.92
2920.00,86.85
2919.00,86.81
2918.00,86.84
2917.00,86.93
2916.00,87.09
2915.00,87.31
2914.00,87.57
2913.00,87.84
2912.00,88.12
2911.00,88.36
2910.00,88.57
2909.00,88.74
2908.00,88.88
2907.00,89.00
2906.00,89.11
2905.00,89.20
2904.00,89.29
2903.00,89.37
2902.00,89.45
2901.00,89.51
2900.00,89.56
2899.00,89.61
2898.00,89.67
2897.00,89.75
2896.00,89.82
2895.00,89.88
2894.00,89.93
2893.00,89.98
2892.00,90.04
2891.00,90.09
2890.00,90.14
2889.00,90.18
2888.00,90.22
2887.00,90.26
2886.00,90.28
2885.00,90.30
2884.00,90.31
2883.00,90.33
2882.00,90.36
2881.00,90.38
2880.00,90.40
2879.00,90.42
2878.00,90.43
2877.00,90.42
2876.00,90.40
2875.00,90.39
2874.00,90.38
2873.00,90.38
2872.00,90.37
2871.00,90.37
2870.00,90.37
2869.00,90.38
2868.00,90.41
2867.00,90.43
2866.00,90.45
2865.00,90.45
2864.00,90.44
2863.00,90.44
2862.00,90.42
2861.00,90.38
2860.00,90.33
2859.00,90.27
2858.00,90.18
2857.00,90.05
2856.00,89.90
2855.00,89.73
2854.00,89.56
2853.00,89.41
2852.00,89.27
2851.00,89.18
2850.00,89.18
2849.00,89.29
2848.00,89.51
2847.00,89.80
2846.00,90.11
2845.00,90.40
2844.00,90.66
2843.00,90.88
2842.00,91.06
2841.00,91.22
2840.00,91.34
2839.00,91.44
2838.00,91.53
2837.00,91.61
2836.00,91.68
2835.00,91.73
2834.00,91.78
2833.00,91.81
2832.00,91.84
2831.00,91.87
2830.00,91.91
2829.00,91.95
2828.00,91.98
2827.00,92.01
2826.00,92.04
2825.00,92.06
2824.00,92.07
2823.00,92.09
2822.00,92.10
2821.00,92.12
