Created as New Dataset,8. Acrylic Bayed Dyed
cm-1,%T
3178.00,96.84
3177.00,96.84
3176.00,96.82
3175.00,96.81
3174.00,96.80
3173.00,96.81
3172.00,96.81
3171.00,96.82
3170.00,96.81
3169.00,96.80
3168.00,96.80
3167.00,96.80
3166.00,96.81
3165.00,96.81
3164.00,96.81
3163.00,96.81
3162.00,96.82
3161.00,96.83
3160.00,96.84
3159.00,96.85
3158.00,96.84
3157.00,96.83
3156.00,96.81
3155.00,96.79
3154.00,96.79
3153.00,96.80
3152.00,96.81
3151.00,96.81
3150.00,96.80
3149.00,96.79
3148.00,96.79
3147.00,96.80
3146.00,96.82
3145.00,96.84
3144.00,96.84
3143.00,96.85
3142.00,96.85
3141.00,96.86
3140.00,96.87
3139.00,96.87
3138.00,96.87
3137.00,96.87
3136.00,96.87
3135.00,96.87
3134.00,96.87
3133.00,96.85
3132.00,96.84
3131.00,96.82
3130.00,96.81
3129.00,96.81
3128.00,96.82
3127.00,96.83
3126.00,96.85
3125.00,96.86
3124.00,96.86
3123.00,96.86
3122.00,96.87
3121.00,96.86
3120.00,96.86
3119.00,96.86
3118.00,96.85
3117.00,96.86
3116.00,96.86
3115.00,96.88
3114.00,96.90
3113.00,96.90
3112.00,96.90
3111.00,96.89
3110.00,96.87
3109.00,96.86
3108.00,96.84
3107.00,96.83
3106.00,96.84
3105.00,96.86
3104.00,96.89
3103.00,96.90
3102.00,96.91
3101.00,96.91
3100.00,96.90
3099.00,96.88
3098.00,96.85
3097.00,96.83
3096.00,96.81
3095.00,96.80
3094.00,96.80
3093.00,96.79
3092.00,96.80
3091.00,96.81
3090.00,96.82
3089.00,96.83
3088.00,96.83
3087.00,96.83
3086.00,96.83
3085.00,96.82
3084.00,96.81
3083.00,96.81
3082.00,96.80
3081.00,96.79
3080.00,96.79
3079.00,96.80
3078.00,96.81
3077.00,96.82
3076.00,96.82
3075.00,96.81
3074.00,96.80
3073.00,96.80
3072.00,96.81
3071.00,96.82
3070.00,96.84
3069.00,96.86
3068.00,96.87
3067.00,96.87
3066.00,96.85
3065.00,96.83
3064.00,96.81
3063.00,96.80
3062.00,96.80
3061.00,96.81
3060.00,96.81
3059.00,96.81
3058.00,96.82
3057.00,96.82
3056.00,96.83
3055.00,96.83
3054.00,96.83
3053.00,96.82
3052.00,96.82
3051.00,96.81
3050.00,96.80
3049.00,96.81
3048.00,96.82
3047.00,96.84
3046.00,96.84
3045.00,96.83
3044.00,96.81
3043.00,96.81
3042.00,96.81
3041.00,96.82
3040.00,96.84
3039.00,96.84
3038.00,96.84
3037.00,96.83
3036.00,96.82
3035.00,96.82
3034.00,96.83
3033.00,96.83
3032.00,96.83
3031.00,96.82
3030.00,96.80
3029.00,96.79
3028.00,96.78
3027.00,96.78
3026.00,96.79
3025.00,96.79
3024.00,96.79
3023.00,96.78
3022.00,96.77
3021.00,96.78
3020.00,96.79
3019.00,96.81
3018.00,96.81
3017.00,96.81
3016.00,96.79
3015.00,96.78
3014.00,96.77
3013.00,96.75
3012.00,96.73
3011.00,96.72
3010.00,96.70
3009.00,96.70
3008.00,96.71
3007.00,96.72
3006.00,96.72
3005.00,96.70
3004.00,96.68
3003.00,96.66
3002.00,96.66
3001.00,96.66
3000.00,96.67
2999.00,96.66
2998.00,96.64
2997.00,96.61
2996.00,96.59
2995.00,96.59
2994.00,96.60
2993.00,96.61
2992.00,96.62
2991.00,96.62
2990.00,96.61
2989.00,96.60
2988.00,96.59
2987.00,96.57
2986.00,96.55
2985.00,96.54
2984.00,96.52
2983.00,96.50
2982.00,96.49
2981.00,96.48
2980.00,96.48
2979.00,96.49
2978.00,96.50
2977.00,96.49
2976.00,96.48
2975.00,96.46
2974.00,96.44
2973.00,96.43
2972.00,96.42
2971.00,96.43
2970.00,96.44
2969.00,96.45
2968.00,96.46
2967.00,96.45
2966.00,96.42
2965.00,96.39
2964.00,96.35
2963.00,96.32
2962.00,96.29
2961.00,96.27
2960.00,96.25
2959.00,96.23
2958.00,96.21
