Created as New Dataset,6.3 Natural green fiber
cm-1,%T
3519.00,96.54
3518.00,96.49
3517.00,96.45
3516.00,96.42
3515.00,96.40
3514.00,96.38
3513.00,96.36
3512.00,96.31
3511.00,96.25
3510.00,96.20
3509.00,96.17
3508.00,96.14
3507.00,96.09
3506.00,96.03
3505.00,95.95
3504.00,95.89
3503.00,95.84
3502.00,95.80
3501.00,95.76
3500.00,95.72
3499.00,95.68
3498.00,95.64
3497.00,95.59
3496.00,95.54
3495.00,95.50
3494.00,95.46
3493.00,95.43
3492.00,95.39
3491.00,95.34
3490.00,95.28
3489.00,95.23
3488.00,95.18
3487.00,95.12
3486.00,95.04
3485.00,94.97
3484.00,94.90
3483.00,94.85
3482.00,94.80
3481.00,94.75
3480.00,94.69
3479.00,94.63
3478.00,94.58
3477.00,94.52
3476.00,94.47
3475.00,94.41
3474.00,94.36
3473.00,94.31
3472.00,94.26
3471.00,94.21
3470.00,94.17
3469.00,94.13
3468.00,94.07
3467.00,94.02
3466.00,93.95
3465.00,93.88
3464.00,93.80
3463.00,93.73
3462.00,93.67
3461.00,93.62
3460.00,93.58
3459.00,93.54
3458.00,93.49
3457.00,93.42
3456.00,93.35
3455.00,93.27
3454.00,93.19
3453.00,93.11
3452.00,93.04
3451.00,92.99
3450.00,92.94
3449.00,92.89
3448.00,92.84
3447.00,92.79
3446.00,92.75
3445.00,92.70
3444.00,92.63
3443.00,92.56
3442.00,92.48
3441.00,92.41
3440.00,92.35
3439.00,92.30
3438.00,92.25
3437.00,92.20
3436.00,92.15
3435.00,92.09
3434.00,92.02
3433.00,91.94
3432.00,91.85
3431.00,91.77
3430.00,91.69
3429.00,91.60
3428.00,91.52
3427.00,91.45
3426.00,91.40
3425.00,91.35
3424.00,91.30
3423.00,91.24
3422.00,91.16
3421.00,91.09
3420.00,91.02
3419.00,90.96
3418.00,90.88
3417.00,90.79
3416.00,90.70
3415.00,90.61
3414.00,90.52
3413.00,90.45
3412.00,90.37
3411.00,90.28
3410.00,90.20
3409.00,90.12
3408.00,90.05
3407.00,89.99
3406.00,89.92
3405.00,89.87
3404.00,89.83
3403.00,89.80
3402.00,89.77
3401.00,89.75
3400.00,89.71
3399.00,89.65
3398.00,89.58
3397.00,89.51
3396.00,89.45
3395.00,89.40
3394.00,89.36
3393.00,89.34
3392.00,89.32
3391.00,89.28
3390.00,89.22
3389.00,89.15
3388.00,89.09
3387.00,89.04
3386.00,89.00
3385.00,88.95
3384.00,88.89
3383.00,88.82
3382.00,88.75
3381.00,88.69
3380.00,88.64
3379.00,88.57
3378.00,88.50
3377.00,88.43
3376.00,88.36
3375.00,88.31
3374.00,88.25
3373.00,88.19
3372.00,88.12
3371.00,88.05
3370.00,87.98
3369.00,87.92
3368.00,87.85
3367.00,87.77
3366.00,87.69
3365.00,87.61
3364.00,87.54
3363.00,87.47
3362.00,87.41
3361.00,87.35
3360.00,87.28
3359.00,87.20
3358.00,87.11
3357.00,87.01
3356.00,86.91
3355.00,86.82
3354.00,86.74
3353.00,86.65
3352.00,86.56
3351.00,86.46
3350.00,86.37
3349.00,86.29
3348.00,86.23
3347.00,86.17
3346.00,86.10
3345.00,86.01
3344.00,85.92
3343.00,85.83
3342.00,85.76
3341.00,85.70
3340.00,85.64
3339.00,85.60
3338.00,85.57
3337.00,85.56
3336.00,85.55
3335.00,85.55
3334.00,85.55
3333.00,85.55
3332.00,85.55
3331.00,85.57
3330.00,85.59
3329.00,85.62
3328.00,85.66
3327.00,85.70
3326.00,85.75
3325.00,85.80
3324.00,85.84
3323.00,85.87
3322.00,85.91
3321.00,85.95
3320.00,86.00
3319.00,86.05
3318.00,86.11
3317.00,86.15
3316.00,86.18
3315.00,86.18
3314.00,86.17
3313.00,86.15
3312.00,86.15
3311.00,86.16
3310.00,86.18
3309.00,86.18
3308.00,86.18
3307.00,86.19
3306.00,86.20
3305.00,86.20
3304.00,86.18
3303.00,86.15
3302.00,86.12
3301.00,86.10
3300.00,86.10
3299.00,86.11
3298.00,86.11
3297.00,86.11
3296.00,86.11
3295.00,86.10
3294.00,86.09
3293.00,86.08
3292.00,86.08
3291.00,86.09
3290.00,86.12
3289.00,86.15
3288.00,86.17
3287.00,86.18
3286.00,86.18
3285.00,86.17
3284.00,86.18
3283.00,86.19
3282.00,86.20
3281.00,86.21
3280.00,86.23
3279.00,86.25
3278.00,86.28
3277.00,86.31
3276.00,86.33
3275.00,86.36
3274.00,86.40
3273.00,86.45
3272.00,86.51
3271.00,86.56
3270.00,86.60
3269.00,86.64
3268.00,86.69
3267.00,86.76
3266.00,86.84
3265.00,86.93
3264.00,87.02
3263.00,87.10
3262.00,87.18
3261.00,87.26
3260.00,87.34
3259.00,87.44
3258.00,87.54
3257.00,87.65
3256.00,87.74
3255.00,87.83
3254.00,87.90
3253.00,87.98
3252.00,88.05
3251.00,88.14
3250.00,88.24
3249.00,88.34
3248.00,88.45
3247.00,88.54
3246.00,88.62
3245.00,88.69
3244.00,88.76
3243.00,88.82
3242.00,88.87
3241.00,88.94
3240.00,89.01
3239.00,89.10
3238.00,89.19
3237.00,89.27
3236.00,89.35
3235.00,89.42
3234.00,89.47
3233.00,89.53
3232.00,89.59
3231.00,89.66
3230.00,89.72
3229.00,89.77
3228.00,89.83
3227.00,89.91
3226.00,89.99
3225.00,90.07
3224.00,90.14
3223.00,90.20
3222.00,90.26
3221.00,90.32
3220.00,90.38
3219.00,90.43
3218.00,90.49
3217.00,90.55
3216.00,90.61
3215.00,90.68
3214.00,90.74
3213.00,90.81
3212.00,90.87
3211.00,90.94
3210.00,91.00
3209.00,91.07
3208.00,91.12
3207.00,91.18
3206.00,91.22
3205.00,91.28
3204.00,91.34
3203.00,91.42
3202.00,91.50
3201.00,91.57
3200.00,91.63
3199.00,91.68
3198.00,91.71
3197.00,91.75
3196.00,91.80
3195.00,91.87
3194.00,91.93
3193.00,91.99
3192.00,92.05
3191.00,92.10
3190.00,92.15
3189.00,92.19
3188.00,92.23
3187.00,92.27
3186.00,92.31
3185.00,92.35
3184.00,92.41
3183.00,92.47
3182.00,92.54
3181.00,92.58
3180.00,92.60
3179.00,92.62
3178.00,92.65
3177.00,92.69
3176.00,92.75
3175.00,92.81
3174.00,92.87
3173.00,92.92
3172.00,92.98
3171.00,93.04
3170.00,93.11
3169.00,93.17
3168.00,93.22
3167.00,93.26
3166.00,93.29
3165.00,93.32
3164.00,93.36
3163.00,93.40
3162.00,93.43
3161.00,93.47
3160.00,93.50
3159.00,93.54
3158.00,93.58
3157.00,93.62
3156.00,93.66
3155.00,93.71
3154.00,93.77
3153.00,93.82
3152.00,93.88
3151.00,93.92
3150.00,93.96
3149.00,93.99
3148.00,94.01
3147.00,94.03
3146.00,94.05
3145.00,94.09
3144.00,94.13
3143.00,94.18
3142.00,94.23
3141.00,94.27
3140.00,94.30
3139.00,94.33
3138.00,94.35
3137.00,94.37
3136.00,94.38
3135.00,94.40
3134.00,94.43
3133.00,94.46
3132.00,94.50
3131.00,94.53
3130.00,94.57
3129.00,94.62
3128.00,94.66
3127.00,94.70
3126.00,94.73
3125.00,94.76
3124.00,94.79
3123.00,94.84
3122.00,94.89
3121.00,94.93
3120.00,94.97
3119.00,95.00
3118.00,95.03
3117.00,95.06
3116.00,95.08
3115.00,95.11
3114.00,95.13
3113.00,95.16
3112.00,95.19
3111.00,95.22
3110.00,95.25
3109.00,95.28
3108.00,95.32
3107.00,95.36
3106.00,95.39
3105.00,95.40
3104.00,95.40
3103.00,95.39
3102.00,95.41
3101.00,95.43
3100.00,95.47
3099.00,95.52
3098.00,95.58
3097.00,95.64
3096.00,95.69
3095.00,95.72
3094.00,95.73
3093.00,95.74
3092.00,95.75
3091.00,95.78
3090.00,95.82
3089.00,95.85
3088.00,95.89
3087.00,95.91
3086.00,95.94
3085.00,95.97
3084.00,96.01
3083.00,96.04
3082.00,96.06
3081.00,96.06
3080.00,96.06
3079.00,96.06
3078.00,96.07
3077.00,96.09
3076.00,96.12
3075.00,96.14
3074.00,96.17
3073.00,96.19
3072.00,96.22
3071.00,96.24
3070.00,96.27
3069.00,96.30
3068.00,96.32
3067.00,96.34
3066.00,96.36
3065.00,96.38
3064.00,96.41
3063.00,96.45
3062.00,96.49
3061.00,96.52
3060.00,96.55
3059.00,96.58
3058.00,96.60
3057.00,96.61
3056.00,96.62
3055.00,96.64
3054.00,96.65
3053.00,96.66
3052.00,96.66
3051.00,96.68
3050.00,96.70
3049.00,96.73
3048.00,96.76
3047.00,96.78
3046.00,96.80
3045.00,96.80
3044.00,96.81
3043.00,96.82
3042.00,96.85
3041.00,96.88
3040.00,96.91
3039.00,96.93
3038.00,96.95
3037.00,96.96
3036.00,96.96
3035.00,96.96
3034.00,96.95
3033.00,96.96
3032.00,96.97
3031.00,97.00
3030.00,97.03
3029.00,97.06
3028.00,97.08
3027.00,97.09
3026.00,97.09
3025.00,97.09
3024.00,97.09
3023.00,97.11
3022.00,97.13
3021.00,97.15
3020.00,97.17
3019.00,97.19
3018.00,97.20
3017.00,97.20
3016.00,97.21
3015.00,97.22
3014.00,97.24
3013.00,97.26
3012.00,97.29
3011.00,97.32
3010.00,97.33
3009.00,97.33
3008.00,97.32
3007.00,97.33
3006.00,97.34
3005.00,97.35
3004.00,97.37
3003.00,97.39
3002.00,97.41
3001.00,97.41
3000.00,97.41
2999.00,97.40
2998.00,97.40
2997.00,97.40
2996.00,97.41
2995.00,97.43
2994.00,97.44
2993.00,97.46
2992.00,97.47
2991.00,97.47
2990.00,97.46
2989.00,97.44
2988.00,97.41
2987.00,97.40
2986.00,97.39
2985.00,97.39
2984.00,97.37
2983.00,97.35
2982.00,97.33
2981.00,97.30
2980.00,97.28
2979.00,97.25
2978.00,97.21
2977.00,97.17
2976.00,97.11
2975.00,97.05
2974.00,96.99
2973.00,96.93
2972.00,96.88
2971.00,96.83
2970.00,96.78
2969.00,96.73
2968.00,96.70
2967.00,96.69
2966.00,96.68
2965.00,96.68
2964.00,96.66
2963.00,96.64
2962.00,96.62
2961.00,96.61
2960.00,96.59
2959.00,96.57
2958.00,96.54
2957.00,96.50
2956.00,96.45
2955.00,96.39
2954.00,96.33
2953.00,96.26
2952.00,96.19
2951.00,96.12
2950.00,96.06
2949.00,96.01
2948.00,95.95
2947.00,95.90
2946.00,95.84
2945.00,95.79
2944.00,95.74
2943.00,95.70
2942.00,95.66
2941.00,95.64
2940.00,95.62
2939.00,95.59
2938.00,95.56
2937.00,95.53
2936.00,95.50
2935.00,95.47
2934.00,95.41
2933.00,95.34
2932.00,95.26
2931.00,95.18
2930.00,95.12
2929.00,95.04
2928.00,94.95
2927.00,94.84
2926.00,94.70
2925.00,94.54
2924.00,94.36
2923.00,94.18
2922.00,94.01
2921.00,93.85
2920.00,93.69
2919.00,93.56
2918.00,93.44
2917.00,93.36
2916.00,93.31
2915.00,93.29
2914.00,93.31
2913.00,93.34
2912.00,93.37
2911.00,93.40
2910.00,93.42
2909.00,93.42
2908.00,93.41
2907.00,93.40
2906.00,93.37
2905.00,93.34
2904.00,93.32
2903.00,93.30
2902.00,93.29
2901.00,93.30
2900.00,93.30
2899.00,93.32
2898.00,93.34
2897.00,93.36
2896.00,93.39
2895.00,93.42
2894.00,93.46
2893.00,93.51
2892.00,93.56
2891.00,93.61
2890.00,93.66
2889.00,93.71
2888.00,93.78
2887.00,93.85
2886.00,93.92
2885.00,93.98
2884.00,94.04
2883.00,94.09
2882.00,94.14
2881.00,94.18
2880.00,94.22
2879.00,94.25
2878.00,94.28
2877.00,94.31
2876.00,94.33
2875.00,94.36
2874.00,94.37
2873.00,94.39
2872.00,94.42
2871.00,94.45
2870.00,94.48
2869.00,94.50
2868.00,94.51
2867.00,94.51
2866.00,94.52
2865.00,94.56
2864.00,94.61
2863.00,94.66
2862.00,94.70
2861.00,94.72
2860.00,94.72
2859.00,94.71
2858.00,94.69
2857.00,94.66
2856.00,94.61
2855.00,94.53
2854.00,94.43
2853.00,94.31
2852.00,94.22
2851.00,94.16
2850.00,94.17
2849.00,94.23
2848.00,94.36
2847.00,94.54
2846.00,94.74
2845.00,94.93
2844.00,95.10
2843.00,95.25
2842.00,95.38
2841.00,95.51
2840.00,95.63
2839.00,95.72
2838.00,95.80
2837.00,95.86
2836.00,95.92
2835.00,96.00
2834.00,96.07
2833.00,96.14
2832.00,96.19
2831.00,96.23
2830.00,96.25
2829.00,96.27
2828.00,96.29
2827.00,96.33
2826.00,96.37
2825.00,96.41
2824.00,96.45
2823.00,96.50
2822.00,96.55
2821.00,96.61
2820.00,96.65
2819.00,96.68
2818.00,96.69
2817.00,96.71
2816.00,96.73
2815.00,96.75
2814.00,96.77
2813.00,96.80
2812.00,96.82
2811.00,96.85
2810.00,96.87
2809.00,96.89
2808.00,96.91
2807.00,96.93
2806.00,96.95
2805.00,96.97
2804.00,96.99
2803.00,97.02
2802.00,97.05
2801.00,97.08
2800.00,97.10
2799.00,97.11
2798.00,97.11
2797.00,97.12
2796.00,97.12
2795.00,97.13
2794.00,97.15
2793.00,97.17
2792.00,97.19
2791.00,97.20
2790.00,97.20
2789.00,97.20
2788.00,97.21
2787.00,97.22
2786.00,97.22
2785.00,97.22
2784.00,97.23
2783.00,97.24
2782.00,97.26
2781.00,97.28
2780.00,97.30
2779.00,97.32
2778.00,97.33
2777.00,97.35
2776.00,97.36
2775.00,97.38
2774.00,97.38
2773.00,97.38
2772.00,97.37
2771.00,97.37
2770.00,97.37
2769.00,97.37
2768.00,97.37
2767.00,97.36
2766.00,97.36
2765.00,97.37
2764.00,97.39
2763.00,97.42
2762.00,97.45
2761.00,97.46
2760.00,97.45
2759.00,97.43
2758.00,97.42
2757.00,97.43
2756.00,97.44
2755.00,97.45
2754.00,97.46
2753.00,97.47
2752.00,97.48
2751.00,97.49
2750.00,97.49
2749.00,97.49
2748.00,97.48
2747.00,97.48
2746.00,97.49
2745.00,97.50
2744.00,97.50
2743.00,97.50
2742.00,97.49
2741.00,97.48
2740.00,97.48
2739.00,97.48
2738.00,97.48
2737.00,97.48
2736.00,97.47
2735.00,97.47
2734.00,97.47
2733.00,97.47
2732.00,97.48
2731.00,97.49
2730.00,97.50
2729.00,97.52
2728.00,97.53
2727.00,97.53
2726.00,97.53
2725.00,97.52
2724.00,97.52
2723.00,97.53
2722.00,97.54
2721.00,97.55
2720.00,97.56
2719.00,97.57
2718.00,97.58
2717.00,97.60
2716.00,97.61
2715.00,97.62
2714.00,97.63
2713.00,97.63
2712.00,97.62
2711.00,97.62
2710.00,97.61
2709.00,97.62
2708.00,97.64
2707.00,97.65
2706.00,97.67
2705.00,97.68
2704.00,97.68
2703.00,97.69
2702.00,97.70
2701.00,97.71
2700.00,97.72
2699.00,97.73
2698.00,97.73
2697.00,97.73
2696.00,97.73
2695.00,97.74
2694.00,97.75
2693.00,97.77
2692.00,97.78
2691.00,97.79
2690.00,97.80
2689.00,97.80
2688.00,97.79
2687.00,97.78
2686.00,97.79
2685.00,97.80
2684.00,97.81
2683.00,97.82
2682.00,97.82
2681.00,97.83
2680.00,97.83
2679.00,97.84
2678.00,97.85
2677.00,97.86
2676.00,97.87
2675.00,97.88
2674.00,97.88
2673.00,97.89
2672.00,97.90
2671.00,97.91
2670.00,97.92
2669.00,97.93
2668.00,97.94
2667.00,97.95
2666.00,97.94
2665.00,97.93
2664.00,97.91
2663.00,97.89
2662.00,97.88
2661.00,97.87
2660.00,97.87
2659.00,97.88
2658.00,97.88
2657.00,97.88
2656.00,97.89
2655.00,97.89
2654.00,97.89
2653.00,97.89
2652.00,97.88
2651.00,97.88
2650.00,97.88
2649.00,97.88
2648.00,97.87
2647.00,97.85
2646.00,97.83
2645.00,97.81
2644.00,97.81
2643.00,97.80
2642.00,97.79
2641.00,97.77
2640.00,97.76
2639.00,97.77
2638.00,97.78
2637.00,97.81
2636.00,97.82
2635.00,97.83
2634.00,97.82
2633.00,97.81
2632.00,97.80
2631.00,97.79
2630.00,97.78
2629.00,97.78
2628.00,97.79
2627.00,97.80
2626.00,97.80
2625.00,97.80
2624.00,97.79
2623.00,97.79
2622.00,97.79
2621.00,97.78
2620.00,97.78
2619.00,97.77
2618.00,97.76
2617.00,97.74
2616.00,97.73
2615.00,97.73
2614.00,97.74
2613.00,97.76
2612.00,97.78
2611.00,97.81
2610.00,97.82
2609.00,97.82
2608.00,97.81
2607.00,97.80
2606.00,97.78
2605.00,97.77
2604.00,97.77
2603.00,97.77
2602.00,97.77
2601.00,97.77
2600.00,97.77
2599.00,97.78
2598.00,97.78
2597.00,97.79
2596.00,97.80
2595.00,97.81
2594.00,97.83
2593.00,97.82
2592.00,97.81
2591.00,97.79
2590.00,97.76
2589.00,97.74
2588.00,97.72
2587.00,97.72
2586.00,97.73
2585.00,97.75
2584.00,97.76
2583.00,97.77
2582.00,97.78
2581.00,97.78
2580.00,97.76
2579.00,97.74
2578.00,97.72
2577.00,97.71
2576.00,97.71
2575.00,97.71
2574.00,97.71
2573.00,97.70
2572.00,97.69
2571.00,97.69
2570.00,97.70
2569.00,97.72
2568.00,97.74
2567.00,97.74
2566.00,97.74
2565.00,97.73
2564.00,97.71
