Created as New Dataset,83. Allied Signal Fibers
cm-1,%T
3500.00,95.54
3499.00,95.51
3498.00,95.48
3497.00,95.44
3496.00,95.42
3495.00,95.40
3494.00,95.41
3493.00,95.42
3492.00,95.43
3491.00,95.43
3490.00,95.41
3489.00,95.39
3488.00,95.37
3487.00,95.37
3486.00,95.39
3485.00,95.40
3484.00,95.41
3483.00,95.40
3482.00,95.37
3481.00,95.34
3480.00,95.32
3479.00,95.30
3478.00,95.30
3477.00,95.31
3476.00,95.32
3475.00,95.32
3474.00,95.32
3473.00,95.31
3472.00,95.31
3471.00,95.32
3470.00,95.34
3469.00,95.35
3468.00,95.35
3467.00,95.32
3466.00,95.27
3465.00,95.24
3464.00,95.23
3463.00,95.24
3462.00,95.26
3461.00,95.27
3460.00,95.27
3459.00,95.25
3458.00,95.23
3457.00,95.20
3456.00,95.18
3455.00,95.17
3454.00,95.17
3453.00,95.15
3452.00,95.13
3451.00,95.10
3450.00,95.09
3449.00,95.09
3448.00,95.09
3447.00,95.08
3446.00,95.07
3445.00,95.06
3444.00,95.06
3443.00,95.06
3442.00,95.06
3441.00,95.04
3440.00,95.02
3439.00,95.01
3438.00,95.01
3437.00,95.01
3436.00,95.03
3435.00,95.04
3434.00,95.05
3433.00,95.05
3432.00,95.05
3431.00,95.05
3430.00,95.05
3429.00,95.04
3428.00,95.03
3427.00,95.01
3426.00,95.00
3425.00,95.00
3424.00,95.00
3423.00,95.00
3422.00,94.99
3421.00,94.98
3420.00,94.96
3419.00,94.95
3418.00,94.93
3417.00,94.91
3416.00,94.89
3415.00,94.89
3414.00,94.90
3413.00,94.90
3412.00,94.90
3411.00,94.89
3410.00,94.87
3409.00,94.87
3408.00,94.87
3407.00,94.86
3406.00,94.85
3405.00,94.83
3404.00,94.82
3403.00,94.80
3402.00,94.79
3401.00,94.78
3400.00,94.77
3399.00,94.76
3398.00,94.75
3397.00,94.75
3396.00,94.73
3395.00,94.70
3394.00,94.67
3393.00,94.63
3392.00,94.61
3391.00,94.60
3390.00,94.61
3389.00,94.61
3388.00,94.61
3387.00,94.60
3386.00,94.59
3385.00,94.59
3384.00,94.57
3383.00,94.55
3382.00,94.52
3381.00,94.47
3380.00,94.43
3379.00,94.40
3378.00,94.37
3377.00,94.35
3376.00,94.33
3375.00,94.31
3374.00,94.27
3373.00,94.23
3372.00,94.18
3371.00,94.15
3370.00,94.13
3369.00,94.09
3368.00,94.04
3367.00,93.98
3366.00,93.92
3365.00,93.87
3364.00,93.84
3363.00,93.80
3362.00,93.75
3361.00,93.69
3360.00,93.63
3359.00,93.56
3358.00,93.49
3357.00,93.42
3356.00,93.35
3355.00,93.27
3354.00,93.19
3353.00,93.13
3352.00,93.06
3351.00,93.00
3350.00,92.91
3349.00,92.80
3348.00,92.69
3347.00,92.59
3346.00,92.50
3345.00,92.42
3344.00,92.33
3343.00,92.23
3342.00,92.10
3341.00,91.98
3340.00,91.85
3339.00,91.72
3338.00,91.58
3337.00,91.42
3336.00,91.26
3335.00,91.10
3334.00,90.93
3333.00,90.76
3332.00,90.58
3331.00,90.40
3330.00,90.21
3329.00,90.00
3328.00,89.78
3327.00,89.54
3326.00,89.30
3325.00,89.06
3324.00,88.83
3323.00,88.59
3322.00,88.33
3321.00,88.08
3320.00,87.83
3319.00,87.58
3318.00,87.34
3317.00,87.08
3316.00,86.81
3315.00,86.53
3314.00,86.23
3313.00,85.93
3312.00,85.62
3311.00,85.31
3310.00,85.00
3309.00,84.68
3308.00,84.35
3307.00,84.01
3306.00,83.67
3305.00,83.35
3304.00,83.05
3303.00,82.75
3302.00,82.48
3301.00,82.23
3300.00,82.01
3299.00,81.84
3298.00,81.70
3297.00,81.60
3296.00,81.55
3295.00,81.54
3294.00,81.55
3293.00,81.59
3292.00,81.64
3291.00,81.71
3290.00,81.83
3289.00,81.97
3288.00,82.14
3287.00,82.33
3286.00,82.51
3285.00,82.69
3284.00,82.87
3283.00,83.06
3282.00,83.24
3281.00,83.43
3280.00,83.60
3279.00,83.78
3278.00,83.96
3277.00,84.15
3276.00,84.34
3275.00,84.52
3274.00,84.69
3273.00,84.86
3272.00,85.01
3271.00,85.18
3270.00,85.34
3269.00,85.51
3268.00,85.67
