Created as New Dataset,2 Celanese
cm-1,%T
3445.00,96.45
3444.00,96.46
3443.00,96.47
3442.00,96.48
3441.00,96.50
3440.00,96.52
3439.00,96.54
3438.00,96.54
3437.00,96.53
3436.00,96.51
3435.00,96.50
3434.00,96.50
3433.00,96.50
3432.00,96.49
3431.00,96.48
3430.00,96.47
3429.00,96.47
3428.00,96.49
3427.00,96.51
3426.00,96.54
3425.00,96.55
3424.00,96.54
3423.00,96.53
3422.00,96.52
3421.00,96.53
3420.00,96.54
3419.00,96.56
3418.00,96.57
3417.00,96.57
3416.00,96.58
3415.00,96.59
3414.00,96.60
3413.00,96.61
3412.00,96.61
3411.00,96.60
3410.00,96.60
3409.00,96.60
3408.00,96.61
3407.00,96.62
3406.00,96.62
3405.00,96.62
3404.00,96.62
3403.00,96.63
3402.00,96.63
3401.00,96.62
3400.00,96.62
3399.00,96.62
3398.00,96.62
3397.00,96.62
3396.00,96.63
3395.00,96.63
3394.00,96.63
3393.00,96.62
3392.00,96.61
3391.00,96.60
3390.00,96.60
3389.00,96.60
3388.00,96.59
3387.00,96.58
3386.00,96.56
3385.00,96.56
3384.00,96.57
3383.00,96.59
3382.00,96.61
3381.00,96.63
3380.00,96.63
3379.00,96.63
3378.00,96.63
3377.00,96.63
3376.00,96.63
3375.00,96.63
3374.00,96.63
3373.00,96.62
3372.00,96.62
3371.00,96.62
3370.00,96.63
3369.00,96.64
3368.00,96.65
3367.00,96.66
3366.00,96.65
3365.00,96.62
3364.00,96.59
3363.00,96.58
3362.00,96.60
3361.00,96.63
3360.00,96.66
3359.00,96.68
3358.00,96.68
3357.00,96.66
3356.00,96.64
3355.00,96.62
3354.00,96.61
3353.00,96.61
3352.00,96.63
3351.00,96.64
3350.00,96.65
3349.00,96.66
3348.00,96.66
3347.00,96.66
3346.00,96.66
3345.00,96.66
3344.00,96.66
3343.00,96.66
3342.00,96.66
3341.00,96.66
3340.00,96.67
3339.00,96.68
3338.00,96.70
3337.00,96.72
3336.00,96.73
