Created as New Dataset,12.4 Red Wool Merino sheep and rayon
cm-1,%T
3294.00,89.50
3293.00,89.50
3292.00,89.50
3291.00,89.50
3290.00,89.51
3289.00,89.51
3288.00,89.51
3287.00,89.51
3286.00,89.51
3285.00,89.51
3284.00,89.51
3283.00,89.52
3282.00,89.52
3281.00,89.52
3280.00,89.53
3279.00,89.54
3278.00,89.54
3277.00,89.54
3276.00,89.53
3275.00,89.52
3274.00,89.51
3273.00,89.52
3272.00,89.53
3271.00,89.53
3270.00,89.54
3269.00,89.54
3268.00,89.54
3267.00,89.56
3266.00,89.58
3265.00,89.60
3264.00,89.62
3263.00,89.65
3262.00,89.67
3261.00,89.69
3260.00,89.70
3259.00,89.70
3258.00,89.73
3257.00,89.76
3256.00,89.79
3255.00,89.80
3254.00,89.82
3253.00,89.83
3252.00,89.85
3251.00,89.88
3250.00,89.90
3249.00,89.91
3248.00,89.93
3247.00,89.95
3246.00,89.97
3245.00,89.98
3244.00,89.99
3243.00,90.01
3242.00,90.04
3241.00,90.08
3240.00,90.12
3239.00,90.16
3238.00,90.19
3237.00,90.22
3236.00,90.23
3235.00,90.23
3234.00,90.23
3233.00,90.23
3232.00,90.25
3231.00,90.28
3230.00,90.30
3229.00,90.32
3228.00,90.33
3227.00,90.35
3226.00,90.37
3225.00,90.40
3224.00,90.44
3223.00,90.47
3222.00,90.49
3221.00,90.51
3220.00,90.51
3219.00,90.51
3218.00,90.51
3217.00,90.53
3216.00,90.56
3215.00,90.60
3214.00,90.63
3213.00,90.64
3212.00,90.65
3211.00,90.66
3210.00,90.68
3209.00,90.69
3208.00,90.70
3207.00,90.71
3206.00,90.72
3205.00,90.74
3204.00,90.77
3203.00,90.80
3202.00,90.83
3201.00,90.86
3200.00,90.90
3199.00,90.93
3198.00,90.96
3197.00,90.98
3196.00,90.99
3195.00,90.99
3194.00,91.01
3193.00,91.03
3192.00,91.06
3191.00,91.11
3190.00,91.15
3189.00,91.19
3188.00,91.21
3187.00,91.23
3186.00,91.24
3185.00,91.26
3184.00,91.29
3183.00,91.32
3182.00,91.36
3181.00,91.40
3180.00,91.41
3179.00,91.41
3178.00,91.41
3177.00,91.43
3176.00,91.46
3175.00,91.50
3174.00,91.54
3173.00,91.57
3172.00,91.59
3171.00,91.62
3170.00,91.65
3169.00,91.68
3168.00,91.69
3167.00,91.69
3166.00,91.68
3165.00,91.69
3164.00,91.70
3163.00,91.74
3162.00,91.78
3161.00,91.83
3160.00,91.88
3159.00,91.92
3158.00,91.95
3157.00,91.98
3156.00,92.01
3155.00,92.04
3154.00,92.06
3153.00,92.09
3152.00,92.12
3151.00,92.16
3150.00,92.21
3149.00,92.25
3148.00,92.28
3147.00,92.32
3146.00,92.35
3145.00,92.38
3144.00,92.41
3143.00,92.43
3142.00,92.44
3141.00,92.45
3140.00,92.46
3139.00,92.47
3138.00,92.48
3137.00,92.50
3136.00,92.54
3135.00,92.58
3134.00,92.63
3133.00,92.67
3132.00,92.70
3131.00,92.73
3130.00,92.75
3129.00,92.77
3128.00,92.80
3127.00,92.83
3126.00,92.87
3125.00,92.90
3124.00,92.93
3123.00,92.94
3122.00,92.95
3121.00,92.97
3120.00,93.00
3119.00,93.04
3118.00,93.07
3117.00,93.09
3116.00,93.10
3115.00,93.11
3114.00,93.14
3113.00,93.16
3112.00,93.19
3111.00,93.21
3110.00,93.23
3109.00,93.24
3108.00,93.25
3107.00,93.26
3106.00,93.28
3105.00,93.31
3104.00,93.34
3103.00,93.37
3102.00,93.39
3101.00,93.41
3100.00,93.43
3099.00,93.45
3098.00,93.46
3097.00,93.48
3096.00,93.49
3095.00,93.50
3094.00,93.51
3093.00,93.52
3092.00,93.53
3091.00,93.54
3090.00,93.56
3089.00,93.58
3088.00,93.60
3087.00,93.62
3086.00,93.65
3085.00,93.68
3084.00,93.70
3083.00,93.72
3082.00,93.74
3081.00,93.74
3080.00,93.75
3079.00,93.75
3078.00,93.76
3077.00,93.77
3076.00,93.80
3075.00,93.84
3074.00,93.86
3073.00,93.88
3072.00,93.89
3071.00,93.91
3070.00,93.93
3069.00,93.95
3068.00,93.96
3067.00,93.96
3066.00,93.95
3065.00,93.95
3064.00,93.97
3063.00,94.00
3062.00,94.03
3061.00,94.05
3060.00,94.07
3059.00,94.08
3058.00,94.11
3057.00,94.14
3056.00,94.18
3055.00,94.21
3054.00,94.24
3053.00,94.27
3052.00,94.30
3051.00,94.33
3050.00,94.36
3049.00,94.39
3048.00,94.42
3047.00,94.44
3046.00,94.46
3045.00,94.48
3044.00,94.50
3043.00,94.51
3042.00,94.52
3041.00,94.52
3040.00,94.55
3039.00,94.58
3038.00,94.62
3037.00,94.66
3036.00,94.68
3035.00,94.71
3034.00,94.73
3033.00,94.76
3032.00,94.78
3031.00,94.80
3030.00,94.81
3029.00,94.82
3028.00,94.83
3027.00,94.84
3026.00,94.86
3025.00,94.87
3024.00,94.88
3023.00,94.89
3022.00,94.91
3021.00,94.94
3020.00,94.98
3019.00,95.01
3018.00,95.03
3017.00,95.04
3016.00,95.06
3015.00,95.07
3014.00,95.09
3013.00,95.10
3012.00,95.12
3011.00,95.13
3010.00,95.15
3009.00,95.16
3008.00,95.17
3007.00,95.17
3006.00,95.17
3005.00,95.18
3004.00,95.21
3003.00,95.24
3002.00,95.26
3001.00,95.25
3000.00,95.23
2999.00,95.20
2998.00,95.18
2997.00,95.17
2996.00,95.17
2995.00,95.18
2994.00,95.18
2993.00,95.20
2992.00,95.20
2991.00,95.21
2990.00,95.21
2989.00,95.20
2988.00,95.19
2987.00,95.16
2986.00,95.12
2985.00,95.09
2984.00,95.07
2983.00,95.06
2982.00,95.05
