Created as New Dataset,135 Bayer
cm-1,%T
3349.00,101.14
3348.00,101.15
3347.00,101.15
3346.00,101.14
3345.00,101.13
3344.00,101.13
3343.00,101.13
3342.00,101.13
3341.00,101.13
3340.00,101.12
3339.00,101.11
3338.00,101.09
3337.00,101.08
3336.00,101.08
3335.00,101.09
3334.00,101.10
3333.00,101.10
3332.00,101.09
3331.00,101.07
3330.00,101.06
3329.00,101.05
3328.00,101.05
3327.00,101.05
3326.00,101.06
3325.00,101.08
3324.00,101.09
3323.00,101.10
3322.00,101.09
3321.00,101.08
3320.00,101.08
3319.00,101.08
3318.00,101.08
3317.00,101.07
3316.00,101.07
3315.00,101.07
3314.00,101.08
3313.00,101.08
3312.00,101.09
3311.00,101.08
3310.00,101.08
3309.00,101.07
3308.00,101.07
3307.00,101.08
3306.00,101.10
3305.00,101.11
3304.00,101.11
3303.00,101.11
3302.00,101.09
3301.00,101.08
3300.00,101.07
3299.00,101.07
3298.00,101.07
3297.00,101.07
3296.00,101.07
3295.00,101.06
3294.00,101.04
3293.00,101.02
3292.00,101.00
3291.00,100.99
3290.00,100.99
3289.00,101.00
3288.00,101.02
3287.00,101.04
3286.00,101.04
3285.00,101.05
3284.00,101.05
3283.00,101.05
3282.00,101.05
3281.00,101.05
3280.00,101.05
3279.00,101.05
3278.00,101.04
3277.00,101.03
3276.00,101.01
3275.00,100.99
3274.00,100.99
3273.00,100.99
3272.00,101.00
3271.00,101.02
3270.00,101.04
3269.00,101.05
3268.00,101.06
3267.00,101.06
3266.00,101.07
3265.00,101.06
3264.00,101.05
3263.00,101.03
3262.00,101.01
3261.00,100.99
3260.00,100.99
3259.00,101.01
3258.00,101.03
3257.00,101.04
3256.00,101.04
3255.00,101.03
3254.00,101.03
3253.00,101.03
3252.00,101.04
3251.00,101.05
3250.00,101.07
3249.00,101.09
3248.00,101.10
3247.00,101.10
3246.00,101.09
3245.00,101.07
3244.00,101.06
3243.00,101.06
3242.00,101.05
3241.00,101.04
3240.00,101.01
3239.00,100.99
3238.00,100.97
3237.00,100.97
