Created as New Dataset,Natural Brown fiber
cm-1,%T
3502.00,95.70
3501.00,95.66
3500.00,95.63
3499.00,95.61
3498.00,95.59
3497.00,95.57
3496.00,95.54
3495.00,95.49
3494.00,95.45
3493.00,95.42
3492.00,95.40
3491.00,95.37
3490.00,95.34
3489.00,95.30
3488.00,95.24
3487.00,95.19
3486.00,95.14
3485.00,95.10
3484.00,95.07
3483.00,95.05
3482.00,95.03
3481.00,95.00
3480.00,94.96
3479.00,94.90
3478.00,94.85
3477.00,94.79
3476.00,94.74
3475.00,94.69
3474.00,94.66
3473.00,94.64
3472.00,94.62
3471.00,94.59
3470.00,94.55
3469.00,94.50
3468.00,94.43
3467.00,94.37
3466.00,94.31
3465.00,94.26
3464.00,94.22
3463.00,94.19
3462.00,94.17
3461.00,94.14
3460.00,94.11
3459.00,94.08
3458.00,94.04
3457.00,94.00
3456.00,93.95
3455.00,93.90
3454.00,93.84
3453.00,93.78
3452.00,93.73
3451.00,93.68
3450.00,93.64
3449.00,93.60
3448.00,93.57
3447.00,93.53
3446.00,93.49
3445.00,93.44
3444.00,93.39
3443.00,93.34
3442.00,93.29
3441.00,93.26
3440.00,93.22
3439.00,93.19
3438.00,93.15
3437.00,93.10
3436.00,93.04
3435.00,92.98
3434.00,92.93
3433.00,92.88
3432.00,92.84
3431.00,92.80
3430.00,92.77
3429.00,92.74
3428.00,92.70
3427.00,92.66
3426.00,92.60
3425.00,92.54
3424.00,92.48
3423.00,92.43
3422.00,92.39
3421.00,92.35
3420.00,92.30
3419.00,92.24
3418.00,92.18
3417.00,92.12
3416.00,92.07
3415.00,92.03
3414.00,91.99
3413.00,91.96
3412.00,91.92
3411.00,91.87
3410.00,91.81
3409.00,91.75
3408.00,91.70
3407.00,91.65
3406.00,91.61
3405.00,91.55
3404.00,91.50
3403.00,91.45
3402.00,91.41
3401.00,91.37
3400.00,91.34
3399.00,91.32
3398.00,91.29
3397.00,91.27
3396.00,91.23
3395.00,91.19
3394.00,91.14
3393.00,91.10
3392.00,91.06
3391.00,91.02
3390.00,90.99
3389.00,90.96
3388.00,90.93
3387.00,90.89
3386.00,90.85
3385.00,90.81
3384.00,90.77
3383.00,90.72
3382.00,90.66
3381.00,90.62
3380.00,90.59
3379.00,90.55
3378.00,90.52
3377.00,90.47
3376.00,90.42
3375.00,90.37
3374.00,90.33
3373.00,90.29
3372.00,90.24
3371.00,90.18
3370.00,90.13
3369.00,90.08
3368.00,90.03
3367.00,89.99
3366.00,89.93
3365.00,89.87
3364.00,89.81
3363.00,89.74
3362.00,89.67
3361.00,89.61
3360.00,89.56
3359.00,89.52
3358.00,89.47
3357.00,89.42
3356.00,89.36
3355.00,89.29
3354.00,89.23
3353.00,89.17
3352.00,89.11
3351.00,89.05
3350.00,88.99
3349.00,88.94
3348.00,88.89
3347.00,88.84
3346.00,88.78
3345.00,88.70
3344.00,88.63
3343.00,88.58
3342.00,88.54
3341.00,88.50
3340.00,88.46
3339.00,88.42
3338.00,88.39
3337.00,88.36
3336.00,88.35
3335.00,88.34
3334.00,88.32
3333.00,88.31
3332.00,88.31
3331.00,88.31
3330.00,88.32
3329.00,88.34
3328.00,88.36
3327.00,88.38
3326.00,88.40
3325.00,88.42
3324.00,88.44
3323.00,88.45
3322.00,88.46
3321.00,88.47
3320.00,88.48
3319.00,88.50
3318.00,88.53
3317.00,88.56
3316.00,88.59
3315.00,88.60
3314.00,88.61
3313.00,88.61
3312.00,88.60
3311.00,88.61
3310.00,88.62
3309.00,88.64
3308.00,88.65
3307.00,88.65
3306.00,88.65
3305.00,88.64
3304.00,88.64
3303.00,88.64
3302.00,88.63
3301.00,88.61
3300.00,88.59
3299.00,88.58
3298.00,88.56
3297.00,88.55
3296.00,88.55
3295.00,88.55
3294.00,88.56
3293.00,88.58
3292.00,88.59
3291.00,88.59
3290.00,88.58
3289.00,88.57
3288.00,88.56
3287.00,88.55
3286.00,88.56
3285.00,88.57
3284.00,88.58
3283.00,88.59
3282.00,88.60
3281.00,88.60
3280.00,88.61
3279.00,88.61
3278.00,88.62
3277.00,88.63
3276.00,88.65
3275.00,88.67
3274.00,88.69
3273.00,88.71
3272.00,88.73
3271.00,88.76
3270.00,88.80
3269.00,88.84
3268.00,88.88
3267.00,88.92
3266.00,88.97
3265.00,89.01
3264.00,89.06
3263.00,89.10
3262.00,89.15
3261.00,89.19
3260.00,89.23
3259.00,89.27
3258.00,89.30
3257.00,89.34
3256.00,89.38
3255.00,89.43
3254.00,89.49
3253.00,89.54
3252.00,89.60
3251.00,89.66
3250.00,89.72
3249.00,89.78
3248.00,89.84
3247.00,89.89
3246.00,89.95
3245.00,90.00
3244.00,90.05
3243.00,90.09
3242.00,90.13
3241.00,90.17
3240.00,90.20
3239.00,90.25
3238.00,90.29
3237.00,90.34
3236.00,90.39
3235.00,90.44
3234.00,90.49
3233.00,90.53
3232.00,90.56
3231.00,90.59
3230.00,90.63
3229.00,90.67
3228.00,90.71
3227.00,90.76
3226.00,90.82
3225.00,90.88
3224.00,90.92
3223.00,90.95
3222.00,90.98
3221.00,91.01
3220.00,91.04
3219.00,91.09
3218.00,91.14
3217.00,91.19
3216.00,91.23
3215.00,91.27
3214.00,91.31
3213.00,91.36
3212.00,91.40
3211.00,91.44
3210.00,91.48
3209.00,91.51
3208.00,91.56
3207.00,91.61
3206.00,91.66
3205.00,91.71
3204.00,91.75
3203.00,91.79
3202.00,91.83
3201.00,91.85
3200.00,91.88
3199.00,91.90
3198.00,91.92
3197.00,91.96
3196.00,92.01
3195.00,92.07
3194.00,92.13
3193.00,92.16
3192.00,92.19
3191.00,92.21
3190.00,92.24
3189.00,92.28
3188.00,92.32
3187.00,92.35
3186.00,92.38
3185.00,92.41
3184.00,92.43
3183.00,92.46
3182.00,92.50
3181.00,92.55
3180.00,92.60
3179.00,92.65
3178.00,92.70
3177.00,92.74
3176.00,92.78
3175.00,92.81
3174.00,92.84
3173.00,92.86
3172.00,92.89
3171.00,92.91
3170.00,92.92
3169.00,92.94
3168.00,92.97
3167.00,93.02
3166.00,93.06
3165.00,93.11
3164.00,93.14
3163.00,93.17
3162.00,93.21
3161.00,93.25
3160.00,93.28
3159.00,93.31
3158.00,93.33
3157.00,93.36
3156.00,93.39
3155.00,93.42
3154.00,93.47
3153.00,93.51
3152.00,93.54
3151.00,93.57
3150.00,93.59
3149.00,93.63
3148.00,93.66
3147.00,93.69
3146.00,93.72
3145.00,93.73
3144.00,93.75
3143.00,93.77
3142.00,93.80
3141.00,93.83
3140.00,93.86
3139.00,93.88
3138.00,93.89
3137.00,93.91
3136.00,93.92
3135.00,93.94
3134.00,93.97
3133.00,94.00
3132.00,94.04
3131.00,94.08
3130.00,94.12
3129.00,94.15
3128.00,94.18
3127.00,94.20
3126.00,94.22
3125.00,94.24
3124.00,94.26
3123.00,94.29
3122.00,94.32
3121.00,94.35
3120.00,94.37
3119.00,94.39
3118.00,94.40
3117.00,94.42
3116.00,94.45
3115.00,94.48
3114.00,94.50
3113.00,94.52
3112.00,94.53
3111.00,94.55
3110.00,94.56
3109.00,94.59
3108.00,94.61
3107.00,94.65
3106.00,94.69
3105.00,94.72
3104.00,94.75
3103.00,94.77
3102.00,94.78
3101.00,94.78
3100.00,94.78
3099.00,94.79
3098.00,94.82
3097.00,94.85
3096.00,94.90
3095.00,94.94
3094.00,94.97
3093.00,95.00
3092.00,95.01
3091.00,95.02
3090.00,95.03
3089.00,95.05
3088.00,95.07
3087.00,95.10
3086.00,95.12
3085.00,95.14
3084.00,95.16
3083.00,95.19
3082.00,95.22
3081.00,95.25
3080.00,95.28
3079.00,95.30
3078.00,95.32
3077.00,95.34
3076.00,95.36
3075.00,95.38
3074.00,95.39
3073.00,95.39
3072.00,95.40
3071.00,95.42
3070.00,95.45
3069.00,95.48
3068.00,95.50
3067.00,95.51
3066.00,95.51
3065.00,95.52
3064.00,95.53
3063.00,95.56
3062.00,95.58
3061.00,95.61
3060.00,95.63
3059.00,95.65
3058.00,95.66
3057.00,95.67
3056.00,95.68
3055.00,95.69
3054.00,95.72
3053.00,95.76
3052.00,95.78
3051.00,95.80
3050.00,95.82
3049.00,95.82
3048.00,95.84
3047.00,95.85
3046.00,95.87
3045.00,95.88
3044.00,95.89
3043.00,95.90
3042.00,95.91
3041.00,95.93
3040.00,95.95
3039.00,95.96
3038.00,95.97
3037.00,95.99
3036.00,96.01
3035.00,96.02
3034.00,96.04
3033.00,96.06
3032.00,96.09
3031.00,96.12
3030.00,96.15
3029.00,96.16
3028.00,96.17
3027.00,96.18
3026.00,96.19
3025.00,96.20
3024.00,96.21
3023.00,96.22
3022.00,96.22
3021.00,96.23
3020.00,96.24
3019.00,96.25
3018.00,96.26
3017.00,96.27
3016.00,96.29
3015.00,96.29
3014.00,96.30
3013.00,96.30
3012.00,96.31
3011.00,96.33
3010.00,96.35
3009.00,96.37
3008.00,96.38
3007.00,96.39
3006.00,96.40
3005.00,96.41
3004.00,96.43
3003.00,96.44
3002.00,96.45
3001.00,96.46
3000.00,96.46
2999.00,96.46
2998.00,96.45
2997.00,96.45
2996.00,96.46
2995.00,96.47
2994.00,96.49
2993.00,96.51
2992.00,96.50
2991.00,96.50
2990.00,96.49
2989.00,96.49
2988.00,96.50
2987.00,96.50
2986.00,96.51
2985.00,96.51
2984.00,96.51
2983.00,96.50
2982.00,96.48
2981.00,96.46
2980.00,96.44
2979.00,96.43
2978.00,96.41
2977.00,96.40
2976.00,96.37
2975.00,96.34
2974.00,96.29
2973.00,96.24
2972.00,96.20
2971.00,96.16
2970.00,96.12
2969.00,96.09
2968.00,96.07
2967.00,96.06
2966.00,96.05
2965.00,96.05
2964.00,96.05
2963.00,96.05
2962.00,96.05
2961.00,96.03
2960.00,96.01
2959.00,95.99
2958.00,95.97
2957.00,95.95
2956.00,95.91
2955.00,95.88
2954.00,95.84
2953.00,95.80
2952.00,95.75
2951.00,95.71
2950.00,95.67
2949.00,95.64
2948.00,95.60
2947.00,95.57
2946.00,95.53
2945.00,95.48
2944.00,95.44
2943.00,95.42
2942.00,95.41
2941.00,95.40
2940.00,95.40
2939.00,95.38
2938.00,95.37
2937.00,95.35
2936.00,95.33
2935.00,95.33
2934.00,95.31
2933.00,95.29
2932.00,95.24
2931.00,95.20
2930.00,95.15
2929.00,95.10
2928.00,95.04
2927.00,94.97
2926.00,94.89
2925.00,94.81
2924.00,94.71
2923.00,94.62
2922.00,94.52
2921.00,94.44
2920.00,94.36
2919.00,94.29
2918.00,94.23
2917.00,94.20
2916.00,94.20
2915.00,94.20
2914.00,94.20
2913.00,94.20
2912.00,94.20
2911.00,94.18
2910.00,94.16
2909.00,94.14
2908.00,94.12
2907.00,94.10
2906.00,94.09
2905.00,94.07
2904.00,94.05
2903.00,94.03
2902.00,94.01
2901.00,94.00
2900.00,93.99
2899.00,94.00
2898.00,94.02
2897.00,94.04
2896.00,94.06
2895.00,94.09
2894.00,94.11
2893.00,94.12
2892.00,94.13
2891.00,94.15
2890.00,94.17
2889.00,94.21
2888.00,94.24
2887.00,94.28
2886.00,94.31
2885.00,94.33
2884.00,94.35
2883.00,94.37
2882.00,94.39
2881.00,94.41
2880.00,94.43
2879.00,94.45
2878.00,94.47
2877.00,94.49
2876.00,94.51
2875.00,94.53
2874.00,94.55
2873.00,94.57
2872.00,94.58
2871.00,94.60
2870.00,94.61
2869.00,94.63
2868.00,94.66
2867.00,94.68
2866.00,94.71
2865.00,94.72
2864.00,94.73
2863.00,94.73
2862.00,94.74
2861.00,94.76
2860.00,94.78
2859.00,94.80
2858.00,94.81
2857.00,94.81
2856.00,94.81
2855.00,94.80
2854.00,94.78
2853.00,94.77
2852.00,94.75
2851.00,94.74
2850.00,94.76
2849.00,94.80
2848.00,94.88
2847.00,94.98
2846.00,95.08
2845.00,95.18
2844.00,95.27
2843.00,95.36
2842.00,95.44
2841.00,95.50
2840.00,95.54
2839.00,95.58
2838.00,95.62
2837.00,95.66
2836.00,95.70
2835.00,95.74
2834.00,95.78
2833.00,95.81
2832.00,95.84
2831.00,95.87
2830.00,95.88
2829.00,95.90
2828.00,95.92
2827.00,95.95
2826.00,95.98
2825.00,96.00
2824.00,96.02
2823.00,96.04
2822.00,96.06
2821.00,96.08
2820.00,96.09
2819.00,96.11
2818.00,96.13
2817.00,96.15
2816.00,96.17
2815.00,96.19
2814.00,96.22
2813.00,96.24
2812.00,96.26
2811.00,96.27
2810.00,96.28
2809.00,96.29
2808.00,96.31
2807.00,96.33
2806.00,96.35
2805.00,96.36
2804.00,96.38
2803.00,96.39
2802.00,96.41
2801.00,96.43
2800.00,96.44
2799.00,96.45
2798.00,96.46
2797.00,96.46
2796.00,96.46
2795.00,96.48
2794.00,96.50
2793.00,96.51
2792.00,96.52
2791.00,96.52
2790.00,96.52
2789.00,96.52
2788.00,96.53
2787.00,96.54
2786.00,96.56
2785.00,96.58
2784.00,96.60
2783.00,96.61
2782.00,96.61
2781.00,96.61
2780.00,96.59
2779.00,96.59
2778.00,96.59
2777.00,96.60
2776.00,96.62
2775.00,96.63
2774.00,96.64
2773.00,96.63
2772.00,96.63
2771.00,96.63
2770.00,96.65
