Created as New Dataset,157. Hoechst (Red cloth)
cm-1,%T
3374.00,98.62
3373.00,98.62
3372.00,98.61
3371.00,98.59
3370.00,98.59
3369.00,98.59
3368.00,98.61
3367.00,98.61
3366.00,98.61
3365.00,98.59
3364.00,98.57
3363.00,98.55
3362.00,98.55
3361.00,98.55
3360.00,98.55
3359.00,98.55
3358.00,98.55
3357.00,98.56
3356.00,98.58
3355.00,98.61
3354.00,98.64
3353.00,98.64
3352.00,98.62
3351.00,98.59
3350.00,98.56
3349.00,98.56
3348.00,98.57
3347.00,98.58
3346.00,98.59
3345.00,98.60
3344.00,98.60
3343.00,98.60
3342.00,98.58
3341.00,98.57
3340.00,98.56
3339.00,98.57
3338.00,98.58
3337.00,98.58
3336.00,98.56
3335.00,98.54
3334.00,98.53
3333.00,98.53
3332.00,98.53
3331.00,98.53
3330.00,98.53
3329.00,98.53
3328.00,98.55
3327.00,98.57
3326.00,98.60
3325.00,98.61
3324.00,98.61
3323.00,98.60
3322.00,98.59
3321.00,98.59
3320.00,98.58
3319.00,98.57
3318.00,98.57
3317.00,98.57
3316.00,98.57
3315.00,98.56
3314.00,98.55
3313.00,98.54
3312.00,98.54
3311.00,98.55
3310.00,98.57
3309.00,98.58
3308.00,98.60
3307.00,98.61
3306.00,98.62
3305.00,98.61
3304.00,98.59
3303.00,98.57
3302.00,98.56
3301.00,98.55
3300.00,98.55
3299.00,98.56
3298.00,98.58
3297.00,98.59
3296.00,98.59
3295.00,98.60
3294.00,98.60
3293.00,98.60
3292.00,98.61
3291.00,98.62
3290.00,98.62
3289.00,98.62
3288.00,98.62
3287.00,98.62
3286.00,98.60
3285.00,98.57
3284.00,98.55
3283.00,98.53
3282.00,98.53
3281.00,98.53
3280.00,98.53
3279.00,98.54
3278.00,98.54
3277.00,98.54
3276.00,98.54
3275.00,98.53
3274.00,98.52
3273.00,98.52
3272.00,98.53
3271.00,98.54
3270.00,98.55
3269.00,98.55
3268.00,98.54
3267.00,98.52
3266.00,98.52
3265.00,98.53
3264.00,98.55
3263.00,98.56
3262.00,98.56
3261.00,98.56
3260.00,98.55
3259.00,98.54
3258.00,98.54
3257.00,98.54
3256.00,98.55
3255.00,98.55
3254.00,98.55
3253.00,98.54
3252.00,98.53
3251.00,98.53
3250.00,98.54
3249.00,98.54
3248.00,98.54
3247.00,98.53
3246.00,98.53
3245.00,98.53
3244.00,98.52
3243.00,98.52
3242.00,98.51
3241.00,98.51
3240.00,98.51
3239.00,98.52
3238.00,98.53
3237.00,98.53
3236.00,98.52
3235.00,98.51
3234.00,98.49
3233.00,98.48
3232.00,98.47
3231.00,98.47
3230.00,98.47
3229.00,98.47
3228.00,98.48
3227.00,98.48
3226.00,98.48
3225.00,98.48
3224.00,98.47
3223.00,98.46
3222.00,98.45
3221.00,98.46
3220.00,98.49
3219.00,98.52
3218.00,98.55
3217.00,98.56
3216.00,98.57
3215.00,98.56
3214.00,98.55
3213.00,98.54
3212.00,98.53
3211.00,98.54
3210.00,98.56
3209.00,98.57
3208.00,98.58
3207.00,98.57
3206.00,98.56
3205.00,98.55
3204.00,98.55
3203.00,98.55
3202.00,98.56
3201.00,98.55
3200.00,98.53
3199.00,98.51
3198.00,98.49
3197.00,98.49
3196.00,98.49
3195.00,98.49
3194.00,98.48
3193.00,98.46
3192.00,98.46
3191.00,98.46
3190.00,98.49
3189.00,98.51
3188.00,98.53
3187.00,98.53
3186.00,98.51
3185.00,98.49
3184.00,98.49
3183.00,98.49
3182.00,98.50
3181.00,98.50
3180.00,98.49
3179.00,98.49
3178.00,98.48
3177.00,98.48
3176.00,98.49
3175.00,98.50
3174.00,98.50
3173.00,98.51
3172.00,98.51
3171.00,98.51
3170.00,98.51
3169.00,98.52
3168.00,98.53
3167.00,98.53
3166.00,98.52
3165.00,98.51
3164.00,98.49
3163.00,98.49
3162.00,98.49
3161.00,98.49
3160.00,98.50
3159.00,98.52
3158.00,98.52
3157.00,98.52
3156.00,98.52
3155.00,98.52
3154.00,98.51
3153.00,98.50
3152.00,98.49
3151.00,98.48
3150.00,98.47
3149.00,98.47
3148.00,98.48
3147.00,98.49
3146.00,98.50
3145.00,98.50
3144.00,98.49
3143.00,98.48
3142.00,98.49
3141.00,98.51
3140.00,98.53
3139.00,98.53
3138.00,98.53
3137.00,98.52
3136.00,98.50
3135.00,98.50
3134.00,98.50
3133.00,98.51
3132.00,98.50
3131.00,98.48
3130.00,98.45
3129.00,98.43
3128.00,98.41
3127.00,98.40
3126.00,98.39
3125.00,98.39
3124.00,98.39
3123.00,98.39
3122.00,98.41
3121.00,98.42
3120.00,98.43
3119.00,98.43
3118.00,98.43
3117.00,98.43
3116.00,98.42
3115.00,98.40
3114.00,98.38
3113.00,98.37
3112.00,98.36
3111.00,98.36
3110.00,98.34
3109.00,98.33
3108.00,98.31
3107.00,98.30
3106.00,98.30
3105.00,98.29
3104.00,98.30
3103.00,98.30
3102.00,98.32
3101.00,98.34
3100.00,98.36
3099.00,98.37
3098.00,98.37
3097.00,98.36
3096.00,98.35
3095.00,98.34
3094.00,98.33
3093.00,98.32
3092.00,98.31
3091.00,98.32
3090.00,98.32
3089.00,98.31
3088.00,98.29
3087.00,98.28
3086.00,98.26
3085.00,98.24
3084.00,98.23
3083.00,98.22
3082.00,98.22
3081.00,98.22
3080.00,98.23
3079.00,98.24
3078.00,98.24
3077.00,98.24
3076.00,98.23
3075.00,98.21
3074.00,98.19
3073.00,98.18
3072.00,98.20
3071.00,98.23
3070.00,98.26
3069.00,98.26
3068.00,98.24
3067.00,98.21
3066.00,98.18
3065.00,98.17
3064.00,98.16
3063.00,98.16
3062.00,98.17
3061.00,98.18
3060.00,98.19
3059.00,98.19
3058.00,98.18
3057.00,98.16
3056.00,98.14
3055.00,98.14
3054.00,98.16
3053.00,98.19
3052.00,98.22
3051.00,98.26
3050.00,98.28
3049.00,98.29
3048.00,98.29
3047.00,98.31
3046.00,98.34
3045.00,98.38
3044.00,98.41
3043.00,98.43
3042.00,98.43
3041.00,98.43
3040.00,98.42
3039.00,98.42
3038.00,98.43
3037.00,98.43
3036.00,98.43
3035.00,98.43
3034.00,98.42
3033.00,98.41
3032.00,98.42
3031.00,98.43
3030.00,98.42
3029.00,98.41
3028.00,98.40
3027.00,98.39
3026.00,98.37
3025.00,98.34
3024.00,98.29
3023.00,98.23
3022.00,98.18
3021.00,98.16
3020.00,98.14
3019.00,98.13
3018.00,98.12
3017.00,98.11
3016.00,98.10
3015.00,98.07
3014.00,98.04
3013.00,98.00
3012.00,97.97
3011.00,97.96
3010.00,97.95
3009.00,97.94
3008.00,97.93
3007.00,97.91
3006.00,97.90
3005.00,97.90
3004.00,97.91
3003.00,97.91
3002.00,97.92
3001.00,97.92
3000.00,97.91
2999.00,97.91
2998.00,97.89
2997.00,97.88
2996.00,97.86
2995.00,97.84
2994.00,97.81
2993.00,97.79
2992.00,97.77
2991.00,97.76
2990.00,97.74
2989.00,97.72
2988.00,97.67
2987.00,97.63
2986.00,97.59
2985.00,97.55
2984.00,97.53
2983.00,97.49
2982.00,97.45
2981.00,97.39
2980.00,97.34
2979.00,97.28
2978.00,97.22
2977.00,97.15
2976.00,97.06
2975.00,96.98
2974.00,96.90
2973.00,96.85
2972.00,96.82
2971.00,96.80
2970.00,96.78
2969.00,96.77
2968.00,96.76
2967.00,96.75
2966.00,96.75
2965.00,96.77
2964.00,96.79
2963.00,96.81
2962.00,96.82
2961.00,96.83
2960.00,96.84
2959.00,96.85
2958.00,96.88
2957.00,96.91
2956.00,96.94
2955.00,96.97
2954.00,97.00
2953.00,97.04
2952.00,97.08
2951.00,97.14
2950.00,97.20
2949.00,97.26
2948.00,97.32
2947.00,97.36
2946.00,97.38
2945.00,97.41
2944.00,97.44
2943.00,97.47
2942.00,97.50
2941.00,97.51
2940.00,97.52
2939.00,97.52
2938.00,97.53
2937.00,97.53
2936.00,97.52
2935.00,97.49
2934.00,97.46
2933.00,97.43
2932.00,97.42
2931.00,97.41
2930.00,97.40
2929.00,97.35
2928.00,97.28
2927.00,97.20
2926.00,97.13
2925.00,97.06
2924.00,97.00
2923.00,96.94
2922.00,96.89
2921.00,96.83
2920.00,96.77
2919.00,96.70
2918.00,96.63
2917.00,96.59
2916.00,96.57
2915.00,96.59
2914.00,96.64
2913.00,96.70
2912.00,96.77
2911.00,96.84
2910.00,96.91
