Created as New Dataset,126 Shaw Industries (Green)
cm-1,%T
3067.00,100.41
3066.00,100.42
3065.00,100.43
3064.00,100.44
3063.00,100.46
3062.00,100.46
3061.00,100.45
3060.00,100.43
3059.00,100.41
3058.00,100.40
3057.00,100.41
3056.00,100.41
3055.00,100.41
3054.00,100.41
3053.00,100.41
3052.00,100.41
3051.00,100.41
3050.00,100.41
3049.00,100.42
3048.00,100.43
3047.00,100.44
3046.00,100.44
3045.00,100.43
3044.00,100.41
3043.00,100.39
3042.00,100.37
3041.00,100.37
3040.00,100.37
3039.00,100.38
3038.00,100.38
3037.00,100.38
3036.00,100.37
3035.00,100.37
3034.00,100.37
3033.00,100.36
3032.00,100.36
3031.00,100.37
3030.00,100.38
3029.00,100.38
3028.00,100.38
3027.00,100.37
3026.00,100.35
3025.00,100.33
3024.00,100.31
3023.00,100.31
3022.00,100.31
3021.00,100.31
3020.00,100.31
3019.00,100.30
3018.00,100.29
3017.00,100.27
3016.00,100.26
3015.00,100.24
3014.00,100.22
3013.00,100.20
3012.00,100.19
3011.00,100.18
3010.00,100.16
3009.00,100.13
3008.00,100.09
3007.00,100.06
3006.00,100.03
3005.00,100.01
3004.00,99.98
3003.00,99.96
3002.00,99.93
3001.00,99.91
3000.00,99.89
2999.00,99.86
2998.00,99.83
2997.00,99.78
2996.00,99.72
2995.00,99.66
2994.00,99.59
2993.00,99.53
2992.00,99.47
2991.00,99.40
2990.00,99.33
2989.00,99.24
2988.00,99.13
2987.00,99.01
2986.00,98.87
2985.00,98.71
2984.00,98.54
2983.00,98.36
2982.00,98.18
2981.00,97.97
2980.00,97.74
2979.00,97.46
2978.00,97.14
2977.00,96.77
2976.00,96.36
2975.00,95.89
2974.00,95.37
2973.00,94.80
2972.00,94.17
2971.00,93.46
2970.00,92.68
2969.00,91.83
2968.00,90.91
2967.00,89.95
2966.00,88.97
2965.00,88.00
2964.00,87.10
2963.00,86.30
2962.00,85.64
2961.00,85.10
2960.00,84.68
2959.00,84.31
2958.00,83.94
2957.00,83.49
2956.00,82.91
2955.00,82.18
2954.00,81.34
2953.00,80.50
2952.00,79.80
2951.00,79.35
2950.00,79.25
2949.00,79.56
2948.00,80.28
2947.00,81.34
2946.00,82.66
2945.00,84.07
2944.00,85.43
2943.00,86.65
2942.00,87.64
2941.00,88.36
2940.00,88.82
2939.00,89.06
2938.00,89.10
2937.00,88.94
2936.00,88.60
2935.00,88.08
2934.00,87.40
2933.00,86.59
2932.00,85.67
2931.00,84.66
2930.00,83.61
2929.00,82.55
2928.00,81.51
2927.00,80.49
2926.00,79.51
2925.00,78.58
2924.00,77.68
2923.00,76.81
2922.00,75.96
2921.00,75.15
2920.00,74.45
2919.00,73.92
2918.00,73.68
2917.00,73.75
2916.00,74.15
2915.00,74.79
2914.00,75.58
2913.00,76.42
2912.00,77.24
2911.00,77.99
2910.00,78.66
2909.00,79.29
2908.00,79.89
2907.00,80.49
2906.00,81.11
2905.00,81.74
2904.00,82.39
2903.00,83.05
2902.00,83.70
2901.00,84.36
2900.00,84.99
2899.00,85.61
2898.00,86.18
2897.00,86.70
2896.00,87.15
2895.00,87.53
