Created as New Dataset,Natural Brown Fiber
cm-1,%T
3256.00,85.62
3255.00,85.68
3254.00,85.73
3253.00,85.80
3252.00,85.87
3251.00,85.95
3250.00,86.03
3249.00,86.13
3248.00,86.23
3247.00,86.32
3246.00,86.40
3245.00,86.46
3244.00,86.51
3243.00,86.56
3242.00,86.61
3241.00,86.66
3240.00,86.71
3239.00,86.77
3238.00,86.83
3237.00,86.88
3236.00,86.94
3235.00,87.00
3234.00,87.07
3233.00,87.13
3232.00,87.19
3231.00,87.25
3230.00,87.31
3229.00,87.38
3228.00,87.44
3227.00,87.50
3226.00,87.55
3225.00,87.58
3224.00,87.62
3223.00,87.67
3222.00,87.74
3221.00,87.83
3220.00,87.94
3219.00,88.04
3218.00,88.13
3217.00,88.20
3216.00,88.24
3215.00,88.27
3214.00,88.30
3213.00,88.34
3212.00,88.39
3211.00,88.45
3210.00,88.52
3209.00,88.59
3208.00,88.64
3207.00,88.68
3206.00,88.71
3205.00,88.73
3204.00,88.77
3203.00,88.81
3202.00,88.87
3201.00,88.93
3200.00,89.00
3199.00,89.06
3198.00,89.12
3197.00,89.18
3196.00,89.23
3195.00,89.28
3194.00,89.33
3193.00,89.38
3192.00,89.43
3191.00,89.47
3190.00,89.52
3189.00,89.58
3188.00,89.64
3187.00,89.70
3186.00,89.76
3185.00,89.81
3184.00,89.87
3183.00,89.91
3182.00,89.94
3181.00,89.97
3180.00,90.00
3179.00,90.04
3178.00,90.10
3177.00,90.17
3176.00,90.23
3175.00,90.28
3174.00,90.32
3173.00,90.36
3172.00,90.39
3171.00,90.42
3170.00,90.46
3169.00,90.50
3168.00,90.57
3167.00,90.63
3166.00,90.68
3165.00,90.70
3164.00,90.72
3163.00,90.75
3162.00,90.79
3161.00,90.84
3160.00,90.89
3159.00,90.95
3158.00,91.00
3157.00,91.05
3156.00,91.08
3155.00,91.11
3154.00,91.14
3153.00,91.17
3152.00,91.20
3151.00,91.24
3150.00,91.29
3149.00,91.34
3148.00,91.40
3147.00,91.45
3146.00,91.49
3145.00,91.52
3144.00,91.56
3143.00,91.61
3142.00,91.66
3141.00,91.70
3140.00,91.71
3139.00,91.72
3138.00,91.74
3137.00,91.79
3136.00,91.84
3135.00,91.88
3134.00,91.91
3133.00,91.93
3132.00,91.96
3131.00,91.99
3130.00,92.02
3129.00,92.06
3128.00,92.10
3127.00,92.14
3126.00,92.18
3125.00,92.22
3124.00,92.26
3123.00,92.28
3122.00,92.30
3121.00,92.32
3120.00,92.36
3119.00,92.40
3118.00,92.45
3117.00,92.48
3116.00,92.50
3115.00,92.51
3114.00,92.54
3113.00,92.57
3112.00,92.60
3111.00,92.64
3110.00,92.67
3109.00,92.70
3108.00,92.72
3107.00,92.75
3106.00,92.77
3105.00,92.80
3104.00,92.84
3103.00,92.90
3102.00,92.95
3101.00,93.00
3100.00,93.02
3099.00,93.05
3098.00,93.07
3097.00,93.09
3096.00,93.11
3095.00,93.13
3094.00,93.15
3093.00,93.19
3092.00,93.23
3091.00,93.27
3090.00,93.30
3089.00,93.33
3088.00,93.35
3087.00,93.38
3086.00,93.41
3085.00,93.44
3084.00,93.46
3083.00,93.48
3082.00,93.51
3081.00,93.55
3080.00,93.58
3079.00,93.61
3078.00,93.63
3077.00,93.64
3076.00,93.64
3075.00,93.66
3074.00,93.69
3073.00,93.73
3072.00,93.75
3071.00,93.77
3070.00,93.77
3069.00,93.79
3068.00,93.81
3067.00,93.84
3066.00,93.86
3065.00,93.88
3064.00,93.91
3063.00,93.93
3062.00,93.96
3061.00,93.99
3060.00,94.02
3059.00,94.04
3058.00,94.07
3057.00,94.09
3056.00,94.12
3055.00,94.15
3054.00,94.18
3053.00,94.21
3052.00,94.22
3051.00,94.23
3050.00,94.25
3049.00,94.26
3048.00,94.28
3047.00,94.30
3046.00,94.34
3045.00,94.38
3044.00,94.41
3043.00,94.44
3042.00,94.46
3041.00,94.48
3040.00,94.50
3039.00,94.52
3038.00,94.54
