Created as New Dataset,4.3 Shoemaker's thread
cm-1,%T
3281.00,91.83
3280.00,91.86
3279.00,91.89
3278.00,91.91
3277.00,91.94
3276.00,91.97
3275.00,92.00
3274.00,92.02
3273.00,92.03
3272.00,92.04
3271.00,92.06
3270.00,92.09
3269.00,92.12
3268.00,92.17
3267.00,92.22
3266.00,92.28
3265.00,92.35
3264.00,92.40
3263.00,92.45
3262.00,92.49
3261.00,92.53
3260.00,92.58
3259.00,92.64
3258.00,92.71
3257.00,92.78
3256.00,92.86
3255.00,92.92
3254.00,92.99
3253.00,93.05
3252.00,93.12
3251.00,93.18
3250.00,93.23
3249.00,93.28
3248.00,93.32
3247.00,93.37
3246.00,93.42
3245.00,93.48
3244.00,93.55
3243.00,93.63
3242.00,93.70
3241.00,93.76
3240.00,93.80
3239.00,93.84
3238.00,93.87
3237.00,93.90
3236.00,93.93
3235.00,93.95
3234.00,93.98
3233.00,94.01
3232.00,94.06
3231.00,94.12
3230.00,94.18
3229.00,94.25
3228.00,94.30
3227.00,94.36
3226.00,94.42
3225.00,94.46
3224.00,94.49
3223.00,94.51
3222.00,94.55
3221.00,94.59
3220.00,94.63
3219.00,94.67
3218.00,94.70
3217.00,94.73
3216.00,94.76
3215.00,94.79
3214.00,94.83
3213.00,94.88
3212.00,94.94
3211.00,95.00
3210.00,95.05
3209.00,95.08
3208.00,95.10
3207.00,95.12
3206.00,95.14
3205.00,95.16
3204.00,95.20
3203.00,95.24
3202.00,95.28
3201.00,95.32
3200.00,95.36
3199.00,95.40
3198.00,95.44
3197.00,95.47
3196.00,95.50
3195.00,95.53
3194.00,95.57
3193.00,95.60
3192.00,95.63
3191.00,95.65
3190.00,95.66
3189.00,95.67
3188.00,95.69
3187.00,95.72
3186.00,95.77
3185.00,95.82
3184.00,95.86
3183.00,95.90
3182.00,95.93
3181.00,95.96
3180.00,96.00
3179.00,96.03
3178.00,96.06
3177.00,96.09
3176.00,96.12
3175.00,96.15
3174.00,96.19
3173.00,96.22
3172.00,96.26
3171.00,96.28
3170.00,96.31
3169.00,96.33
3168.00,96.36
3167.00,96.39
3166.00,96.42
3165.00,96.44
3164.00,96.48
3163.00,96.52
3162.00,96.57
3161.00,96.61
3160.00,96.65
3159.00,96.69
3158.00,96.73
3157.00,96.75
3156.00,96.75
3155.00,96.76
3154.00,96.78
3153.00,96.82
3152.00,96.86
3151.00,96.90
3150.00,96.92
3149.00,96.94
3148.00,96.95
3147.00,96.98
3146.00,97.00
3145.00,97.03
3144.00,97.05
3143.00,97.06
3142.00,97.07
3141.00,97.08
3140.00,97.11
3139.00,97.15
3138.00,97.19
3137.00,97.24
3136.00,97.29
3135.00,97.32
3134.00,97.34
3133.00,97.35
3132.00,97.36
3131.00,97.37
3130.00,97.38
3129.00,97.39
3128.00,97.42
3127.00,97.46
3126.00,97.49
3125.00,97.51
3124.00,97.51
3123.00,97.51
3122.00,97.52
3121.00,97.54
3120.00,97.57
3119.00,97.59
3118.00,97.61
3117.00,97.63
3116.00,97.65
3115.00,97.68
3114.00,97.71
3113.00,97.73
3112.00,97.74
3111.00,97.75
3110.00,97.78
3109.00,97.81
3108.00,97.83
3107.00,97.84
3106.00,97.84
3105.00,97.84
3104.00,97.84
3103.00,97.86
3102.00,97.88
3101.00,97.91
3100.00,97.93
3099.00,97.96
3098.00,97.98
3097.00,98.00
3096.00,98.01
3095.00,98.04
3094.00,98.07
3093.00,98.09
3092.00,98.08
3091.00,98.05
3090.00,98.02
3089.00,98.01
3088.00,98.00
3087.00,98.01
3086.00,98.02
3085.00,98.05
3084.00,98.07
3083.00,98.09
3082.00,98.11
3081.00,98.13
3080.00,98.16
3079.00,98.18
3078.00,98.19
3077.00,98.19
3076.00,98.18
3075.00,98.18
3074.00,98.17
3073.00,98.15
3072.00,98.15
3071.00,98.15
3070.00,98.18
3069.00,98.22
3068.00,98.27
3067.00,98.31
3066.00,98.34
3065.00,98.34
3064.00,98.32
3063.00,98.31
3062.00,98.30
3061.00,98.30
3060.00,98.31
3059.00,98.31
3058.00,98.31
3057.00,98.32
3056.00,98.34
3055.00,98.36
3054.00,98.37
3053.00,98.39
3052.00,98.39
3051.00,98.39
3050.00,98.39
3049.00,98.39
3048.00,98.39
3047.00,98.39
3046.00,98.39
3045.00,98.38
3044.00,98.39
3043.00,98.40
3042.00,98.42
3041.00,98.43
3040.00,98.42
3039.00,98.40
3038.00,98.39
3037.00,98.38
3036.00,98.38
3035.00,98.39
3034.00,98.41
3033.00,98.43
3032.00,98.45
3031.00,98.46
3030.00,98.45
3029.00,98.43
3028.00,98.41
3027.00,98.39
3026.00,98.37
3025.00,98.37
3024.00,98.38
3023.00,98.39
3022.00,98.39
3021.00,98.38
3020.00,98.37
3019.00,98.36
3018.00,98.35
3017.00,98.34
3016.00,98.33
3015.00,98.32
3014.00,98.32
3013.00,98.33
3012.00,98.33
3011.00,98.33
3010.00,98.33
3009.00,98.34
3008.00,98.34
3007.00,98.34
3006.00,98.32
3005.00,98.29
3004.00,98.25
3003.00,98.21
3002.00,98.17
3001.00,98.13
3000.00,98.10
2999.00,98.08
2998.00,98.05
2997.00,98.03
2996.00,98.00
2995.00,97.97
2994.00,97.93
2993.00,97.88
2992.00,97.83
2991.00,97.76
2990.00,97.68
2989.00,97.59
2988.00,97.49
2987.00,97.39
2986.00,97.29
2985.00,97.19
2984.00,97.08
2983.00,96.95
2982.00,96.79
2981.00,96.61
2980.00,96.42
2979.00,96.21
2978.00,95.99
2977.00,95.74
2976.00,95.46
2975.00,95.13
2974.00,94.76
2973.00,94.36
2972.00,93.94
2971.00,93.51
2970.00,93.05
2969.00,92.58
2968.00,92.10
2967.00,91.61
2966.00,91.11
2965.00,90.60
2964.00,90.08
2963.00,89.55
2962.00,89.03
2961.00,88.53
2960.00,88.05
2959.00,87.62
2958.00,87.25
2957.00,86.96
2956.00,86.75
2955.00,86.64
2954.00,86.61
2953.00,86.67
2952.00,86.79
2951.00,86.96
2950.00,87.13
2949.00,87.28
2948.00,87.37
2947.00,87.36
2946.00,87.24
2945.00,86.99
2944.00,86.62
2943.00,86.14
2942.00,85.56
2941.00,84.89
2940.00,84.14
2939.00,83.30
2938.00,82.36
2937.00,81.32
2936.00,80.19
2935.00,78.97
2934.00,77.65
2933.00,76.24
2932.00,74.75
2931.00,73.17
2930.00,71.52
2929.00,69.77
2928.00,67.91
