Created as New Dataset,Bio-Couture 100% Lyocell 8/2 (Red)
cm-1,%T
3501.00,88.90
3500.00,88.76
3499.00,88.62
3498.00,88.49
3497.00,88.36
3496.00,88.23
3495.00,88.09
3494.00,87.94
3493.00,87.82
3492.00,87.71
3491.00,87.60
3490.00,87.50
3489.00,87.40
3488.00,87.30
3487.00,87.23
3486.00,87.19
3485.00,87.17
3484.00,87.16
3483.00,87.13
3482.00,87.07
3481.00,87.00
3480.00,86.94
3479.00,86.89
3478.00,86.86
3477.00,86.83
3476.00,86.80
3475.00,86.75
3474.00,86.68
3473.00,86.59
3472.00,86.50
3471.00,86.43
3470.00,86.36
3469.00,86.29
3468.00,86.21
3467.00,86.13
3466.00,86.04
3465.00,85.94
3464.00,85.84
3463.00,85.74
3462.00,85.64
3461.00,85.53
3460.00,85.43
3459.00,85.32
3458.00,85.19
3457.00,85.06
3456.00,84.92
3455.00,84.79
3454.00,84.66
3453.00,84.54
3452.00,84.41
3451.00,84.28
3450.00,84.16
3449.00,84.03
3448.00,83.92
3447.00,83.82
3446.00,83.71
3445.00,83.61
3444.00,83.53
3443.00,83.47
3442.00,83.44
3441.00,83.41
3440.00,83.39
3439.00,83.38
3438.00,83.37
3437.00,83.36
3436.00,83.35
3435.00,83.35
3434.00,83.35
3433.00,83.35
3432.00,83.34
3431.00,83.32
3430.00,83.30
3429.00,83.29
3428.00,83.29
3427.00,83.29
3426.00,83.28
3425.00,83.24
3424.00,83.20
3423.00,83.16
3422.00,83.12
3421.00,83.08
3420.00,83.03
3419.00,82.99
3418.00,82.95
3417.00,82.91
3416.00,82.87
3415.00,82.84
3414.00,82.80
3413.00,82.75
3412.00,82.70
3411.00,82.65
3410.00,82.61
3409.00,82.57
3408.00,82.52
3407.00,82.47
3406.00,82.42
3405.00,82.37
3404.00,82.31
3403.00,82.26
3402.00,82.22
3401.00,82.17
3400.00,82.13
3399.00,82.10
3398.00,82.06
3397.00,82.02
3396.00,81.98
3395.00,81.93
3394.00,81.88
3393.00,81.84
3392.00,81.81
3391.00,81.79
3390.00,81.76
3389.00,81.72
3388.00,81.66
3387.00,81.60
3386.00,81.54
3385.00,81.48
3384.00,81.43
3383.00,81.38
3382.00,81.35
3381.00,81.31
3380.00,81.27
3379.00,81.22
3378.00,81.18
3377.00,81.14
3376.00,81.11
3375.00,81.08
3374.00,81.04
3373.00,81.00
3372.00,80.95
3371.00,80.91
3370.00,80.88
3369.00,80.85
3368.00,80.81
3367.00,80.78
3366.00,80.74
3365.00,80.69
3364.00,80.64
3363.00,80.60
3362.00,80.56
3361.00,80.53
3360.00,80.50
3359.00,80.47
3358.00,80.44
3357.00,80.41
3356.00,80.38
3355.00,80.35
3354.00,80.31
3353.00,80.27
3352.00,80.23
3351.00,80.21
3350.00,80.20
3349.00,80.19
3348.00,80.18
3347.00,80.16
3346.00,80.14
3345.00,80.12
3344.00,80.10
3343.00,80.08
3342.00,80.06
3341.00,80.05
3340.00,80.04
3339.00,80.03
3338.00,80.02
3337.00,80.00
3336.00,79.98
3335.00,79.97
3334.00,79.96
3333.00,79.96
3332.00,79.95
3331.00,79.95
3330.00,79.96
3329.00,79.96
3328.00,79.96
3327.00,79.96
3326.00,79.94
3325.00,79.93
3324.00,79.94
3323.00,79.96
3322.00,79.98
3321.00,79.99
3320.00,79.99
3319.00,80.00
3318.00,80.00
3317.00,80.01
3316.00,80.02
3315.00,80.02
3314.00,80.02
3313.00,80.02
3312.00,80.02
3311.00,80.03
3310.00,80.04
3309.00,80.04
3308.00,80.04
3307.00,80.04
3306.00,80.06
3305.00,80.08
3304.00,80.10
3303.00,80.12
3302.00,80.14
3301.00,80.16
