Created as New Dataset,132. Polyester Albany International
cm-1,%T
3338.00,98.75
3337.00,98.75
3336.00,98.75
3335.00,98.73
3334.00,98.70
3333.00,98.68
3332.00,98.67
3331.00,98.67
3330.00,98.67
3329.00,98.67
3328.00,98.67
3327.00,98.68
3326.00,98.68
3325.00,98.68
3324.00,98.68
3323.00,98.68
3322.00,98.67
3321.00,98.66
3320.00,98.66
3319.00,98.66
3318.00,98.67
3317.00,98.69
3316.00,98.70
3315.00,98.70
3314.00,98.69
3313.00,98.69
3312.00,98.69
3311.00,98.70
3310.00,98.70
3309.00,98.69
3308.00,98.67
3307.00,98.67
3306.00,98.67
3305.00,98.68
3304.00,98.69
3303.00,98.70
3302.00,98.69
3301.00,98.69
3300.00,98.69
3299.00,98.69
3298.00,98.69
3297.00,98.68
3296.00,98.67
3295.00,98.68
3294.00,98.69
3293.00,98.71
3292.00,98.72
3291.00,98.72
3290.00,98.71
3289.00,98.72
3288.00,98.73
3287.00,98.73
3286.00,98.73
3285.00,98.73
3284.00,98.73
3283.00,98.74
3282.00,98.75
3281.00,98.76
3280.00,98.77
3279.00,98.79
3278.00,98.80
3277.00,98.81
3276.00,98.79
3275.00,98.76
3274.00,98.71
3273.00,98.66
3272.00,98.63
3271.00,98.62
3270.00,98.64
3269.00,98.69
3268.00,98.73
3267.00,98.76
3266.00,98.76
3265.00,98.75
3264.00,98.73
3263.00,98.71
3262.00,98.70
3261.00,98.69
3260.00,98.69
3259.00,98.69
3258.00,98.69
3257.00,98.69
3256.00,98.69
3255.00,98.69
3254.00,98.70
3253.00,98.71
3252.00,98.71
3251.00,98.70
3250.00,98.68
3249.00,98.66
3248.00,98.65
3247.00,98.65
3246.00,98.66
3245.00,98.67
3244.00,98.68
3243.00,98.69
3242.00,98.68
3241.00,98.67
3240.00,98.65
3239.00,98.63
3238.00,98.62
3237.00,98.61
3236.00,98.62
3235.00,98.64
3234.00,98.67
3233.00,98.70
3232.00,98.72
3231.00,98.72
3230.00,98.71
3229.00,98.70
3228.00,98.69
3227.00,98.70
3226.00,98.71
3225.00,98.72
3224.00,98.73
3223.00,98.72
3222.00,98.70
3221.00,98.68
3220.00,98.67
3219.00,98.68
3218.00,98.69
3217.00,98.71
3216.00,98.71
3215.00,98.70
3214.00,98.69
3213.00,98.69
3212.00,98.68
3211.00,98.68
3210.00,98.69
3209.00,98.70
3208.00,98.71
3207.00,98.72
3206.00,98.71
3205.00,98.71
3204.00,98.72
3203.00,98.72
3202.00,98.70
3201.00,98.68
3200.00,98.67
3199.00,98.67
3198.00,98.69
3197.00,98.72
3196.00,98.75
3195.00,98.76
3194.00,98.75
3193.00,98.74
3192.00,98.73
3191.00,98.73
3190.00,98.73
3189.00,98.73
3188.00,98.73
3187.00,98.74
3186.00,98.74
3185.00,98.74
3184.00,98.74
3183.00,98.74
3182.00,98.74
3181.00,98.73
3180.00,98.71
3179.00,98.69
3178.00,98.69
3177.00,98.70
3176.00,98.72
3175.00,98.74
3174.00,98.74
3173.00,98.74
3172.00,98.75
3171.00,98.76
3170.00,98.76
3169.00,98.75
3168.00,98.73
3167.00,98.71
3166.00,98.70
3165.00,98.69
3164.00,98.69
3163.00,98.67
3162.00,98.67
3161.00,98.68
3160.00,98.69
3159.00,98.70
3158.00,98.69
3157.00,98.69
3156.00,98.70
3155.00,98.71
3154.00,98.73
3153.00,98.73
3152.00,98.73
3151.00,98.71
3150.00,98.70
3149.00,98.69
3148.00,98.69
3147.00,98.70
3146.00,98.72
3145.00,98.73
3144.00,98.74
3143.00,98.76
3142.00,98.77
3141.00,98.77
3140.00,98.76
3139.00,98.73
3138.00,98.70
3137.00,98.68
3136.00,98.69
3135.00,98.70
3134.00,98.71
3133.00,98.72
3132.00,98.71
3131.00,98.71
3130.00,98.71
3129.00,98.71
3128.00,98.71
3127.00,98.70
3126.00,98.69
3125.00,98.69
3124.00,98.69
3123.00,98.68
3122.00,98.67
3121.00,98.66
3120.00,98.67
3119.00,98.69
3118.00,98.69
3117.00,98.68
3116.00,98.65
3115.00,98.63
3114.00,98.61
3113.00,98.61
3112.00,98.60
3111.00,98.60
3110.00,98.60
3109.00,98.61
3108.00,98.62
3107.00,98.64
3106.00,98.65
3105.00,98.64
3104.00,98.61
3103.00,98.59
3102.00,98.58
3101.00,98.59
3100.00,98.61
3099.00,98.62
3098.00,98.61
3097.00,98.60
3096.00,98.58
3095.00,98.58
3094.00,98.59
3093.00,98.60
3092.00,98.62
3091.00,98.64
3090.00,98.64
3089.00,98.63
3088.00,98.61
3087.00,98.58
3086.00,98.56
3085.00,98.55
3084.00,98.54
3083.00,98.55
3082.00,98.57
3081.00,98.59
3080.00,98.60
3079.00,98.60
3078.00,98.61
3077.00,98.63
3076.00,98.64
3075.00,98.65
3074.00,98.64
3073.00,98.62
3072.00,98.61
3071.00,98.61
3070.00,98.61
3069.00,98.61
3068.00,98.59
3067.00,98.57
3066.00,98.55
3065.00,98.54
3064.00,98.55
3063.00,98.57
3062.00,98.58
3061.00,98.59
3060.00,98.59
3059.00,98.58
3058.00,98.57
3057.00,98.56
3056.00,98.56
3055.00,98.56
3054.00,98.56
3053.00,98.57
3052.00,98.58
3051.00,98.60
3050.00,98.62
3049.00,98.64
3048.00,98.65
3047.00,98.66
3046.00,98.67
3045.00,98.69
3044.00,98.71
3043.00,98.73
3042.00,98.74
3041.00,98.75
3040.00,98.77
3039.00,98.79
3038.00,98.80
3037.00,98.80
3036.00,98.79
3035.00,98.78
3034.00,98.77
3033.00,98.76
3032.00,98.74
3031.00,98.74
3030.00,98.74
3029.00,98.75
3028.00,98.75
3027.00,98.74
3026.00,98.73
3025.00,98.72
3024.00,98.71
3023.00,98.70
3022.00,98.68
3021.00,98.65
3020.00,98.62
3019.00,98.59
3018.00,98.58
3017.00,98.57
3016.00,98.58
3015.00,98.58
3014.00,98.58
3013.00,98.56
3012.00,98.54
3011.00,98.51
3010.00,98.48
3009.00,98.47
3008.00,98.46
3007.00,98.46
3006.00,98.46
3005.00,98.46
3004.00,98.46
3003.00,98.46
3002.00,98.45
3001.00,98.44
3000.00,98.43
2999.00,98.42
2998.00,98.41
2997.00,98.41
2996.00,98.41
2995.00,98.40
2994.00,98.39
2993.00,98.38
2992.00,98.36
2991.00,98.33
2990.00,98.31
2989.00,98.30
2988.00,98.28
2987.00,98.27
2986.00,98.26
2985.00,98.24
2984.00,98.21
2983.00,98.17
2982.00,98.12
2981.00,98.09
2980.00,98.06
2979.00,98.04
2978.00,98.01
2977.00,97.99
2976.00,97.97
2975.00,97.94
2974.00,97.91
2973.00,97.88
2972.00,97.85
2971.00,97.83
2970.00,97.81
2969.00,97.79
2968.00,97.78
2967.00,97.78
2966.00,97.79
2965.00,97.80
2964.00,97.81
2963.00,97.83
2962.00,97.87
2961.00,97.91
2960.00,97.94
2959.00,97.95
2958.00,97.96
2957.00,97.97
2956.00,97.99
2955.00,98.02
2954.00,98.07
2953.00,98.11
2952.00,98.15
2951.00,98.18
2950.00,98.19
2949.00,98.21
2948.00,98.23
2947.00,98.25
2946.00,98.27
2945.00,98.30
2944.00,98.33
2943.00,98.37
2942.00,98.41
2941.00,98.44
2940.00,98.46
2939.00,98.47
2938.00,98.46
2937.00,98.45
2936.00,98.45
2935.00,98.47
2934.00,98.49
2933.00,98.50
2932.00,98.50
2931.00,98.50
2930.00,98.50
2929.00,98.50
2928.00,98.50
2927.00,98.50
2926.00,98.50
2925.00,98.50
2924.00,98.50
2923.00,98.48
2922.00,98.46
2921.00,98.44
2920.00,98.43
2919.00,98.43
2918.00,98.42
2917.00,98.40
2916.00,98.38
2915.00,98.36
2914.00,98.36
2913.00,98.35
2912.00,98.34
2911.00,98.33
2910.00,98.32
2909.00,98.31
2908.00,98.31
2907.00,98.31
2906.00,98.31
2905.00,98.31
2904.00,98.32
2903.00,98.33
2902.00,98.35
2901.00,98.37
2900.00,98.39
2899.00,98.41
2898.00,98.43
2897.00,98.44
2896.00,98.45
2895.00,98.46
2894.00,98.47
2893.00,98.48
2892.00,98.47
2891.00,98.46
2890.00,98.46
2889.00,98.46
2888.00,98.47
2887.00,98.48
2886.00,98.49
2885.00,98.50
2884.00,98.51
2883.00,98.52
2882.00,98.54
2881.00,98.55
2880.00,98.56
