Created as New Dataset,6. Acrylic Asahi Chemical Co
cm-1,%T
3285.00,99.07
3284.00,99.05
3283.00,99.03
3282.00,99.01
3281.00,99.00
3280.00,98.99
3279.00,98.99
3278.00,99.00
3277.00,99.02
3276.00,99.04
3275.00,99.06
3274.00,99.06
3273.00,99.05
3272.00,99.04
3271.00,99.03
3270.00,99.02
3269.00,99.03
3268.00,99.03
3267.00,99.03
3266.00,99.01
3265.00,98.98
3264.00,98.95
3263.00,98.93
3262.00,98.93
3261.00,98.93
3260.00,98.94
3259.00,98.96
3258.00,98.98
3257.00,99.00
3256.00,99.01
3255.00,99.01
3254.00,99.00
3253.00,98.99
3252.00,98.99
3251.00,98.99
3250.00,98.99
3249.00,99.00
3248.00,99.00
3247.00,99.00
3246.00,99.00
3245.00,98.99
3244.00,98.98
3243.00,98.99
3242.00,99.00
3241.00,99.01
3240.00,99.02
3239.00,99.02
3238.00,99.01
3237.00,99.00
3236.00,98.99
3235.00,98.99
3234.00,98.99
3233.00,98.99
3232.00,98.99
3231.00,98.98
3230.00,98.97
3229.00,98.97
3228.00,98.97
3227.00,98.97
3226.00,98.97
3225.00,98.98
3224.00,98.99
3223.00,98.99
3222.00,98.97
3221.00,98.96
3220.00,98.96
3219.00,98.98
3218.00,99.00
3217.00,99.02
3216.00,99.02
3215.00,99.01
3214.00,99.00
3213.00,99.00
3212.00,98.99
3211.00,98.99
3210.00,98.99
3209.00,98.99
3208.00,98.99
3207.00,99.00
3206.00,98.99
3205.00,98.99
3204.00,98.99
3203.00,98.99
3202.00,99.00
3201.00,99.01
3200.00,99.02
3199.00,99.03
3198.00,99.04
3197.00,99.04
3196.00,99.02
3195.00,99.01
3194.00,98.99
3193.00,98.99
3192.00,99.00
3191.00,99.02
3190.00,99.02
3189.00,99.02
3188.00,99.02
3187.00,99.01
3186.00,99.01
3185.00,99.02
3184.00,99.02
3183.00,99.02
3182.00,99.01
3181.00,99.01
3180.00,99.01
3179.00,99.01
3178.00,99.01
3177.00,99.01
3176.00,99.00
3175.00,98.99
3174.00,98.99
3173.00,98.98
3172.00,98.99
3171.00,98.99
3170.00,98.99
3169.00,98.99
3168.00,99.00
3167.00,99.01
3166.00,99.02
3165.00,99.02
3164.00,99.02
3163.00,99.01
3162.00,99.02
3161.00,99.02
3160.00,99.01
3159.00,99.00
3158.00,98.99
3157.00,98.98
3156.00,98.98
3155.00,98.99
3154.00,99.00
3153.00,99.01
3152.00,99.02
3151.00,99.02
3150.00,99.02
3149.00,99.03
3148.00,99.02
3147.00,99.02
3146.00,99.00
3145.00,98.99
3144.00,98.98
3143.00,98.98
3142.00,98.98
3141.00,98.99
3140.00,98.99
3139.00,99.00
3138.00,99.01
3137.00,99.02
3136.00,99.02
3135.00,99.02
3134.00,99.02
3133.00,99.01
3132.00,99.00
3131.00,98.99
3130.00,98.99
3129.00,99.00
3128.00,99.01
3127.00,99.02
3126.00,99.03
3125.00,99.02
3124.00,99.01
3123.00,99.00
3122.00,99.00
3121.00,99.00
3120.00,99.01
3119.00,99.02
3118.00,99.02
3117.00,99.01
3116.00,98.99
3115.00,98.97
3114.00,98.96
3113.00,98.96
3112.00,98.97
3111.00,98.98
3110.00,99.00
3109.00,99.02
