Created as New Dataset,16.4 Dyed (red colour)
cm-1,%T
3528.00,96.79
3527.00,96.80
3526.00,96.82
3525.00,96.83
3524.00,96.82
3523.00,96.81
3522.00,96.78
3521.00,96.76
3520.00,96.74
3519.00,96.72
3518.00,96.68
3517.00,96.65
3516.00,96.62
3515.00,96.60
3514.00,96.59
3513.00,96.60
3512.00,96.62
3511.00,96.63
3510.00,96.63
3509.00,96.62
3508.00,96.60
3507.00,96.58
3506.00,96.55
3505.00,96.51
3504.00,96.47
3503.00,96.43
3502.00,96.41
3501.00,96.39
3500.00,96.37
3499.00,96.36
3498.00,96.35
3497.00,96.36
3496.00,96.36
3495.00,96.34
3494.00,96.32
3493.00,96.30
3492.00,96.29
3491.00,96.30
3490.00,96.31
3489.00,96.31
3488.00,96.30
3487.00,96.28
3486.00,96.27
3485.00,96.25
3484.00,96.24
3483.00,96.22
3482.00,96.20
3481.00,96.17
3480.00,96.14
3479.00,96.11
3478.00,96.10
3477.00,96.09
3476.00,96.08
3475.00,96.07
3474.00,96.06
3473.00,96.04
3472.00,96.02
3471.00,96.00
3470.00,95.98
3469.00,95.97
3468.00,95.97
3467.00,95.98
3466.00,95.98
3465.00,95.98
3464.00,95.97
3463.00,95.94
3462.00,95.91
3461.00,95.88
3460.00,95.88
3459.00,95.89
3458.00,95.91
3457.00,95.91
3456.00,95.89
3455.00,95.85
3454.00,95.81
3453.00,95.77
3452.00,95.75
3451.00,95.75
3450.00,95.77
3449.00,95.80
3448.00,95.82
3447.00,95.80
3446.00,95.76
3445.00,95.72
3444.00,95.69
3443.00,95.68
3442.00,95.67
3441.00,95.67
3440.00,95.66
3439.00,95.65
3438.00,95.63
3437.00,95.60
3436.00,95.57
3435.00,95.55
3434.00,95.54
3433.00,95.53
3432.00,95.51
3431.00,95.49
3430.00,95.47
3429.00,95.45
3428.00,95.43
3427.00,95.41
3426.00,95.39
3425.00,95.38
3424.00,95.38
3423.00,95.38
3422.00,95.39
3421.00,95.40
3420.00,95.40
3419.00,95.38
3418.00,95.33
3417.00,95.28
3416.00,95.25
3415.00,95.23
3414.00,95.23
3413.00,95.22
3412.00,95.20
3411.00,95.18
3410.00,95.15
3409.00,95.13
3408.00,95.11
3407.00,95.10
3406.00,95.07
3405.00,95.04
3404.00,95.00
3403.00,94.97
3402.00,94.94
3401.00,94.91
3400.00,94.88
3399.00,94.85
3398.00,94.82
3397.00,94.80
3396.00,94.78
3395.00,94.76
