Created as New Dataset,56 Lenzing
cm-1,%T
3457.00,95.78
3456.00,95.74
3455.00,95.70
3454.00,95.64
3453.00,95.57
3452.00,95.50
3451.00,95.44
3450.00,95.38
3449.00,95.31
3448.00,95.24
3447.00,95.16
3446.00,95.09
3445.00,95.03
3444.00,94.99
3443.00,94.95
3442.00,94.92
3441.00,94.89
3440.00,94.86
3439.00,94.83
3438.00,94.81
3437.00,94.80
3436.00,94.79
3435.00,94.79
3434.00,94.80
3433.00,94.82
3432.00,94.84
3431.00,94.86
3430.00,94.88
3429.00,94.89
3428.00,94.88
3427.00,94.87
3426.00,94.85
3425.00,94.84
3424.00,94.84
3423.00,94.85
3422.00,94.85
3421.00,94.84
3420.00,94.83
3419.00,94.81
3418.00,94.79
3417.00,94.77
3416.00,94.77
3415.00,94.78
3414.00,94.79
3413.00,94.79
3412.00,94.79
3411.00,94.78
3410.00,94.76
3409.00,94.75
3408.00,94.74
3407.00,94.73
3406.00,94.71
3405.00,94.68
3404.00,94.65
3403.00,94.61
3402.00,94.59
3401.00,94.57
3400.00,94.57
3399.00,94.57
3398.00,94.56
3397.00,94.54
3396.00,94.52
3395.00,94.50
3394.00,94.49
3393.00,94.47
3392.00,94.45
3391.00,94.43
3390.00,94.41
3389.00,94.41
3388.00,94.40
3387.00,94.38
3386.00,94.37
3385.00,94.35
3384.00,94.34
3383.00,94.32
3382.00,94.30
3381.00,94.30
3380.00,94.29
3379.00,94.28
3378.00,94.25
3377.00,94.23
3376.00,94.22
3375.00,94.21
3374.00,94.21
3373.00,94.21
3372.00,94.20
3371.00,94.20
3370.00,94.19
3369.00,94.18
3368.00,94.16
3367.00,94.15
3366.00,94.14
3365.00,94.14
3364.00,94.14
3363.00,94.15
3362.00,94.14
3361.00,94.12
3360.00,94.09
3359.00,94.07
3358.00,94.05
3357.00,94.04
3356.00,94.04
3355.00,94.05
3354.00,94.07
3353.00,94.08
3352.00,94.09
3351.00,94.08
3350.00,94.06
3349.00,94.04
3348.00,94.03
3347.00,94.03
3346.00,94.03
3345.00,94.02
3344.00,94.00
3343.00,93.99
3342.00,93.98
3341.00,93.98
3340.00,93.97
3339.00,93.96
3338.00,93.95
3337.00,93.95
3336.00,93.95
3335.00,93.95
3334.00,93.95
3333.00,93.95
3332.00,93.95
3331.00,93.96
3330.00,93.97
3329.00,93.98
3328.00,93.98
3327.00,93.97
3326.00,93.96
3325.00,93.94
3324.00,93.92
3323.00,93.92
3322.00,93.92
3321.00,93.92
3320.00,93.92
3319.00,93.93
3318.00,93.93
3317.00,93.95
3316.00,93.97
3315.00,93.98
3314.00,93.97
3313.00,93.95
3312.00,93.94
3311.00,93.94
3310.00,93.95
3309.00,93.96
3308.00,93.95
3307.00,93.96
3306.00,93.97
3305.00,93.99
3304.00,94.00
3303.00,94.00
3302.00,93.98
3301.00,93.98
3300.00,93.99
3299.00,94.01
3298.00,94.02
3297.00,94.03
3296.00,94.03
3295.00,94.03
3294.00,94.03
3293.00,94.02
3292.00,94.00
3291.00,93.99
3290.00,93.99
3289.00,94.00
3288.00,94.03
3287.00,94.06
3286.00,94.06
3285.00,94.05
3284.00,94.02
3283.00,94.01
3282.00,94.02
3281.00,94.05
3280.00,94.08
3279.00,94.10
3278.00,94.13
3277.00,94.14
3276.00,94.14
3275.00,94.14
3274.00,94.14
3273.00,94.14
3272.00,94.15
3271.00,94.16
3270.00,94.18
3269.00,94.20
3268.00,94.20
3267.00,94.20
3266.00,94.20
3265.00,94.21
3264.00,94.24
3263.00,94.27
3262.00,94.28
3261.00,94.27
3260.00,94.25
3259.00,94.24
3258.00,94.24
3257.00,94.25
3256.00,94.27
3255.00,94.30
3254.00,94.32
3253.00,94.34
3252.00,94.35
3251.00,94.35
3250.00,94.35
3249.00,94.35
3248.00,94.37
3247.00,94.39
3246.00,94.41
3245.00,94.42
3244.00,94.43
3243.00,94.43
3242.00,94.43
3241.00,94.44
3240.00,94.45
3239.00,94.46
3238.00,94.48
3237.00,94.49
3236.00,94.51
3235.00,94.52
3234.00,94.54
3233.00,94.55
3232.00,94.57
3231.00,94.59
3230.00,94.61
3229.00,94.62
3228.00,94.63
3227.00,94.63
3226.00,94.63
3225.00,94.63
3224.00,94.62
3223.00,94.63
3222.00,94.65
3221.00,94.68
3220.00,94.71
3219.00,94.74
3218.00,94.76
3217.00,94.79
3216.00,94.81
3215.00,94.82
3214.00,94.82
3213.00,94.82
3212.00,94.81
3211.00,94.81
3210.00,94.80
3209.00,94.80
3208.00,94.79
3207.00,94.80
3206.00,94.82
3205.00,94.86
3204.00,94.89
3203.00,94.91
3202.00,94.92
3201.00,94.93
3200.00,94.94
3199.00,94.96
3198.00,94.98
3197.00,94.99
3196.00,95.00
3195.00,95.01
3194.00,95.03
3193.00,95.05
3192.00,95.07
3191.00,95.09
3190.00,95.11
3189.00,95.12
3188.00,95.13
3187.00,95.13
3186.00,95.14
3185.00,95.15
3184.00,95.17
3183.00,95.19
3182.00,95.20
3181.00,95.21
3180.00,95.23
3179.00,95.26
3178.00,95.29
3177.00,95.30
3176.00,95.31
3175.00,95.31
3174.00,95.32
3173.00,95.33
3172.00,95.35
3171.00,95.37
3170.00,95.37
3169.00,95.37
3168.00,95.36
3167.00,95.36
3166.00,95.37
3165.00,95.41
3164.00,95.45
3163.00,95.48
3162.00,95.50
3161.00,95.51
3160.00,95.51
3159.00,95.53
3158.00,95.55
3157.00,95.56
3156.00,95.56
3155.00,95.57
3154.00,95.58
3153.00,95.60
3152.00,95.64
3151.00,95.67
3150.00,95.69
3149.00,95.70
3148.00,95.71
3147.00,95.72
3146.00,95.75
3145.00,95.79
3144.00,95.83
3143.00,95.85
3142.00,95.87
3141.00,95.87
3140.00,95.86
3139.00,95.87
3138.00,95.89
3137.00,95.92
3136.00,95.94
3135.00,95.97
3134.00,96.00
3133.00,96.03
3132.00,96.05
3131.00,96.06
3130.00,96.06
3129.00,96.07
3128.00,96.08
3127.00,96.10
3126.00,96.13
3125.00,96.16
3124.00,96.18
3123.00,96.22
3122.00,96.24
3121.00,96.27
3120.00,96.29
3119.00,96.31
3118.00,96.35
3117.00,96.38
3116.00,96.41
3115.00,96.43
3114.00,96.44
3113.00,96.46
3112.00,96.47
3111.00,96.49
3110.00,96.52
3109.00,96.54
3108.00,96.56
3107.00,96.58
3106.00,96.60
3105.00,96.63
3104.00,96.65
3103.00,96.67
3102.00,96.70
3101.00,96.72
3100.00,96.75
3099.00,96.78
3098.00,96.81
3097.00,96.82
3096.00,96.84
3095.00,96.86
3094.00,96.88
3093.00,96.90
3092.00,96.92
3091.00,96.94
3090.00,96.97
3089.00,97.01
3088.00,97.04
3087.00,97.06
3086.00,97.08
3085.00,97.10
3084.00,97.12
3083.00,97.15
3082.00,97.18
3081.00,97.20
3080.00,97.22
3079.00,97.24
3078.00,97.27
3077.00,97.31
3076.00,97.34
3075.00,97.36
3074.00,97.37
3073.00,97.37
3072.00,97.37
3071.00,97.38
3070.00,97.39
3069.00,97.41
3068.00,97.44
3067.00,97.46
3066.00,97.48
3065.00,97.51
3064.00,97.52
3063.00,97.54
3062.00,97.56
3061.00,97.57
3060.00,97.59
3059.00,97.62
3058.00,97.65
3057.00,97.67
3056.00,97.68
3055.00,97.68
3054.00,97.67
3053.00,97.67
3052.00,97.70
3051.00,97.73
3050.00,97.77
3049.00,97.80
3048.00,97.81
3047.00,97.83
3046.00,97.86
3045.00,97.88
3044.00,97.90
3043.00,97.92
3042.00,97.94
3041.00,97.96
3040.00,97.98
3039.00,97.98
3038.00,97.98
3037.00,97.98
3036.00,97.99
3035.00,98.00
3034.00,98.02
3033.00,98.03
3032.00,98.05
3031.00,98.06
3030.00,98.08
3029.00,98.09
3028.00,98.11
3027.00,98.13
3026.00,98.16
3025.00,98.19
3024.00,98.20
3023.00,98.21
3022.00,98.22
3021.00,98.23
3020.00,98.23
3019.00,98.23
3018.00,98.23
3017.00,98.24
3016.00,98.25
3015.00,98.27
3014.00,98.29
3013.00,98.31
3012.00,98.33
3011.00,98.33
3010.00,98.33
3009.00,98.33
3008.00,98.33
3007.00,98.34
3006.00,98.35
3005.00,98.36
3004.00,98.37
3003.00,98.37
3002.00,98.37
3001.00,98.37
3000.00,98.39
2999.00,98.42
2998.00,98.45
2997.00,98.47
2996.00,98.47
2995.00,98.48
2994.00,98.48
2993.00,98.48
2992.00,98.48
2991.00,98.47
2990.00,98.46
2989.00,98.44
2988.00,98.41
2987.00,98.40
2986.00,98.39
2985.00,98.39
2984.00,98.39
2983.00,98.38
2982.00,98.37
2981.00,98.35
2980.00,98.34
2979.00,98.34
