Created as New Dataset,121 Hercules Inc.
cm-1,%T
3393.00,99.89
3392.00,99.89
3391.00,99.88
3390.00,99.88
3389.00,99.89
3388.00,99.90
3387.00,99.91
3386.00,99.92
3385.00,99.93
3384.00,99.95
3383.00,99.95
3382.00,99.95
3381.00,99.93
3380.00,99.91
3379.00,99.89
3378.00,99.87
3377.00,99.87
3376.00,99.89
3375.00,99.92
3374.00,99.94
3373.00,99.95
3372.00,99.93
3371.00,99.91
3370.00,99.89
3369.00,99.88
3368.00,99.89
3367.00,99.89
3366.00,99.89
3365.00,99.89
3364.00,99.90
3363.00,99.89
3362.00,99.87
3361.00,99.86
3360.00,99.85
3359.00,99.86
3358.00,99.88
3357.00,99.89
3356.00,99.91
3355.00,99.92
3354.00,99.92
3353.00,99.90
3352.00,99.87
3351.00,99.85
3350.00,99.84
3349.00,99.85
3348.00,99.86
3347.00,99.87
3346.00,99.88
3345.00,99.89
3344.00,99.89
3343.00,99.90
3342.00,99.90
3341.00,99.91
3340.00,99.92
3339.00,99.92
3338.00,99.91
3337.00,99.90
3336.00,99.88
3335.00,99.87
3334.00,99.85
3333.00,99.85
3332.00,99.85
3331.00,99.85
3330.00,99.85
3329.00,99.85
3328.00,99.84
3327.00,99.84
3326.00,99.83
3325.00,99.84
3324.00,99.84
3323.00,99.84
3322.00,99.84
3321.00,99.83
3320.00,99.83
3319.00,99.85
3318.00,99.88
3317.00,99.92
3316.00,99.95
3315.00,99.96
3314.00,99.96
3313.00,99.96
3312.00,99.95
3311.00,99.93
3310.00,99.90
3309.00,99.86
3308.00,99.84
3307.00,99.83
3306.00,99.84
3305.00,99.85
3304.00,99.87
3303.00,99.88
3302.00,99.88
3301.00,99.86
3300.00,99.84
3299.00,99.83
3298.00,99.82
3297.00,99.82
3296.00,99.82
3295.00,99.83
3294.00,99.83
3293.00,99.85
3292.00,99.87
3291.00,99.89
3290.00,99.90
3289.00,99.89
3288.00,99.87
3287.00,99.85
3286.00,99.83
3285.00,99.83
3284.00,99.83
3283.00,99.84
3282.00,99.84
3281.00,99.84
3280.00,99.84
3279.00,99.83
3278.00,99.83
3277.00,99.83
3276.00,99.83
3275.00,99.83
3274.00,99.83
3273.00,99.82
3272.00,99.81
3271.00,99.80
3270.00,99.81
3269.00,99.81
3268.00,99.79
3267.00,99.77
3266.00,99.75
3265.00,99.74
3264.00,99.74
3263.00,99.74
3262.00,99.75
3261.00,99.76
3260.00,99.78
3259.00,99.78
3258.00,99.79
3257.00,99.79
3256.00,99.80
3255.00,99.81
3254.00,99.83
3253.00,99.83
3252.00,99.83
3251.00,99.81
3250.00,99.81
3249.00,99.81
3248.00,99.81
3247.00,99.81
3246.00,99.79
3245.00,99.78
3244.00,99.78
3243.00,99.79
3242.00,99.81
3241.00,99.82
3240.00,99.81
3239.00,99.80
3238.00,99.78
3237.00,99.77
3236.00,99.76
3235.00,99.76
3234.00,99.77
3233.00,99.79
3232.00,99.80
3231.00,99.81
3230.00,99.81
3229.00,99.80
3228.00,99.78
3227.00,99.77
3226.00,99.76
3225.00,99.76
3224.00,99.77
3223.00,99.78
3222.00,99.78
3221.00,99.77
3220.00,99.75
3219.00,99.73
3218.00,99.72
3217.00,99.71
3216.00,99.71
3215.00,99.70
3214.00,99.69
3213.00,99.66
3212.00,99.65
3211.00,99.65
3210.00,99.66
3209.00,99.68
3208.00,99.69
3207.00,99.70
3206.00,99.70
3205.00,99.70
3204.00,99.71
3203.00,99.71
3202.00,99.71
3201.00,99.70
3200.00,99.68
3199.00,99.67
3198.00,99.67
3197.00,99.68
3196.00,99.69
3195.00,99.70
3194.00,99.70
3193.00,99.68
3192.00,99.67
3191.00,99.66
3190.00,99.66
3189.00,99.68
3188.00,99.71
3187.00,99.72
3186.00,99.72
3185.00,99.71
3184.00,99.69
3183.00,99.67
3182.00,99.66
3181.00,99.66
3180.00,99.67
3179.00,99.69
3178.00,99.70
3177.00,99.70
3176.00,99.69
3175.00,99.69
3174.00,99.70
3173.00,99.72
3172.00,99.73
3171.00,99.73
3170.00,99.71
3169.00,99.68
3168.00,99.66
3167.00,99.65
3166.00,99.65
3165.00,99.65
3164.00,99.65
3163.00,99.65
3162.00,99.65
3161.00,99.66
3160.00,99.68
3159.00,99.70
3158.00,99.71
3157.00,99.72
3156.00,99.72
3155.00,99.74
3154.00,99.76
3153.00,99.77
3152.00,99.77
3151.00,99.75
3150.00,99.73
3149.00,99.70
3148.00,99.69
3147.00,99.68
3146.00,99.68
3145.00,99.69
3144.00,99.69
3143.00,99.69
3142.00,99.69
3141.00,99.69
3140.00,99.69
3139.00,99.69
3138.00,99.70
3137.00,99.71
3136.00,99.71
3135.00,99.72
3134.00,99.74
3133.00,99.75
3132.00,99.76
3131.00,99.75
3130.00,99.73
3129.00,99.71
3128.00,99.69
3127.00,99.69
3126.00,99.69
3125.00,99.70
3124.00,99.71
3123.00,99.74
