Created as New Dataset,17.4 Tussah frrom India
cm-1,%T
3527.00,100.71
3526.00,100.70
3525.00,100.67
3524.00,100.64
3523.00,100.61
3522.00,100.59
3521.00,100.59
3520.00,100.59
3519.00,100.58
3518.00,100.56
3517.00,100.54
3516.00,100.53
3515.00,100.52
3514.00,100.51
3513.00,100.49
3512.00,100.48
3511.00,100.46
3510.00,100.46
3509.00,100.47
3508.00,100.46
3507.00,100.45
3506.00,100.43
3505.00,100.41
3504.00,100.38
3503.00,100.35
3502.00,100.33
3501.00,100.33
3500.00,100.35
3499.00,100.37
3498.00,100.38
3497.00,100.39
3496.00,100.38
3495.00,100.36
3494.00,100.33
3493.00,100.30
3492.00,100.27
3491.00,100.26
3490.00,100.27
3489.00,100.27
3488.00,100.28
3487.00,100.29
3486.00,100.30
3485.00,100.30
3484.00,100.30
3483.00,100.29
3482.00,100.28
3481.00,100.28
3480.00,100.29
3479.00,100.30
3478.00,100.31
3477.00,100.29
3476.00,100.26
3475.00,100.22
3474.00,100.20
3473.00,100.19
3472.00,100.18
3471.00,100.18
3470.00,100.18
3469.00,100.18
3468.00,100.20
3467.00,100.21
3466.00,100.19
3465.00,100.15
3464.00,100.09
3463.00,100.05
3462.00,100.04
3461.00,100.05
3460.00,100.07
3459.00,100.08
3458.00,100.08
3457.00,100.07
3456.00,100.05
3455.00,100.02
3454.00,99.99
3453.00,99.96
3452.00,99.94
3451.00,99.94
3450.00,99.94
3449.00,99.95
3448.00,99.95
3447.00,99.96
3446.00,99.96
3445.00,99.96
3444.00,99.97
3443.00,99.98
3442.00,99.98
3441.00,99.97
3440.00,99.95
3439.00,99.93
3438.00,99.91
3437.00,99.89
3436.00,99.86
3435.00,99.83
3434.00,99.82
3433.00,99.83
3432.00,99.85
3431.00,99.87
3430.00,99.87
3429.00,99.84
3428.00,99.81
3427.00,99.78
3426.00,99.76
3425.00,99.76
3424.00,99.76
3423.00,99.76
3422.00,99.76
3421.00,99.74
3420.00,99.71
3419.00,99.68
3418.00,99.67
3417.00,99.69
3416.00,99.72
3415.00,99.73
3414.00,99.71
3413.00,99.68
3412.00,99.65
3411.00,99.63
3410.00,99.62
3409.00,99.60
3408.00,99.58
3407.00,99.57
3406.00,99.56
3405.00,99.56
3404.00,99.56
3403.00,99.56
3402.00,99.55
3401.00,99.53
3400.00,99.50
3399.00,99.47
3398.00,99.45
3397.00,99.44
3396.00,99.44
3395.00,99.45
3394.00,99.46
3393.00,99.46
3392.00,99.46
3391.00,99.45
3390.00,99.43
3389.00,99.42
3388.00,99.40
3387.00,99.37
3386.00,99.34
3385.00,99.32
3384.00,99.31
3383.00,99.31
3382.00,99.30
3381.00,99.30
3380.00,99.28
3379.00,99.26
3378.00,99.23
3377.00,99.21
3376.00,99.19
3375.00,99.18
3374.00,99.17
3373.00,99.18
3372.00,99.18
3371.00,99.19
3370.00,99.19
3369.00,99.20
3368.00,99.19
3367.00,99.18
3366.00,99.16
3365.00,99.13
3364.00,99.10
3363.00,99.08
3362.00,99.07
3361.00,99.05
3360.00,99.04
3359.00,99.02
3358.00,99.00
3357.00,98.98
3356.00,98.98
3355.00,98.98
3354.00,98.98
3353.00,98.96
3352.00,98.92
3351.00,98.88
3350.00,98.85
3349.00,98.83
3348.00,98.80
3347.00,98.78
3346.00,98.75
3345.00,98.73
3344.00,98.71
3343.00,98.69
3342.00,98.65
3341.00,98.62
3340.00,98.59
3339.00,98.56
3338.00,98.54
3337.00,98.52
3336.00,98.50
3335.00,98.47
3334.00,98.43
3333.00,98.40
3332.00,98.38
3331.00,98.36
3330.00,98.33
3329.00,98.29
3328.00,98.24
3327.00,98.20
3326.00,98.16
3325.00,98.13
3324.00,98.09
3323.00,98.06
3322.00,98.02
3321.00,97.98
3320.00,97.95
3319.00,97.92
3318.00,97.90
3317.00,97.86
3316.00,97.83
3315.00,97.79
3314.00,97.75
3313.00,97.70
3312.00,97.65
3311.00,97.62
3310.00,97.58
3309.00,97.55
3308.00,97.52
3307.00,97.48
3306.00,97.44
3305.00,97.40
3304.00,97.34
3303.00,97.27
3302.00,97.19
3301.00,97.12
3300.00,97.06
3299.00,97.02
3298.00,96.98
3297.00,96.93
3296.00,96.87
3295.00,96.81
3294.00,96.75
3293.00,96.69
3292.00,96.63
3291.00,96.57
3290.00,96.52
3289.00,96.47
3288.00,96.42
3287.00,96.36
3286.00,96.30
3285.00,96.24
3284.00,96.18
3283.00,96.12
3282.00,96.07
3281.00,96.01
3280.00,95.97
3279.00,95.93
3278.00,95.91
3277.00,95.89
3276.00,95.88
3275.00,95.87
3274.00,95.86
3273.00,95.86
3272.00,95.86
3271.00,95.86
3270.00,95.88
3269.00,95.91
3268.00,95.94
3267.00,95.98
3266.00,96.00
3265.00,96.02
3264.00,96.05
3263.00,96.09
3262.00,96.14
3261.00,96.18
3260.00,96.21
3259.00,96.24
3258.00,96.28
3257.00,96.33
3256.00,96.38
3255.00,96.43
3254.00,96.48
3253.00,96.52
3252.00,96.55
3251.00,96.59
3250.00,96.65
3249.00,96.71
3248.00,96.76
3247.00,96.81
3246.00,96.83
3245.00,96.85
3244.00,96.87
3243.00,96.91
3242.00,96.96
3241.00,97.01
3240.00,97.04
3239.00,97.07
3238.00,97.10
3237.00,97.14
3236.00,97.19
3235.00,97.22
3234.00,97.25
3233.00,97.27
3232.00,97.30
3231.00,97.32
3230.00,97.34
3229.00,97.37
3228.00,97.40
3227.00,97.44
3226.00,97.47
3225.00,97.49
3224.00,97.50
3223.00,97.52
3222.00,97.53
3221.00,97.54
3220.00,97.57
3219.00,97.59
3218.00,97.61
3217.00,97.62
3216.00,97.63
3215.00,97.66
3214.00,97.68
3213.00,97.71
3212.00,97.73
3211.00,97.75
3210.00,97.78
3209.00,97.82
3208.00,97.88
3207.00,97.92
3206.00,97.95
3205.00,97.96
3204.00,97.95
3203.00,97.94
3202.00,97.94
3201.00,97.97
3200.00,98.00
3199.00,98.04
3198.00,98.07
3197.00,98.09
3196.00,98.11
3195.00,98.14
3194.00,98.17
3193.00,98.19
3192.00,98.20
3191.00,98.21
3190.00,98.23
3189.00,98.25
3188.00,98.28
3187.00,98.32
3186.00,98.36
3185.00,98.40
3184.00,98.42
3183.00,98.43
3182.00,98.43
3181.00,98.42
3180.00,98.43
3179.00,98.46
3178.00,98.50
3177.00,98.54
3176.00,98.57
3175.00,98.59
3174.00,98.62
3173.00,98.65
3172.00,98.70
3171.00,98.73
3170.00,98.75
3169.00,98.77
3168.00,98.77
3167.00,98.78
3166.00,98.79
3165.00,98.80
3164.00,98.82
3163.00,98.83
3162.00,98.85
3161.00,98.87
3160.00,98.89
3159.00,98.91
3158.00,98.93
3157.00,98.95
3156.00,98.97
3155.00,99.01
3154.00,99.04
3153.00,99.07
3152.00,99.09
3151.00,99.11
3150.00,99.12
3149.00,99.12
3148.00,99.12
3147.00,99.13
3146.00,99.15
3145.00,99.18
3144.00,99.20
3143.00,99.21
3142.00,99.21
3141.00,99.20
3140.00,99.20
3139.00,99.20
3138.00,99.22
3137.00,99.22
3136.00,99.22
3135.00,99.22
3134.00,99.23
3133.00,99.25
3132.00,99.28
3131.00,99.30
3130.00,99.31
3129.00,99.31
3128.00,99.32
3127.00,99.33
3126.00,99.35
3125.00,99.36
3124.00,99.37
3123.00,99.36
3122.00,99.35
3121.00,99.34
3120.00,99.32
3119.00,99.31
3118.00,99.32
3117.00,99.33
3116.00,99.34
3115.00,99.33
3114.00,99.32
3113.00,99.33
3112.00,99.34
3111.00,99.35
3110.00,99.36
3109.00,99.36
3108.00,99.37
3107.00,99.37
3106.00,99.37
3105.00,99.36
3104.00,99.34
3103.00,99.32
3102.00,99.30
3101.00,99.27
3100.00,99.25
3099.00,99.25
3098.00,99.26
3097.00,99.26
3096.00,99.26
3095.00,99.25
3094.00,99.25
3093.00,99.24
3092.00,99.23
3091.00,99.23
3090.00,99.22
3089.00,99.22
3088.00,99.22
3087.00,99.21
3086.00,99.20
3085.00,99.20
3084.00,99.19
3083.00,99.19
3082.00,99.19
3081.00,99.18
3080.00,99.17
3079.00,99.16
3078.00,99.17
3077.00,99.16
3076.00,99.15
3075.00,99.13
3074.00,99.12
3073.00,99.13
3072.00,99.14
3071.00,99.16
3070.00,99.17
3069.00,99.17
3068.00,99.17
3067.00,99.17
3066.00,99.18
3065.00,99.19
3064.00,99.19
3063.00,99.20
3062.00,99.22
3061.00,99.25
3060.00,99.27
3059.00,99.28
3058.00,99.28
3057.00,99.29
3056.00,99.30
3055.00,99.31
3054.00,99.33
3053.00,99.36
3052.00,99.39
3051.00,99.41
3050.00,99.42
3049.00,99.43
3048.00,99.43
3047.00,99.45
3046.00,99.46
3045.00,99.47
3044.00,99.48
3043.00,99.49
3042.00,99.50
3041.00,99.53
3040.00,99.56
3039.00,99.59
3038.00,99.62
3037.00,99.63
3036.00,99.64
3035.00,99.66
3034.00,99.68
3033.00,99.70
3032.00,99.72
3031.00,99.74
3030.00,99.75
3029.00,99.76
3028.00,99.77
3027.00,99.79
3026.00,99.81
3025.00,99.82
3024.00,99.80
3023.00,99.78
3022.00,99.78
3021.00,99.78
3020.00,99.79
3019.00,99.81
3018.00,99.83
3017.00,99.85
3016.00,99.85
3015.00,99.85
3014.00,99.84
3013.00,99.85
3012.00,99.87
3011.00,99.90
3010.00,99.91
3009.00,99.92
3008.00,99.91
3007.00,99.89
3006.00,99.88
3005.00,99.87
3004.00,99.86
3003.00,99.85
3002.00,99.84
3001.00,99.84
3000.00,99.84
2999.00,99.85
2998.00,99.85
2997.00,99.85
2996.00,99.84
2995.00,99.83
2994.00,99.80
2993.00,99.77
2992.00,99.74
2991.00,99.71
2990.00,99.68
2989.00,99.66
2988.00,99.64
2987.00,99.64
2986.00,99.63
2985.00,99.63
2984.00,99.62
2983.00,99.61
2982.00,99.59
2981.00,99.58
2980.00,99.56
2979.00,99.55
2978.00,99.56
2977.00,99.58
2976.00,99.60
2975.00,99.61
2974.00,99.60
2973.00,99.60
2972.00,99.58
2971.00,99.58
2970.00,99.57
2969.00,99.57
2968.00,99.56
2967.00,99.56
2966.00,99.56
2965.00,99.58
2964.00,99.63
2963.00,99.69
2962.00,99.73
2961.00,99.75
2960.00,99.74
2959.00,99.72
2958.00,99.71
2957.00,99.72
2956.00,99.73
2955.00,99.73
2954.00,99.73
2953.00,99.72
2952.00,99.72
2951.00,99.71
2950.00,99.70
2949.00,99.69
2948.00,99.67
2947.00,99.65
2946.00,99.62
2945.00,99.60
2944.00,99.57
2943.00,99.55
2942.00,99.52
