Created as New Dataset,75 Nylon Allied Signal Fibers
cm-1,%T
3424.00,100.19
3423.00,100.18
3422.00,100.17
3421.00,100.16
3420.00,100.14
3419.00,100.12
3418.00,100.11
3417.00,100.11
3416.00,100.12
3415.00,100.14
3414.00,100.14
3413.00,100.14
3412.00,100.13
3411.00,100.12
3410.00,100.11
3409.00,100.09
3408.00,100.06
3407.00,100.04
3406.00,100.03
3405.00,100.03
3404.00,100.04
3403.00,100.05
3402.00,100.05
3401.00,100.04
3400.00,100.04
3399.00,100.04
3398.00,100.04
3397.00,100.03
3396.00,100.01
3395.00,99.99
3394.00,99.98
3393.00,99.98
3392.00,99.99
3391.00,99.98
3390.00,99.96
3389.00,99.93
3388.00,99.90
3387.00,99.88
3386.00,99.87
3385.00,99.86
3384.00,99.84
3383.00,99.84
3382.00,99.84
3381.00,99.84
3380.00,99.83
3379.00,99.80
3378.00,99.77
3377.00,99.73
3376.00,99.70
3375.00,99.67
3374.00,99.66
3373.00,99.65
3372.00,99.65
3371.00,99.64
3370.00,99.62
3369.00,99.58
3368.00,99.53
3367.00,99.48
3366.00,99.44
3365.00,99.40
3364.00,99.39
3363.00,99.38
3362.00,99.37
3361.00,99.35
3360.00,99.32
3359.00,99.29
3358.00,99.25
3357.00,99.22
3356.00,99.18
3355.00,99.14
3354.00,99.09
3353.00,99.04
3352.00,98.99
3351.00,98.95
3350.00,98.91
3349.00,98.85
3348.00,98.80
3347.00,98.77
3346.00,98.73
3345.00,98.69
3344.00,98.62
3343.00,98.53
3342.00,98.44
3341.00,98.36
3340.00,98.30
3339.00,98.26
3338.00,98.22
3337.00,98.17
3336.00,98.10
3335.00,98.03
3334.00,97.95
3333.00,97.88
3332.00,97.81
3331.00,97.73
3330.00,97.65
3329.00,97.57
3328.00,97.49
3327.00,97.40
3326.00,97.30
3325.00,97.20
3324.00,97.11
3323.00,97.01
3322.00,96.92
3321.00,96.83
3320.00,96.74
3319.00,96.65
3318.00,96.57
3317.00,96.49
3316.00,96.41
3315.00,96.32
3314.00,96.22
3313.00,96.10
3312.00,95.98
3311.00,95.86
3310.00,95.75
3309.00,95.65
3308.00,95.57
3307.00,95.49
3306.00,95.41
3305.00,95.33
3304.00,95.24
3303.00,95.15
3302.00,95.07
3301.00,95.01
3300.00,94.96
3299.00,94.92
3298.00,94.89
3297.00,94.87
3296.00,94.85
3295.00,94.82
3294.00,94.80
3293.00,94.79
3292.00,94.79
3291.00,94.80
3290.00,94.82
3289.00,94.85
3288.00,94.89
3287.00,94.93
3286.00,94.98
