Created as New Dataset,16/2 Merc. cotton
cm-1,%T
3417.00,89.97
3416.00,89.94
3415.00,89.90
3414.00,89.87
3413.00,89.85
3412.00,89.84
3411.00,89.83
3410.00,89.82
3409.00,89.81
3408.00,89.79
3407.00,89.76
3406.00,89.72
3405.00,89.67
3404.00,89.62
3403.00,89.58
3402.00,89.56
3401.00,89.54
3400.00,89.53
3399.00,89.51
3398.00,89.48
3397.00,89.46
3396.00,89.43
3395.00,89.40
3394.00,89.37
3393.00,89.33
3392.00,89.30
3391.00,89.27
3390.00,89.26
3389.00,89.24
3388.00,89.23
3387.00,89.20
3386.00,89.17
3385.00,89.13
3384.00,89.09
3383.00,89.06
3382.00,89.02
3381.00,88.98
3380.00,88.94
3379.00,88.91
3378.00,88.88
3377.00,88.86
3376.00,88.84
3375.00,88.81
3374.00,88.79
3373.00,88.75
3372.00,88.71
3371.00,88.66
3370.00,88.61
3369.00,88.57
3368.00,88.54
3367.00,88.52
3366.00,88.49
3365.00,88.46
3364.00,88.43
3363.00,88.40
3362.00,88.37
3361.00,88.32
3360.00,88.26
3359.00,88.20
3358.00,88.15
3357.00,88.10
3356.00,88.05
3355.00,88.01
3354.00,87.96
3353.00,87.91
3352.00,87.86
3351.00,87.80
3350.00,87.75
3349.00,87.69
3348.00,87.63
3347.00,87.57
3346.00,87.51
3345.00,87.47
3344.00,87.44
3343.00,87.43
3342.00,87.41
3341.00,87.37
3340.00,87.30
3339.00,87.23
3338.00,87.16
3337.00,87.11
3336.00,87.09
3335.00,87.09
3334.00,87.10
3333.00,87.12
3332.00,87.14
3331.00,87.15
3330.00,87.16
3329.00,87.16
3328.00,87.17
3327.00,87.18
3326.00,87.20
3325.00,87.22
3324.00,87.23
3323.00,87.23
3322.00,87.24
3321.00,87.26
3320.00,87.28
3319.00,87.31
3318.00,87.32
3317.00,87.34
3316.00,87.36
3315.00,87.39
3314.00,87.41
3313.00,87.42
3312.00,87.42
3311.00,87.42
3310.00,87.42
3309.00,87.41
3308.00,87.41
3307.00,87.41
3306.00,87.41
3305.00,87.41
3304.00,87.41
3303.00,87.41
3302.00,87.41
3301.00,87.42
3300.00,87.42
3299.00,87.42
3298.00,87.41
3297.00,87.41
3296.00,87.41
3295.00,87.42
3294.00,87.43
3293.00,87.43
3292.00,87.43
3291.00,87.43
3290.00,87.42
3289.00,87.42
3288.00,87.42
3287.00,87.43
3286.00,87.45
3285.00,87.46
3284.00,87.48
3283.00,87.49
3282.00,87.50
3281.00,87.52
3280.00,87.54
3279.00,87.55
3278.00,87.56
3277.00,87.57
3276.00,87.58
3275.00,87.57
3274.00,87.57
3273.00,87.57
3272.00,87.56
3271.00,87.56
3270.00,87.56
3269.00,87.57
3268.00,87.60
3267.00,87.64
3266.00,87.68
3265.00,87.72
3264.00,87.76
3263.00,87.80
3262.00,87.84
3261.00,87.88
3260.00,87.92
3259.00,87.95
3258.00,87.98
3257.00,88.01
3256.00,88.05
3255.00,88.10
3254.00,88.14
3253.00,88.18
3252.00,88.23
3251.00,88.27
3250.00,88.31
3249.00,88.35
3248.00,88.38
3247.00,88.41
3246.00,88.43
3245.00,88.46
3244.00,88.48
3243.00,88.51
3242.00,88.54
3241.00,88.58
3240.00,88.61
3239.00,88.65
3238.00,88.69
3237.00,88.74
3236.00,88.78
3235.00,88.82
3234.00,88.85
3233.00,88.89
3232.00,88.93
3231.00,88.97
3230.00,89.00
3229.00,89.03
3228.00,89.07
3227.00,89.11
3226.00,89.16
3225.00,89.19
3224.00,89.23
3223.00,89.25
3222.00,89.27
3221.00,89.27
3220.00,89.27
3219.00,89.28
3218.00,89.29
3217.00,89.33
3216.00,89.37
3215.00,89.41
3214.00,89.45
3213.00,89.48
3212.00,89.51
3211.00,89.54
3210.00,89.58
3209.00,89.61
3208.00,89.64
3207.00,89.67
3206.00,89.70
3205.00,89.72
3204.00,89.73
3203.00,89.75
3202.00,89.76
3201.00,89.78
3200.00,89.82
3199.00,89.85
3198.00,89.89
3197.00,89.92
3196.00,89.94
3195.00,89.96
3194.00,89.97
3193.00,89.96
3192.00,89.96
3191.00,89.97
3190.00,90.01
3189.00,90.05
3188.00,90.09
3187.00,90.11
3186.00,90.13
3185.00,90.15
3184.00,90.17
3183.00,90.18
3182.00,90.20
3181.00,90.23
3180.00,90.27
3179.00,90.31
3178.00,90.34
3177.00,90.35
3176.00,90.35
3175.00,90.36
3174.00,90.36
3173.00,90.37
3172.00,90.38
3171.00,90.39
3170.00,90.40
3169.00,90.42
3168.00,90.45
3167.00,90.48
3166.00,90.51
3165.00,90.54
3164.00,90.55
3163.00,90.56
3162.00,90.58
3161.00,90.61
3160.00,90.65
3159.00,90.68
3158.00,90.70
3157.00,90.73
3156.00,90.75
3155.00,90.77
3154.00,90.79
3153.00,90.81
3152.00,90.84
3151.00,90.88
3150.00,90.91
3149.00,90.95
3148.00,90.98
3147.00,90.99
3146.00,91.00
3145.00,91.01
3144.00,91.05
3143.00,91.09
3142.00,91.13
3141.00,91.17
3140.00,91.19
3139.00,91.20
3138.00,91.23
3137.00,91.26
3136.00,91.29
3135.00,91.32
3134.00,91.34
3133.00,91.38
3132.00,91.42
3131.00,91.46
3130.00,91.50
3129.00,91.53
3128.00,91.56
3127.00,91.60
3126.00,91.63
3125.00,91.66
3124.00,91.70
3123.00,91.73
3122.00,91.75
3121.00,91.77
3120.00,91.79
3119.00,91.81
3118.00,91.84
3117.00,91.86
3116.00,91.89
3115.00,91.92
3114.00,91.98
3113.00,92.03
3112.00,92.08
3111.00,92.12
3110.00,92.16
3109.00,92.20
3108.00,92.25
3107.00,92.28
3106.00,92.32
3105.00,92.35
3104.00,92.38
3103.00,92.40
3102.00,92.42
3101.00,92.44
3100.00,92.46
3099.00,92.50
3098.00,92.54
3097.00,92.58
3096.00,92.62
3095.00,92.65
3094.00,92.67
3093.00,92.68
3092.00,92.70
3091.00,92.73
3090.00,92.77
3089.00,92.81
3088.00,92.84
3087.00,92.88
3086.00,92.92
3085.00,92.97
3084.00,93.01
3083.00,93.06
3082.00,93.10
3081.00,93.12
3080.00,93.12
3079.00,93.13
3078.00,93.14
3077.00,93.17
3076.00,93.20
3075.00,93.24
3074.00,93.28
3073.00,93.32
3072.00,93.37
3071.00,93.41
3070.00,93.44
3069.00,93.45
3068.00,93.46
3067.00,93.48
3066.00,93.51
3065.00,93.54
3064.00,93.57
3063.00,93.60
3062.00,93.63
3061.00,93.65
3060.00,93.68
3059.00,93.70
3058.00,93.72
3057.00,93.74
3056.00,93.77
3055.00,93.80
3054.00,93.83
3053.00,93.87
3052.00,93.91
3051.00,93.94
3050.00,93.95
3049.00,93.96
3048.00,93.98
3047.00,94.02
3046.00,94.06
3045.00,94.09
3044.00,94.13
3043.00,94.16
3042.00,94.18
3041.00,94.18
3040.00,94.18
3039.00,94.18
3038.00,94.18
3037.00,94.18
3036.00,94.19
3035.00,94.21
3034.00,94.23
3033.00,94.25
3032.00,94.27
3031.00,94.30
3030.00,94.34
3029.00,94.37
3028.00,94.40
3027.00,94.42
3026.00,94.43
3025.00,94.44
3024.00,94.46
3023.00,94.48
3022.00,94.50
3021.00,94.53
3020.00,94.56
3019.00,94.58
3018.00,94.61
3017.00,94.62
3016.00,94.63
3015.00,94.64
3014.00,94.65
3013.00,94.65
3012.00,94.67
3011.00,94.68
3010.00,94.69
3009.00,94.71
3008.00,94.74
3007.00,94.77
3006.00,94.80
3005.00,94.82
3004.00,94.82
3003.00,94.83
3002.00,94.85
3001.00,94.86
3000.00,94.87
2999.00,94.88
2998.00,94.89
2997.00,94.91
2996.00,94.92
2995.00,94.92
2994.00,94.91
2993.00,94.88
2992.00,94.86
2991.00,94.85
2990.00,94.85
2989.00,94.86
2988.00,94.85
2987.00,94.85
2986.00,94.84
2985.00,94.83
2984.00,94.82
2983.00,94.82
2982.00,94.81
2981.00,94.81
2980.00,94.80
2979.00,94.79
2978.00,94.79
2977.00,94.79
2976.00,94.78
2975.00,94.76
2974.00,94.74
2973.00,94.71
2972.00,94.66
2971.00,94.61
2970.00,94.57
2969.00,94.54
2968.00,94.53
2967.00,94.51
2966.00,94.49
2965.00,94.47
2964.00,94.44
2963.00,94.41
2962.00,94.37
2961.00,94.34
2960.00,94.30
2959.00,94.27
2958.00,94.25
2957.00,94.24
2956.00,94.22
2955.00,94.21
2954.00,94.18
2953.00,94.15
2952.00,94.10
2951.00,94.07
2950.00,94.04
2949.00,94.02
2948.00,93.99
2947.00,93.96
2946.00,93.91
2945.00,93.87
2944.00,93.83
2943.00,93.78
2942.00,93.73
2941.00,93.69
2940.00,93.65
2939.00,93.60
2938.00,93.55
2937.00,93.49
2936.00,93.43
2935.00,93.37
2934.00,93.32
2933.00,93.28
2932.00,93.24
2931.00,93.19
2930.00,93.14
2929.00,93.09
2928.00,93.03
2927.00,92.97
2926.00,92.89
2925.00,92.80
2924.00,92.70
2923.00,92.60
2922.00,92.52
2921.00,92.45
2920.00,92.38
2919.00,92.31
2918.00,92.24
2917.00,92.20
2916.00,92.17
2915.00,92.17
2914.00,92.18
2913.00,92.18
2912.00,92.17
2911.00,92.13
2910.00,92.08
2909.00,92.04
2908.00,92.00
2907.00,91.97
2906.00,91.96
2905.00,91.95
2904.00,91.94
2903.00,91.92
2902.00,91.90
2901.00,91.86
2900.00,91.83
2899.00,91.79
2898.00,91.77
2897.00,91.75
2896.00,91.74
2895.00,91.73
2894.00,91.71
2893.00,91.70
2892.00,91.70
2891.00,91.71
2890.00,91.76
2889.00,91.81
2888.00,91.87
2887.00,91.92
2886.00,91.97
2885.00,92.01
2884.00,92.04
2883.00,92.07
2882.00,92.09
2881.00,92.11
2880.00,92.12
2879.00,92.13
2878.00,92.16
2877.00,92.18
2876.00,92.21
2875.00,92.23
2874.00,92.25
2873.00,92.28
2872.00,92.31
2871.00,92.34
2870.00,92.37
2869.00,92.41
2868.00,92.46
2867.00,92.50
2866.00,92.54
2865.00,92.58
2864.00,92.62
2863.00,92.66
2862.00,92.70
2861.00,92.73
2860.00,92.75
2859.00,92.77
2858.00,92.78
2857.00,92.80
2856.00,92.80
2855.00,92.79
2854.00,92.77
2853.00,92.75
2852.00,92.75
2851.00,92.79
2850.00,92.85
2849.00,92.93
2848.00,93.02
2847.00,93.10
2846.00,93.19
2845.00,93.27
2844.00,93.35
2843.00,93.43
2842.00,93.50
2841.00,93.56
2840.00,93.62
2839.00,93.67
2838.00,93.71
2837.00,93.75
2836.00,93.79
2835.00,93.83
2834.00,93.86
2833.00,93.89
2832.00,93.91
2831.00,93.94
2830.00,93.96
2829.00,93.99
2828.00,94.01
2827.00,94.03
2826.00,94.06
2825.00,94.08
2824.00,94.11
2823.00,94.13
2822.00,94.15
2821.00,94.16
2820.00,94.18
2819.00,94.19
2818.00,94.21
2817.00,94.23
2816.00,94.25
2815.00,94.28
2814.00,94.30
2813.00,94.33
2812.00,94.34
2811.00,94.35
2810.00,94.36
2809.00,94.37
2808.00,94.39
2807.00,94.41
2806.00,94.44
2805.00,94.46
2804.00,94.48
2803.00,94.50
2802.00,94.51
2801.00,94.52
2800.00,94.53
2799.00,94.54
2798.00,94.55
2797.00,94.58
2796.00,94.61
2795.00,94.63
2794.00,94.64
2793.00,94.64
2792.00,94.63
2791.00,94.63
2790.00,94.63
2789.00,94.64
2788.00,94.66
2787.00,94.68
2786.00,94.70
2785.00,94.73
2784.00,94.76
2783.00,94.78
2782.00,94.80
2781.00,94.82
2780.00,94.83
2779.00,94.84
2778.00,94.85
2777.00,94.85
2776.00,94.85
2775.00,94.86
2774.00,94.87
2773.00,94.88
2772.00,94.91
2771.00,94.93
2770.00,94.95
2769.00,94.96
2768.00,94.97
2767.00,94.97
2766.00,94.97
2765.00,94.96
2764.00,94.96
2763.00,94.96
2762.00,94.96
2761.00,94.97
2760.00,94.97
2759.00,94.98
2758.00,94.98
2757.00,94.98
2756.00,94.98
2755.00,94.97
2754.00,94.97
2753.00,94.98
2752.00,94.98
2751.00,94.99
2750.00,94.99
2749.00,95.00
2748.00,95.02
2747.00,95.02
2746.00,95.02
2745.00,95.02
2744.00,95.01
2743.00,95.00
2742.00,95.00
2741.00,95.01
2740.00,95.01
2739.00,95.00
2738.00,94.99
2737.00,94.98
2736.00,94.99
2735.00,95.00
2734.00,95.01
2733.00,95.02
2732.00,95.03
2731.00,95.03
2730.00,95.03
2729.00,95.03
2728.00,95.04
2727.00,95.05
2726.00,95.07
2725.00,95.07
2724.00,95.07
2723.00,95.07
2722.00,95.07
2721.00,95.06
2720.00,95.06
2719.00,95.07
2718.00,95.08
2717.00,95.10
2716.00,95.11
2715.00,95.12
2714.00,95.14
2713.00,95.16
2712.00,95.17
2711.00,95.19
2710.00,95.19
2709.00,95.18
2708.00,95.17
2707.00,95.16
2706.00,95.16
2705.00,95.16
2704.00,95.18
2703.00,95.19
2702.00,95.21
2701.00,95.22
2700.00,95.23
2699.00,95.24
2698.00,95.25
2697.00,95.26
2696.00,95.26
2695.00,95.26
2694.00,95.25
2693.00,95.25
2692.00,95.24
2691.00,95.25
2690.00,95.26
2689.00,95.27
2688.00,95.28
2687.00,95.29
2686.00,95.30
2685.00,95.32
2684.00,95.33
2683.00,95.34
2682.00,95.35
2681.00,95.36
2680.00,95.36
2679.00,95.36
2678.00,95.36
2677.00,95.37
2676.00,95.37
2675.00,95.38
2674.00,95.38
2673.00,95.38
2672.00,95.39
2671.00,95.40
2670.00,95.43
2669.00,95.45
2668.00,95.47
2667.00,95.48
2666.00,95.48
2665.00,95.47
2664.00,95.46
2663.00,95.45
2662.00,95.44
2661.00,95.43
2660.00,95.43
2659.00,95.44
2658.00,95.44
2657.00,95.45
2656.00,95.45
2655.00,95.45
2654.00,95.45
2653.00,95.44
2652.00,95.43
2651.00,95.42
2650.00,95.42
2649.00,95.43
2648.00,95.42
2647.00,95.41
2646.00,95.40
2645.00,95.40
2644.00,95.41
2643.00,95.42
2642.00,95.43
2641.00,95.42
2640.00,95.39
2639.00,95.36
2638.00,95.34
2637.00,95.33
2636.00,95.32
2635.00,95.33
2634.00,95.33
2633.00,95.35
2632.00,95.36
2631.00,95.36
2630.00,95.35
2629.00,95.35
2628.00,95.35
2627.00,95.35
2626.00,95.36
2625.00,95.36
2624.00,95.36
2623.00,95.35
2622.00,95.34
2621.00,95.33
2620.00,95.32
2619.00,95.31
2618.00,95.31
