Created as New Dataset,133. Allied Signal Fibers
cm-1,%T
3495.00,91.33
3494.00,91.34
3493.00,91.33
3492.00,91.31
3491.00,91.30
3490.00,91.29
3489.00,91.29
3488.00,91.29
3487.00,91.30
3486.00,91.29
3485.00,91.28
3484.00,91.26
3483.00,91.24
3482.00,91.23
3481.00,91.21
3480.00,91.20
3479.00,91.19
3478.00,91.20
3477.00,91.21
3476.00,91.22
3475.00,91.23
3474.00,91.23
3473.00,91.23
3472.00,91.24
3471.00,91.24
3470.00,91.23
3469.00,91.21
3468.00,91.19
3467.00,91.18
3466.00,91.19
3465.00,91.20
3464.00,91.21
3463.00,91.20
3462.00,91.18
3461.00,91.17
3460.00,91.16
3459.00,91.15
3458.00,91.14
3457.00,91.12
3456.00,91.11
3455.00,91.09
3454.00,91.07
3453.00,91.06
3452.00,91.05
3451.00,91.06
3450.00,91.08
3449.00,91.10
3448.00,91.10
3447.00,91.08
3446.00,91.05
3445.00,91.02
3444.00,91.00
3443.00,90.99
3442.00,90.98
3441.00,90.98
3440.00,90.98
3439.00,90.98
3438.00,90.98
3437.00,90.97
3436.00,90.95
3435.00,90.93
3434.00,90.91
3433.00,90.90
3432.00,90.89
3431.00,90.87
3430.00,90.86
3429.00,90.85
3428.00,90.85
3427.00,90.85
3426.00,90.84
3425.00,90.83
3424.00,90.81
3423.00,90.79
3422.00,90.76
3421.00,90.75
3420.00,90.76
3419.00,90.78
3418.00,90.80
3417.00,90.82
3416.00,90.84
3415.00,90.85
3414.00,90.86
3413.00,90.88
3412.00,90.89
3411.00,90.90
3410.00,90.91
3409.00,90.92
3408.00,90.93
3407.00,90.96
3406.00,90.99
3405.00,91.02
3404.00,91.05
3403.00,91.07
3402.00,91.10
3401.00,91.13
3400.00,91.15
3399.00,91.16
3398.00,91.15
3397.00,91.14
3396.00,91.14
3395.00,91.14
3394.00,91.16
3393.00,91.17
3392.00,91.19
3391.00,91.19
3390.00,91.18
3389.00,91.17
3388.00,91.17
