Created as New Dataset,15.2 Red Wool sheep scoured
cm-1,%T
3321.00,90.89
3320.00,90.88
3319.00,90.85
3318.00,90.81
3317.00,90.76
3316.00,90.70
3315.00,90.64
3314.00,90.60
3313.00,90.58
3312.00,90.56
3311.00,90.54
3310.00,90.51
3309.00,90.48
3308.00,90.45
3307.00,90.43
3306.00,90.41
3305.00,90.37
3304.00,90.30
3303.00,90.23
3302.00,90.17
3301.00,90.12
3300.00,90.10
3299.00,90.08
3298.00,90.06
3297.00,90.04
3296.00,90.03
3295.00,90.01
3294.00,90.00
3293.00,89.98
3292.00,89.96
3291.00,89.93
3290.00,89.89
3289.00,89.85
3288.00,89.80
3287.00,89.77
3286.00,89.75
3285.00,89.76
3284.00,89.76
3283.00,89.76
3282.00,89.76
3281.00,89.75
3280.00,89.75
3279.00,89.75
3278.00,89.74
3277.00,89.74
3276.00,89.73
3275.00,89.73
3274.00,89.73
3273.00,89.72
3272.00,89.72
3271.00,89.74
3270.00,89.76
3269.00,89.79
3268.00,89.82
3267.00,89.84
3266.00,89.85
3265.00,89.87
3264.00,89.89
3263.00,89.92
3262.00,89.95
3261.00,89.98
3260.00,90.00
3259.00,90.03
3258.00,90.05
3257.00,90.08
3256.00,90.11
3255.00,90.14
3254.00,90.18
3253.00,90.22
3252.00,90.26
3251.00,90.31
3250.00,90.35
3249.00,90.38
3248.00,90.40
3247.00,90.42
3246.00,90.46
3245.00,90.49
3244.00,90.53
3243.00,90.57
3242.00,90.59
3241.00,90.61
3240.00,90.63
3239.00,90.66
3238.00,90.70
3237.00,90.75
3236.00,90.79
3235.00,90.84
3234.00,90.88
3233.00,90.91
3232.00,90.93
3231.00,90.95
3230.00,90.96
3229.00,90.97
3228.00,90.99
3227.00,91.01
3226.00,91.04
3225.00,91.05
3224.00,91.06
3223.00,91.07
3222.00,91.08
3221.00,91.11
3220.00,91.15
3219.00,91.19
3218.00,91.22
3217.00,91.24
3216.00,91.25
3215.00,91.26
3214.00,91.29
3213.00,91.32
3212.00,91.37
3211.00,91.40
3210.00,91.42
3209.00,91.44
3208.00,91.46
3207.00,91.48
3206.00,91.51
3205.00,91.54
3204.00,91.56
3203.00,91.57
3202.00,91.58
3201.00,91.58
3200.00,91.59
3199.00,91.62
3198.00,91.65
3197.00,91.69
3196.00,91.74
3195.00,91.78
3194.00,91.81
3193.00,91.83
3192.00,91.85
3191.00,91.88
3190.00,91.92
3189.00,91.95
3188.00,91.99
3187.00,92.02
3186.00,92.06
3185.00,92.10
3184.00,92.14
3183.00,92.18
3182.00,92.23
3181.00,92.26
3180.00,92.29
3179.00,92.32
3178.00,92.36
3177.00,92.40
3176.00,92.44
3175.00,92.48
3174.00,92.52
3173.00,92.54
3172.00,92.56
3171.00,92.58
3170.00,92.62
3169.00,92.67
3168.00,92.72
3167.00,92.76
3166.00,92.80
3165.00,92.85
3164.00,92.90
3163.00,92.94
3162.00,92.98
3161.00,93.03
3160.00,93.08
3159.00,93.12
3158.00,93.15
3157.00,93.16
3156.00,93.17
3155.00,93.21
3154.00,93.26
3153.00,93.32
3152.00,93.37
3151.00,93.41
3150.00,93.44
3149.00,93.46
3148.00,93.47
3147.00,93.48
3146.00,93.49
3145.00,93.51
3144.00,93.54
3143.00,93.57
3142.00,93.60
3141.00,93.62
3140.00,93.64
3139.00,93.65
3138.00,93.67
3137.00,93.70
3136.00,93.74
3135.00,93.78
3134.00,93.82
3133.00,93.85
3132.00,93.87
3131.00,93.89
3130.00,93.89
3129.00,93.90
3128.00,93.91
3127.00,93.92
3126.00,93.94
3125.00,93.97
3124.00,94.00
3123.00,94.04
3122.00,94.06
3121.00,94.07
3120.00,94.08
3119.00,94.09
3118.00,94.10
3117.00,94.12
3116.00,94.13
3115.00,94.13
3114.00,94.12
3113.00,94.11
3112.00,94.12
3111.00,94.14
3110.00,94.16
3109.00,94.16
3108.00,94.15
3107.00,94.14
3106.00,94.15
3105.00,94.16
3104.00,94.17
3103.00,94.17
3102.00,94.16
3101.00,94.15
3100.00,94.14
3099.00,94.14
3098.00,94.14
3097.00,94.14
3096.00,94.13
3095.00,94.13
3094.00,94.14
3093.00,94.15
3092.00,94.15
3091.00,94.14
3090.00,94.12
3089.00,94.10
3088.00,94.08
3087.00,94.07
3086.00,94.07
3085.00,94.06
3084.00,94.06
3083.00,94.07
3082.00,94.07
3081.00,94.06
3080.00,94.04
3079.00,94.02
3078.00,94.01
3077.00,94.01
3076.00,94.01
3075.00,94.02
3074.00,94.02
3073.00,94.03
3072.00,94.03
3071.00,94.04
3070.00,94.03
3069.00,94.02
3068.00,94.01
3067.00,94.01
3066.00,94.01
3065.00,94.02
3064.00,94.03
3063.00,94.03
3062.00,94.04
3061.00,94.05
3060.00,94.07
3059.00,94.09
3058.00,94.12
3057.00,94.15
3056.00,94.17
3055.00,94.19
3054.00,94.21
3053.00,94.23
3052.00,94.26
3051.00,94.28
3050.00,94.29
3049.00,94.29
3048.00,94.30
3047.00,94.32
3046.00,94.36
3045.00,94.40
3044.00,94.44
3043.00,94.47
3042.00,94.49
3041.00,94.50
3040.00,94.50
3039.00,94.51
3038.00,94.52
3037.00,94.54
3036.00,94.57
3035.00,94.61
3034.00,94.65
3033.00,94.69
3032.00,94.71
3031.00,94.73
3030.00,94.75
3029.00,94.76
3028.00,94.78
3027.00,94.80
3026.00,94.84
3025.00,94.87
3024.00,94.90
3023.00,94.91
3022.00,94.92
3021.00,94.92
3020.00,94.94
3019.00,94.97
3018.00,95.00
3017.00,95.02
3016.00,95.04
3015.00,95.06
3014.00,95.09
3013.00,95.11
3012.00,95.12
3011.00,95.13
3010.00,95.13
3009.00,95.13
3008.00,95.14
3007.00,95.14
3006.00,95.13
3005.00,95.12
3004.00,95.12
3003.00,95.13
3002.00,95.14
3001.00,95.15
3000.00,95.15
2999.00,95.15
2998.00,95.15
2997.00,95.13
2996.00,95.10
2995.00,95.07
2994.00,95.02
2993.00,94.98
2992.00,94.92
2991.00,94.86
2990.00,94.80
2989.00,94.75
2988.00,94.71
2987.00,94.67
2986.00,94.63
2985.00,94.58
2984.00,94.53
2983.00,94.47
2982.00,94.41
2981.00,94.35
2980.00,94.29
2979.00,94.22
2978.00,94.15
2977.00,94.06
2976.00,93.97
2975.00,93.87
2974.00,93.77
2973.00,93.65
2972.00,93.54
2971.00,93.44
2970.00,93.34
2969.00,93.24
2968.00,93.14
2967.00,93.03
2966.00,92.92
2965.00,92.82
2964.00,92.73
2963.00,92.66
2962.00,92.60
2961.00,92.55
2960.00,92.51
2959.00,92.46
2958.00,92.43
2957.00,92.41
2956.00,92.41
2955.00,92.42
2954.00,92.44
2953.00,92.45
2952.00,92.46
2951.00,92.47
2950.00,92.47
2949.00,92.47
2948.00,92.46
2947.00,92.45
2946.00,92.43
2945.00,92.39
2944.00,92.32
2943.00,92.23
2942.00,92.11
2941.00,91.97
2940.00,91.84
2939.00,91.71
2938.00,91.58
2937.00,91.45
2936.00,91.30
2935.00,91.14
2934.00,90.97
2933.00,90.80
2932.00,90.62
2931.00,90.44
2930.00,90.26
2929.00,90.09
2928.00,89.92
2927.00,89.75
2926.00,89.59
2925.00,89.43
2924.00,89.28
2923.00,89.14
2922.00,89.01
2921.00,88.88
